Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID,Calib_Version
1,0.04,1,truck,544.5228,288.18155,2.7068448,45.245335,4.7441688,4.5272355,0,0.0,6,-1,-1,-1,-1,-1,0,0
1,0.04,3,truck,1233.5133,701.2256,24.294706,106.09346,16.368307,4.6486697,0,0.0,-1,-1,-1,-1,-1,-1,6,0
1,0.04,4,car,878.40564,205.37894,18.861673,-17.83371,1.1282517,1.4538482,0,0.0,-1,-1,-1,-1,-1,-1,4,0
1,0.04,5,pedestrian,607.1023,171.20168,-5.762376,-51.631485,1.1251663,0.40043947,0,0.0,-1,7,-1,-1,-1,-1,0,0
1,0.04,6,pedestrian,460.0106,252.70566,-4.3393083,29.663988,1.3088417,0.51612246,0,0.0,7,1,-1,-1,-1,-1,0,0
1,0.04,7,pedestrian,606.5588,174.94975,-5.124239,-45.827023,1.1986,0.4777588,0,0.0,5,6,-1,-1,-1,-1,0,0
2,0.08,1,truck,543.09595,289.29446,2.7100403,45.729473,4.8051424,4.5373964,0,0.0,6,-1,-1,-1,-1,-1,0,0
2,0.08,3,truck,1230.0525,683.6952,24.415907,104.97804,15.907697,4.994745,0,0.0,-1,-1,-1,-1,-1,-1,6,0
2,0.08,4,car,878.06647,204.565,18.84245,-18.697884,1.1257409,1.435376,0,0.0,-1,-1,-1,-1,-1,-1,4,0
2,0.08,5,pedestrian,607.1173,171.03052,-5.793301,-51.90446,1.1174424,0.39688417,0,0.0,-1,7,-1,-1,-1,-1,0,0
2,0.08,6,pedestrian,459.95886,252.60738,-4.3523927,29.610138,1.3045319,0.51051027,0,0.0,7,1,-1,-1,-1,-1,0,0
2,0.08,7,pedestrian,606.53406,174.88445,-5.1379647,-45.92373,1.1889092,0.47306213,0,0.0,5,6,-1,-1,-1,-1,0,0
3,0.12,1,truck,540.9989,291.281,2.7360432,46.575394,4.8987656,4.514641,0,0.0,6,-1,-1,-1,-1,-1,0,0
3,0.12,3,truck,1229.0344,700.8302,24.218061,106.08751,16.491606,5.0965576,0,0.0,-1,-1,-1,-1,-1,-1,6,0
3,0.12,4,car,877.26794,203.24913,18.79199,-20.105871,1.1276543,1.3796967,0,0.0,-1,-1,-1,-1,-1,-1,4,0
3,0.12,5,pedestrian,607.0775,170.30774,-5.9339876,-53.06065,1.0798737,0.40381774,0,0.0,-1,6,-1,-1,-1,-1,0,0
3,0.12,6,pedestrian,459.63074,252.05792,-4.4278226,29.308947,1.3036286,0.5245743,0,0.0,5,1,-1,-1,-1,-1,0,0
4,0.16,1,truck,539.2648,293.61395,2.7987187,47.539852,4.981674,4.509712,0,0.0,6,-1,-1,-1,-1,-1,0,0
4,0.16,2,car,899.8938,691.2964,18.356936,106.8791,5.0079226,5.408817,0,0.0,4,-1,-1,-1,-1,-1,4,0
4,0.16,4,car,877.90027,202.16393,18.84817,-21.330286,1.1114715,1.4416016,0,0.0,-1,2,-1,-1,-1,-1,4,0
4,0.16,5,pedestrian,606.72723,169.56711,-6.107453,-54.244686,1.044162,0.39058837,0,0.0,-1,6,-1,-1,-1,-1,0,0
4,0.16,6,pedestrian,459.66635,252.19617,-4.411283,29.385826,1.2979233,0.5070465,0,0.0,5,1,-1,-1,-1,-1,0,0
5,0.2,1,truck,538.0937,294.60446,2.8055432,47.950523,4.9468064,4.564879,0,0.0,6,-1,-1,-1,-1,-1,0,0
5,0.2,2,car,898.4183,677.09906,18.345022,105.98779,4.881009,5.3137145,0,0.0,4,-1,-1,-1,-1,-1,4,0
5,0.2,4,car,878.8153,201.77132,18.92119,-21.801662,1.0775017,1.4664093,0,0.0,-1,2,-1,-1,-1,-1,4,0
5,0.2,5,pedestrian,606.7749,169.33907,-6.147393,-54.61956,1.0349495,0.38486025,0,0.0,-1,7,-1,-1,-1,-1,0,0
5,0.2,6,pedestrian,460.13455,252.49675,-4.3548145,29.544739,1.3029846,0.5128601,0,0.0,7,1,-1,-1,-1,-1,0,0
5,0.2,7,pedestrian,605.92487,174.8441,-5.197297,-45.957058,1.1389436,0.47483522,0,0.0,5,6,-1,-1,-1,-1,0,0
6,0.24,1,truck,536.7705,295.30112,2.7880583,48.245052,4.9548583,4.597809,0,0.0,6,-1,-1,-1,-1,-1,0,0
6,0.24,2,car,897.2263,662.7162,18.338068,105.04129,4.811432,5.1318026,0,0.0,4,-1,-1,-1,-1,-1,4,0
6,0.24,3,truck,1221.8201,698.6587,24.109806,105.981255,17.332518,5.817993,0,0.0,-1,-1,-1,-1,-1,-1,6,0
6,0.24,4,car,878.9877,200.91118,18.941555,-22.778784,1.0575494,1.431894,0,0.0,-1,2,-1,-1,-1,-1,4,0
6,0.24,5,pedestrian,606.796,169.79964,-6.056434,-53.869465,1.0488663,0.38853762,0,0.0,-1,7,-1,-1,-1,-1,0,0
6,0.24,6,pedestrian,459.9527,252.55353,-4.358399,29.580166,1.2946182,0.51783603,0,0.0,7,1,-1,-1,-1,-1,0,0
6,0.24,7,pedestrian,606.05835,174.8751,-5.1803436,-45.91654,1.170768,0.47964174,0,0.0,5,6,-1,-1,-1,-1,0,0
7,0.28,1,truck,535.1833,296.2798,2.7757142,48.651794,4.921083,4.6225295,0,0.0,6,-1,-1,-1,-1,-1,0,0
7,0.28,2,car,895.3978,646.7739,18.320198,103.941086,4.561203,5.023993,0,0.0,4,-1,-1,-1,-1,-1,4,0
7,0.28,3,truck,1219.8911,697.76105,24.083916,105.93268,18.206717,6.0108886,0,0.0,9,-1,-1,-1,-1,-1,6,0
7,0.28,4,car,878.9074,199.91168,18.943783,-23.918533,1.0525826,1.4034302,0,0.0,-1,2,-1,-1,-1,-1,4,0
7,0.28,5,pedestrian,607.30286,169.8083,-6.009665,-53.87953,1.044381,0.38540345,0,0.0,-1,7,-1,-1,-1,-1,0,0
7,0.28,6,pedestrian,459.8697,252.83615,-4.332976,29.739635,1.3317406,0.5343979,0,0.0,7,1,-1,-1,-1,-1,0,0
7,0.28,7,pedestrian,606.25146,174.7347,-5.188847,-46.135765,1.1361732,0.47320253,0,0.0,5,6,-1,-1,-1,-1,0,0
7,0.28,9,truck,953.66595,177.8003,26.055866,-57.365963,2.1116045,1.8535645,0,0.0,-1,3,-1,-1,-1,-1,6,0
8,0.32,1,truck,533.12775,298.10684,2.7928991,49.388714,5.0470505,4.6671634,0,0.0,6,-1,-1,-1,-1,-1,0,0
8,0.32,2,car,893.4957,632.2177,18.298433,102.88494,4.4139037,4.765625,0,0.0,-1,-1,-1,-1,-1,-1,4,0
8,0.32,3,truck,1217.8073,697.4653,24.049152,105.92278,18.39214,6.219275,0,0.0,9,-1,-1,-1,-1,-1,6,0
8,0.32,5,pedestrian,606.98804,169.92172,-6.015865,-53.680443,1.0513222,0.3833069,0,0.0,-1,6,-1,-1,-1,-1,0,0
8,0.32,6,pedestrian,459.73093,252.61145,-4.3639617,29.617016,1.3205017,0.52103275,0,0.0,5,1,-1,-1,-1,-1,0,0
8,0.32,9,truck,953.3323,177.43126,26.049538,-57.95625,2.142662,1.788852,0,0.0,-1,3,-1,-1,-1,-1,6,0
9,0.36,1,truck,531.3442,298.76764,2.753372,49.668236,5.0517707,4.70506,0,0.0,6,-1,-1,-1,-1,-1,0,0
9,0.36,2,car,891.8739,620.7088,18.278065,102.01229,4.3765903,4.7108703,0,0.0,4,-1,-1,-1,-1,-1,4,0
9,0.36,3,truck,1215.7118,676.0048,24.230906,104.52562,17.03311,6.428821,0,0.0,-1,-1,-1,-1,-1,-1,6,0
9,0.36,4,car,878.5326,198.59273,18.925755,-25.436573,1.0411819,1.3881348,0,0.0,-1,2,-1,-1,-1,-1,4,0
