Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID,Calib_Version
211,8.44,1,car,1524.6025,79.50327,7.642026,-38.303604,1.8046566,1.1700989,0,0.0,2,-1,-1,-1,-1,-1,2,0
211,8.44,2,car,1562.3562,78.82205,8.219029,-38.997826,1.7191566,1.1098694,0,0.0,3,1,-1,-1,-1,-1,2,0
211,8.44,3,car,1587.5149,79.763405,8.577011,-39.01765,1.7902918,1.285907,0,0.0,5,2,-1,-1,-1,-1,2,0
211,8.44,5,car,1745.4417,79.21268,11.074537,-41.30405,1.787433,1.1046448,0,0.0,-1,3,-1,-1,-1,-1,2,0
212,8.48,2,car,1562.3291,78.9937,8.214768,-38.942413,1.7349062,1.1452576,0,0.0,3,-1,-1,-1,-1,-1,2,0
212,8.48,3,car,1587.6489,79.7947,8.578292,-39.009304,1.7913147,1.3423035,0,0.0,-1,2,-1,-1,-1,-1,2,0
234,9.36,2,car,1562.7806,77.235214,8.261351,-39.516106,1.6097987,1.1517212,0,0.0,-1,-1,-1,-1,-1,-1,2,0
236,9.44,2,car,1562.6495,77.87335,8.244863,-39.307365,1.652549,1.1434205,0,0.0,3,-1,-1,-1,-1,-1,2,0
236,9.44,3,car,1588.48,77.84606,8.638105,-39.651844,1.6831877,1.1943787,0,0.0,-1,2,-1,-1,-1,-1,2,0
237,9.48,2,car,1562.6306,77.820175,8.245782,-39.324333,1.6541592,1.1538696,0,0.0,3,-1,-1,-1,-1,-1,2,0
237,9.48,3,car,1588.6378,77.758835,8.642652,-39.68243,1.6793511,1.1875976,0,0.0,-1,2,-1,-1,-1,-1,2,0
238,9.52,2,car,1562.6705,77.67833,8.249603,-39.370796,1.6447457,1.150647,0,0.0,3,-1,-1,-1,-1,-1,2,0
238,9.52,3,car,1588.5825,77.899185,8.638375,-39.635822,1.682524,1.1867737,0,0.0,-1,2,-1,-1,-1,-1,2,0
239,9.56,2,car,1562.5793,77.79197,8.245646,-39.3328,1.6510829,1.142682,0,0.0,3,-1,-1,-1,-1,-1,2,0
239,9.56,3,car,1588.5068,77.856476,8.638262,-39.64879,1.6779436,1.1862243,0,0.0,-1,2,-1,-1,-1,-1,2,0
240,9.6,2,car,1562.6191,77.80106,8.246042,-39.33037,1.6543413,1.1405579,0,0.0,3,-1,-1,-1,-1,-1,2,0
240,9.6,3,car,1588.571,77.97846,8.636264,-39.609776,1.6768309,1.1926087,0,0.0,-1,2,-1,-1,-1,-1,2,0
241,9.64,2,car,1562.6709,77.91437,8.244256,-39.294373,1.6537288,1.1312379,0,0.0,3,-1,-1,-1,-1,-1,2,0
241,9.64,3,car,1588.5343,78.22697,8.629643,-39.528233,1.6879025,1.1885986,0,0.0,-1,2,-1,-1,-1,-1,2,0
242,9.68,2,car,1562.6367,77.612015,8.250598,-39.391857,1.6343282,1.120099,0,0.0,-1,-1,-1,-1,-1,-1,2,0
243,9.72,2,car,1562.4902,77.70951,8.246169,-39.358356,1.6438712,1.119928,0,0.0,3,-1,-1,-1,-1,-1,2,0
243,9.72,3,car,1588.6724,78.109795,8.634607,-39.568233,1.6775153,1.188269,0,0.0,-1,2,-1,-1,-1,-1,2,0
244,9.76,2,car,1562.4526,77.75299,8.244615,-39.343784,1.6522286,1.1293213,0,0.0,3,-1,-1,-1,-1,-1,2,0
244,9.76,3,car,1588.4822,78.25105,8.628262,-39.519707,1.6879262,1.2014283,0,0.0,-1,2,-1,-1,-1,-1,2,0
245,9.8,2,car,1562.4807,77.82177,8.24348,-39.32188,1.6562885,1.1287354,2,13.88888888888889,3,-1,-1,-1,-1,-1,2,0
