Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID,Calib_Version
234,9.36,1,van,1255.377,659.1034,19.508755,97.35589,1.1715485,2.0202882,0,0.0,-1,-1,-1,-1,-1,-1,2,0
235,9.4,1,van,1255.1062,658.8914,19.50893,97.345406,1.1672333,2.0388062,0,0.0,-1,-1,-1,-1,-1,-1,2,0
237,9.48,1,van,1253.332,659.75946,19.476204,97.388275,1.186087,2.0587342,0,0.0,-1,-1,-1,-1,-1,-1,2,0
238,9.52,1,van,1252.2864,659.38214,19.470224,97.36966,1.1512787,2.0419068,0,0.0,-1,-1,-1,-1,-1,-1,2,0
239,9.56,1,van,1250.9545,659.5195,19.453377,97.37644,1.1577942,2.036499,0,0.0,-1,-1,-1,-1,-1,-1,2,0
246,9.84,1,van,1244.936,661.603,19.355951,97.478775,1.236441,2.2311096,0,0.0,-1,-1,-1,-1,-1,-1,2,0
251,10.04,1,van,1240.0259,661.82574,19.298439,97.489655,1.1616821,2.2152832,0,0.0,-1,-1,-1,-1,-1,-1,2,0
253,10.12,1,van,1238.3666,662.65,19.268236,97.52983,1.1858429,2.1591432,0,0.0,-1,-1,-1,-1,-1,-1,2,0
255,10.2,1,van,1236.3337,662.5414,19.24737,97.52454,1.2070496,2.1973634,0,0.0,-1,-1,-1,-1,-1,-1,2,0
256,10.24,1,van,1236.0513,662.5932,19.243511,97.52706,1.1948853,2.192743,0,0.0,-1,-1,-1,-1,-1,-1,2,0
257,10.28,1,van,1234.6681,663.09766,19.221056,97.55158,1.2051178,2.2152221,0,0.0,-1,-1,-1,-1,-1,-1,2,0
320,12.8,4,bus,1140.0933,691.7966,17.85827,98.86026,1.7306244,3.9331422,0,0.0,-1,-1,-1,-1,-1,-1,2,0
321,12.84,4,bus,1137.8629,691.9105,17.833998,98.865135,1.6849488,3.9690187,0,0.0,-1,-1,-1,-1,-1,-1,2,0
322,12.88,4,bus,1135.8177,692.0596,17.811289,98.87151,1.6583344,4.0762453,0,0.0,-1,-1,-1,-1,-1,-1,2,0
323,12.92,4,bus,1133.9514,695.1249,17.760475,99.0018,1.8229096,4.076593,0,0.0,-1,-1,-1,-1,-1,-1,2,0
324,12.96,4,bus,1130.8577,694.3822,17.736227,98.97039,1.8176575,4.0930667,0,0.0,-1,-1,-1,-1,-1,-1,2,0
329,13.16,4,bus,1121.4553,698.744,17.596342,99.15348,1.8664764,4.3675113,0,0.0,-1,-1,-1,-1,-1,-1,2,0
330,13.2,4,bus,1118.4009,700.7341,17.54591,99.23591,1.9544007,4.4373293,0,0.0,-1,-1,-1,-1,-1,-1,2,0
331,13.24,4,bus,1116.5701,699.99255,17.53445,99.20527,1.8739899,4.5171204,0,0.0,-1,-1,-1,-1,-1,-1,2,0
332,13.28,4,bus,1113.2621,700.9968,17.49121,99.24674,1.9781067,4.5235596,0,0.0,-1,-1,-1,-1,-1,-1,2,0
333,13.32,4,bus,1110.9646,701.6655,17.461557,99.274254,1.9590333,4.506061,0,0.0,-1,-1,-1,-1,-1,-1,2,0
334,13.36,4,bus,1109.605,703.05304,17.434734,99.3311,2.182953,4.63244,0,0.0,-1,-1,-1,-1,-1,-1,2,0
335,13.4,4,bus,1106.908,707.45105,17.366875,99.50916,2.347464,4.7912903,0,0.0,-1,-1,-1,-1,-1,-1,2,0
336,13.44,4,bus,1104.2789,703.92523,17.372835,99.36667,2.1080596,4.6504397,4,27.77777777777778,-1,-1,-1,-1,-1,-1,2,0
337,13.48,4,bus,1102.2441,704.55524,17.346525,99.39229,2.0666292,4.7299013,4,0.0,-1,-1,-1,-1,-1,-1,2,0
338,13.52,4,bus,1098.9148,708.53094,17.277126,99.55239,2.2935486,4.8173404,5,6.944444444444445,-1,8,-1,-1,-1,-1,2,0
338,13.52,8,car,1170.7378,882.3987,16.659662,104.67463,2.1350982,3.7458801,0,0.0,4,-1,-1,-1,-1,-1,2,0
339,13.56,4,bus,1096.3954,707.1892,17.26391,99.49865,2.2035034,4.8739505,4,-6.944444444444445,-1,8,-1,-1,-1,-1,2,0
