Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID,Calib_Version
1,0.04,1,car,506.8107,71.44274,18.001207,183.30516,1.191827,2.632773,0,0.0,-1,-1,-1,-1,-1,-1,2,0
2,0.08,1,car,502.7453,71.311966,18.130339,183.24863,1.2132409,2.4543808,0,0.0,-1,-1,-1,-1,-1,-1,2,0
3,0.12,1,car,500.5437,71.814766,18.220676,183.46652,1.2744185,2.4852798,0,0.0,-1,-1,-1,-1,-1,-1,2,0
4,0.16,1,car,501.24994,68.615486,18.085512,182.10475,1.1772486,2.5548341,0,0.0,-1,-1,-1,-1,-1,-1,2,0
5,0.2,1,car,498.52423,68.28932,18.162169,181.96916,1.1375439,2.5733871,0,0.0,-1,-1,-1,-1,-1,-1,2,0
6,0.24,1,car,496.11185,67.286896,18.204847,181.55603,1.1118742,2.5698762,0,0.0,-1,-1,-1,-1,-1,-1,2,0
7,0.28,1,car,493.76666,70.269966,18.387003,182.80171,1.2078422,2.418097,0,0.0,-1,-1,-1,-1,-1,-1,2,0
18,0.72,38,pedestrian,375.96527,25.978584,20.102022,168.24594,1.1473812,0.513974,0,0.0,-1,-1,-1,-1,-1,-1,2,0
19,0.76,38,pedestrian,375.91205,25.95871,20.102625,168.2409,1.1495937,0.5185043,0,0.0,-1,-1,-1,-1,-1,-1,2,0
20,0.8,38,pedestrian,375.9123,26.124414,20.108772,168.28296,1.1581974,0.5215561,0,0.0,-1,-1,-1,-1,-1,-1,2,0
54,2.16,39,car,1219.8136,616.3062,19.783367,95.01155,0.433786,1.079773,0,0.0,-1,-1,-1,-1,-1,-1,2,0
112,4.48,40,pedestrian,1183.5507,628.00006,19.15236,95.700935,0.7257385,0.9684815,0,0.0,-1,-1,-1,-1,-1,-1,2,0
113,4.52,40,pedestrian,1182.0021,628.31213,19.12907,95.718796,0.7648926,0.8859131,0,0.0,-1,-1,-1,-1,-1,-1,2,0
