Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID,Calib_Version
1,0.038461538461538464,1,truck,364.43347,537.5873,6.5396166,64.23977,9.282167,8.998473,0,0.0,-1,-1,-1,-1,-1,-1,0,0
1,0.038461538461538464,2,truck,533.1444,318.2329,7.1128287,24.20331,3.216098,2.9366593,0,0.0,-1,4,-1,-1,-1,-1,1,0
1,0.038461538461538464,4,car,589.0327,320.52258,10.836328,25.47863,1.5544236,1.4246765,0,0.0,2,-1,-1,-1,-1,-1,1,0
2,0.07692307692307693,1,truck,361.7743,544.56165,6.61359,64.82732,9.521637,9.231478,0,0.0,-1,-1,-1,-1,-1,-1,0,0
2,0.07692307692307693,2,truck,532.9064,318.9724,7.130491,24.492954,3.229229,2.9705765,0,0.0,-1,4,-1,-1,-1,-1,1,0
2,0.07692307692307693,4,car,588.42664,322.238,10.840303,26.122675,1.6851044,1.4884552,0,0.0,2,-1,-1,-1,-1,-1,1,0
3,0.11538461538461539,1,truck,360.5441,548.5987,6.6646,65.158676,9.697678,9.156552,0,0.0,-1,-1,-1,-1,-1,-1,0,0
3,0.11538461538461539,2,truck,532.745,319.40903,7.139486,24.662771,3.2096581,3.0070388,0,0.0,-1,4,-1,-1,-1,-1,1,0
3,0.11538461538461539,4,car,588.27856,321.61887,10.815422,25.88908,1.66895,1.4864289,0,0.0,2,-1,-1,-1,-1,-1,1,0
4,0.15384615384615385,1,truck,355.7279,555.9553,6.678803,65.74484,9.967626,9.502375,0,0.0,-1,-1,-1,-1,-1,-1,0,0
4,0.15384615384615385,2,truck,531.6429,319.94995,7.091473,24.86585,3.1782014,2.9923952,0,0.0,-1,4,-1,-1,-1,-1,1,0
4,0.15384615384615385,4,car,587.3479,322.69,10.782891,26.28446,1.6318817,1.5085846,0,0.0,2,-1,-1,-1,-1,-1,1,0
5,0.19230769230769232,1,truck,352.62543,557.97797,6.630177,65.9015,9.955426,9.640912,0,0.0,2,-1,-1,-1,-1,-1,0,0
5,0.19230769230769232,2,car,529.53357,320.94775,6.998603,25.23709,2.334894,2.8316026,0,0.0,-1,1,-1,-1,-1,-1,0,0
5,0.19230769230769232,4,car,586.5962,322.82614,10.738517,26.33025,1.6140655,1.5276154,0,0.0,-1,-1,-1,-1,-1,-1,1,0
6,0.23076923076923078,1,truck,349.47278,565.70654,6.700625,66.491615,10.288228,9.809072,0,0.0,-1,-1,-1,-1,-1,-1,0,0
6,0.23076923076923078,4,car,585.7211,323.66434,10.70421,26.63537,1.617862,1.5466309,0,0.0,-1,-1,-1,-1,-1,-1,1,0
6,0.23076923076923078,8,car,757.89246,252.29488,24.507133,-11.677261,1.4925117,1.6480347,0,0.0,-1,-1,-1,-1,-1,-1,5,0
7,0.2692307692307692,1,truck,342.4028,574.63116,6.681574,67.14596,10.59055,10.114973,0,0.0,2,-1,-1,-1,-1,-1,0,0
7,0.2692307692307692,2,truck,528.8648,323.5867,7.073329,26.234005,3.3622665,3.0751634,0,0.0,-1,1,-1,-1,-1,-1,0,0
7,0.2692307692307692,4,car,585.7099,325.6852,10.75419,27.373966,1.6845063,1.4669068,0,0.0,-1,-1,-1,-1,-1,-1,1,0
7,0.2692307692307692,8,car,757.9694,252.87357,24.474804,-11.181847,1.6238846,1.6298157,0,0.0,-1,-1,-1,-1,-1,-1,5,0
8,0.3076923076923077,1,truck,339.09882,578.4298,6.6653934,67.41653,10.803752,10.157096,0,0.0,-1,-1,-1,-1,-1,-1,0,0
8,0.3076923076923077,2,truck,528.2095,324.98724,7.092991,26.75029,3.2871263,3.060312,0,0.0,-1,-1,-1,-1,-1,-1,1,0
8,0.3076923076923077,8,car,756.23596,252.58649,24.332933,-11.456886,1.6159753,1.6912445,0,0.0,-1,-1,-1,-1,-1,-1,5,0
9,0.34615384615384615,1,truck,333.51645,585.80444,6.6577926,67.92944,11.076197,10.395217,0,0.0,2,-1,-1,-1,-1,-1,0,0
9,0.34615384615384615,2,truck,525.60925,325.80075,6.9630833,27.032578,3.2483628,2.7948549,0,0.0,-1,1,-1,-1,-1,-1,0,0
9,0.34615384615384615,4,van,584.20013,326.96606,10.691781,27.824968,1.696495,1.5675843,0,0.0,-1,-1,-1,-1,-1,-1,1,0
10,0.38461538461538464,1,truck,330.32684,591.9086,6.690814,68.34228,11.3011465,10.6097555,0,0.0,2,-1,-1,-1,-1,-1,0,0
10,0.38461538461538464,2,truck,526.0648,326.36478,7.016911,27.241453,3.3664796,3.1010346,0,0.0,-1,1,-1,-1,-1,-1,0,0
10,0.38461538461538464,4,car,582.8042,327.83148,10.62674,28.124205,1.5623368,1.4920868,0,0.0,-1,-1,-1,-1,-1,-1,1,0
11,0.4230769230769231,1,truck,324.60565,597.6154,6.646918,68.71755,11.345537,10.856599,0,0.0,2,-1,-1,-1,-1,-1,0,0
11,0.4230769230769231,2,truck,521.8358,328.09576,6.8261957,27.839792,2.8215744,2.726529,0,0.0,-1,1,-1,-1,-1,-1,0,0
11,0.4230769230769231,4,car,582.1758,329.52725,10.630477,28.716148,1.7157074,1.519165,0,0.0,-1,-1,-1,-1,-1,-1,1,0
12,0.46153846153846156,1,car,318.92645,604.5649,6.6291566,69.16297,11.691434,11.004348,0,0.0,2,13,-1,-1,-1,-1,0,0
12,0.46153846153846156,2,truck,519.6387,329.3011,6.7420273,28.2553,2.8978715,2.7224152,0,0.0,-1,1,-1,-1,-1,-1,0,0
12,0.46153846153846156,4,car,581.70447,331.66916,10.654734,29.451775,1.6968781,1.4805145,0,0.0,-1,-1,-1,-1,-1,-1,1,0
12,0.46153846153846156,13,truck,318.74188,606.9228,6.669407,69.31174,11.676201,11.155215,0,0.0,1,-1,-1,-1,-1,-1,0,0
13,0.5,1,car,313.4513,610.2317,6.5928335,69.516495,11.842994,11.371673,0,0.0,13,-1,-1,-1,-1,-1,0,0
13,0.5,2,truck,518.41034,328.79807,6.6423917,28.069181,2.8998642,2.663051,0,0.0,14,13,-1,-1,-1,-1,0,0
13,0.5,4,van,580.88086,333.5833,10.65172,30.093977,1.7260437,1.5136902,0,0.0,-1,-1,-1,-1,-1,-1,1,0
13,0.5,13,truck,314.3887,607.3384,6.562077,69.33644,11.531131,11.414371,0,0.0,2,1,-1,-1,-1,-1,0,0
13,0.5,14,car,518.463,290.97418,4.5314436,11.455137,1.2527145,1.8478028,0,0.0,-1,2,-1,-1,-1,-1,0,0
14,0.5384615384615384,1,truck,309.21613,617.9824,6.628778,69.98781,11.936757,11.411666,38,274.44444444444446,2,-1,-1,-1,-1,-1,0,0
14,0.5384615384615384,2,truck,523.5395,331.35062,7.074211,28.996813,3.32278,3.28125,0,0.0,14,1,-1,-1,-1,-1,0,0
14,0.5384615384615384,4,car,580.552,334.0227,10.642624,30.23893,1.7875503,1.5414063,0,0.0,-1,-1,-1,-1,-1,-1,1,0
14,0.5384615384615384,14,car,515.626,295.15894,4.5976667,13.639112,1.3200638,1.8273239,0,0.0,-1,2,-1,-1,-1,-1,0,0
15,0.5769230769230769,1,truck,305.0701,626.33527,6.67691,70.47942,12.309748,11.647338,38,0.0,2,-1,-1,-1,-1,-1,0,0
15,0.5769230769230769,2,truck,522.83435,331.70206,7.0455756,29.114176,3.4626756,3.330574,32,231.11111111111111,14,1,-1,-1,-1,-1,0,0
15,0.5769230769230769,4,van,580.034,335.00238,10.635369,30.561165,1.8111404,1.5857117,34,245.55555555555557,-1,-1,-1,-1,-1,-1,1,0
15,0.5769230769230769,14,car,516.9407,295.34384,4.709664,13.747123,1.357068,1.9852508,0,0.0,-1,2,-1,-1,-1,-1,0,0
16,0.6153846153846154,1,truck,294.94458,628.5199,6.4599223,70.60317,12.1601305,12.327482,37,-7.222222222222222,14,-1,-1,-1,-1,-1,0,0
16,0.6153846153846154,2,truck,523.3387,334.74738,7.2041645,30.153254,3.5845032,3.432097,37,36.11111111111111,-1,4,-1,-1,-1,-1,1,0
16,0.6153846153846154,4,van,578.8265,336.65906,10.60355,31.097454,1.8409684,1.6006165,35,7.222222222222222,2,-1,-1,-1,-1,-1,1,0
16,0.6153846153846154,14,car,515.0585,296.01907,4.6120524,14.074787,1.273227,1.7718338,0,0.0,-1,1,-1,-1,-1,-1,0,0
17,0.6538461538461539,1,truck,294.7042,630.7307,6.494949,70.7297,12.345862,12.323553,35,-14.444444444444445,2,-1,-1,-1,-1,-1,0,0
17,0.6538461538461539,2,truck,520.021,335.5918,7.037708,30.416235,3.0226288,3.3065827,36,-7.222222222222222,14,1,-1,-1,-1,-1,0,0
17,0.6538461538461539,4,van,578.0724,337.5248,10.579832,31.373726,1.8954147,1.6226014,34,-7.222222222222222,-1,-1,-1,-1,-1,-1,1,0
17,0.6538461538461539,14,car,514.397,295.73203,4.5429015,13.92165,1.172313,1.8168274,0,0.0,-1,2,-1,-1,-1,-1,0,0
18,0.6923076923076923,1,truck,288.16757,654.8351,6.7632637,72.03891,13.452217,12.615245,40,36.11111111111111,2,-1,-1,-1,-1,-1,0,0
18,0.6923076923076923,2,truck,520.3991,335.44937,7.0546856,30.37098,3.4838104,3.391339,33,-21.666666666666668,-1,1,-1,-1,-1,-1,0,0
18,0.6923076923076923,4,van,578.0019,338.28183,10.593988,31.616676,1.9149231,1.656958,33,-7.222222222222222,-1,-1,-1,-1,-1,-1,1,0
19,0.7307692307692307,1,truck,279.9025,658.5017,6.6279974,72.22655,13.410497,13.193351,39,-7.222222222222222,14,-1,-1,-1,-1,-1,0,0
19,0.7307692307692307,2,truck,518.5581,339.3678,7.1058874,31.641806,3.5347397,3.3881638,38,36.11111111111111,-1,4,-1,-1,-1,-1,1,0
19,0.7307692307692307,4,van,576.94214,340.7301,10.590585,32.386204,1.9586182,1.6140412,35,14.444444444444445,2,-1,-1,-1,-1,-1,1,0
