Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.045454545454545456,1,truck,208.20985,390.17303,1.312534,-4.897254,5.4858828,3.6765535,0,0.0,-1,-1,-1,-1,-1,-1,0
1,0.045454545454545456,2,car,702.3772,501.37744,17.83118,19.698366,2.318283,4.565613,0,0.0,3,-1,-1,-1,-1,-1,4
1,0.045454545454545456,3,car,486.24622,385.0654,17.020096,-0.87312394,1.6353378,2.413768,0,0.0,4,2,-1,-1,-1,-1,4
1,0.045454545454545456,4,car,375.38885,316.24777,17.324747,-26.97876,1.0293655,1.5882523,0,0.0,-1,3,-1,-1,-1,-1,4
1,0.045454545454545456,7,car,294.76636,336.08792,9.212544,-20.227648,1.6400055,1.6699982,0,0.0,-1,-1,-1,-1,-1,-1,2
2,0.09090909090909091,1,truck,210.02539,395.5729,1.2867812,-3.5501785,5.6519012,3.679258,0,0.0,-1,-1,-1,-1,-1,-1,0
2,0.09090909090909091,2,car,683.7028,491.9057,17.746222,18.549599,2.3326783,4.312122,0,0.0,3,-1,-1,-1,-1,-1,4
2,0.09090909090909091,3,car,478.26172,379.6592,17.078108,-2.319373,1.536908,2.3162217,0,0.0,4,2,-1,-1,-1,-1,4
2,0.09090909090909091,4,car,370.49155,313.6328,17.286366,-28.45065,0.98034364,1.5719208,0,0.0,-1,3,-1,-1,-1,-1,4
2,0.09090909090909091,7,car,299.75085,339.72537,9.295768,-18.646753,1.6625519,1.7549088,0,0.0,-1,-1,-1,-1,-1,-1,2
3,0.13636363636363635,1,truck,211.86581,399.1328,1.3049135,-2.68363,5.772136,3.7543945,0,0.0,-1,-1,-1,-1,-1,-1,0
3,0.13636363636363635,2,car,674.6002,486.33856,17.765266,17.866297,2.243738,4.2177157,0,0.0,3,-1,-1,-1,-1,-1,4
3,0.13636363636363635,3,car,473.95355,376.19385,17.163351,-3.268285,1.461351,2.2139435,0,0.0,4,2,-1,-1,-1,-1,4
3,0.13636363636363635,4,car,368.3722,311.91498,17.350107,-29.412003,0.96040344,1.5633469,0,0.0,-1,3,-1,-1,-1,-1,4
3,0.13636363636363635,7,car,301.86987,341.8908,9.2849245,-17.75659,1.6862534,1.7688614,0,0.0,-1,-1,-1,-1,-1,-1,2
4,0.18181818181818182,1,truck,212.73337,402.8042,1.2686833,-1.8348923,5.9026427,3.8112876,0,0.0,-1,-1,-1,-1,-1,-1,0
