Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
165,6.6,60,car,506.48828,634.2797,2.5357704,55.98402,3.6014192,6.1744766,0,0.0,-1,-1,-1,-1,-1,-1,0
166,6.64,60,car,517.1166,625.8898,2.5236263,55.44664,3.514322,6.0415454,0,0.0,-1,-1,-1,-1,-1,-1,0
167,6.68,60,car,527.9966,617.78174,2.525748,54.901733,3.4461884,5.8196044,0,0.0,-1,-1,-1,-1,-1,-1,0
168,6.72,60,car,537.2689,610.59503,2.5187612,54.39976,3.3979828,5.627872,0,0.0,-1,-1,-1,-1,-1,-1,0
169,6.76,60,car,547.92004,602.88306,2.5282075,53.835464,3.2857482,5.516249,0,0.0,65,-1,-1,-1,-1,-1,0
169,6.76,65,car,843.41693,327.77292,-4.9903483,-33.753105,0.6863007,1.0444825,0,0.0,-1,60,-1,-1,-1,-1,0
170,6.8,60,car,556.29285,594.9158,2.4721556,53.237514,3.187439,5.34671,0,0.0,65,-1,-1,-1,-1,-1,0
170,6.8,65,car,841.9649,327.62872,-5.1716,-33.83659,0.6519791,1.0711793,0,0.0,-1,60,-1,-1,-1,-1,0
171,6.84,60,car,565.6871,589.9286,2.5418577,52.83038,3.1318176,5.201233,0,0.0,65,-1,-1,-1,-1,-1,0
171,6.84,65,car,841.0436,327.36243,-5.327341,-34.118294,0.6306534,1.1005157,0,0.0,-1,60,-1,-1,-1,-1,0
172,6.88,60,car,574.53076,581.58344,2.4830558,52.1536,3.038431,5.094678,0,0.0,-1,-1,-1,-1,-1,-1,0
173,6.92,60,car,582.47974,574.7008,2.4498312,51.566402,2.9507782,4.9497895,0,0.0,-1,-1,-1,-1,-1,-1,0
174,6.96,60,car,590.51575,568.6744,2.4488738,51.02614,2.8401628,4.80994,66,458.33333333333337,65,-1,-1,-1,-1,-1,0
174,6.96,65,car,839.8911,327.30228,-5.4591274,-34.113777,0.57538456,1.0853637,0,0.0,-1,60,-1,-1,-1,-1,0
175,7.0,60,car,598.47626,564.37164,2.509567,50.616085,2.859317,4.7755313,64,-13.88888888888889,65,-1,-1,-1,-1,-1,0
175,7.0,65,car,838.96356,327.6695,-5.467814,-33.568,0.5804321,1.0690491,0,0.0,-1,60,-1,-1,-1,-1,0
176,7.04,60,car,606.05786,557.6199,2.4696336,49.97576,2.7344468,4.6352324,63,-6.944444444444445,65,-1,-1,-1,-1,-1,0
176,7.04,65,car,838.9336,327.72876,-5.457048,-33.48897,0.5641083,1.1079346,0,0.0,-1,60,-1,-1,-1,-1,0
177,7.08,60,car,613.54565,552.28217,2.479721,49.441097,2.7463455,4.5522704,62,-6.944444444444445,65,-1,-1,-1,-1,-1,0
177,7.08,65,car,837.00665,327.9417,-5.6026483,-33.076523,0.56497496,1.104071,0,0.0,-1,60,-1,-1,-1,-1,0
178,7.12,60,car,620.1522,546.52344,2.4479191,48.851234,2.6751466,4.3632903,62,0.0,65,-1,-1,-1,-1,-1,0
178,7.12,65,car,836.22076,328.78342,-5.486568,-31.948761,0.59611666,1.1312195,0,0.0,-1,60,-1,-1,-1,-1,0
179,7.16,60,car,627.131,541.8236,2.4682434,48.34318,2.6495132,4.3517427,61,-6.944444444444445,65,-1,-1,-1,-1,-1,0
179,7.16,65,car,833.89325,329.47922,-5.558981,-30.918438,0.6130539,1.0994751,0,0.0,-1,60,-1,-1,-1,-1,0
