Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
50,2.0,1,pedestrian,917.2304,353.51865,15.5243225,47.47427,0.84710544,0.46124268,0,0.0,-1,-1,-1,-1,-1,-1,2
51,2.04,1,pedestrian,917.2041,352.93573,15.548658,47.44498,0.81332856,0.43822327,0,0.0,-1,-1,-1,-1,-1,-1,2
52,2.08,1,pedestrian,916.96747,353.04703,15.538725,47.44869,0.8188858,0.4426941,0,0.0,2,3,-1,-1,-1,-1,2
52,2.08,2,pedestrian,848.995,317.84064,15.5596,44.973133,0.8189438,0.41733095,0,0.0,-1,1,-1,-1,-1,-1,2
52,2.08,3,pedestrian,982.00745,417.25204,14.37562,50.713432,0.72501224,0.48434144,0,0.0,1,-1,-1,-1,-1,-1,2
53,2.12,1,pedestrian,917.2513,353.22183,15.537456,47.459633,0.8235489,0.42807007,0,0.0,2,3,-1,-1,-1,-1,2
53,2.12,2,pedestrian,848.98645,318.2277,15.541498,44.996178,0.82929534,0.39521486,0,0.0,-1,1,-1,-1,-1,-1,2
53,2.12,3,pedestrian,982.16064,417.25357,14.378509,50.714542,0.72057647,0.45970765,0,0.0,1,-1,-1,-1,-1,-1,2
54,2.16,1,pedestrian,917.212,353.18826,15.538032,47.45765,0.81227726,0.4232788,0,0.0,2,3,-1,-1,-1,-1,2
54,2.16,2,pedestrian,849.02356,318.77008,15.5173435,45.02881,0.85491335,0.3996826,0,0.0,-1,1,-1,-1,-1,-1,2
54,2.16,3,pedestrian,982.1454,417.14722,14.38198,50.710426,0.709874,0.450531,0,0.0,1,-1,-1,-1,-1,-1,2
55,2.2,1,pedestrian,917.1199,353.00366,15.543911,47.447716,0.8163956,0.42666626,0,0.0,2,3,-1,-1,-1,-1,2
55,2.2,2,pedestrian,849.02295,318.8981,15.511431,45.03642,0.86140746,0.4032379,0,0.0,5,1,-1,-1,-1,-1,2
55,2.2,3,pedestrian,982.2173,417.16257,14.382818,50.711502,0.72044986,0.4592041,0,0.0,1,-1,-1,-1,-1,-1,2
55,2.2,5,pedestrian,759.8305,282.19742,15.060231,41.83254,1.2815689,0.50599974,0,0.0,-1,2,-1,-1,-1,-1,2
56,2.24,1,pedestrian,917.13257,352.99908,15.544384,47.447586,0.81642306,0.42988893,0,0.0,2,3,-1,-1,-1,-1,2
56,2.24,2,pedestrian,849.0249,318.7525,15.518186,45.02777,0.85393524,0.40395814,0,0.0,6,1,-1,-1,-1,-1,2
56,2.24,3,pedestrian,982.23315,417.29016,14.378607,50.716423,0.724379,0.45884094,0,0.0,1,-1,-1,-1,-1,-1,2
56,2.24,5,pedestrian,759.8375,282.09222,15.065586,41.824913,1.2742112,0.504361,0,0.0,-1,6,-1,-1,-1,-1,2
56,2.24,6,pedestrian,800.2169,294.98285,15.459077,43.09657,0.85997164,0.42731935,0,0.0,5,2,-1,-1,-1,-1,2
57,2.28,1,pedestrian,917.06976,352.98767,15.543499,47.446526,0.8141373,0.43081665,0,0.0,2,3,-1,-1,-1,-1,2
57,2.28,2,pedestrian,849.06433,319.0977,15.503217,45.04863,0.871669,0.40488586,0,0.0,6,1,-1,-1,-1,-1,2
57,2.28,3,pedestrian,982.24536,417.49564,14.371573,50.724255,0.7397537,0.4618805,0,0.0,1,-1,-1,-1,-1,-1,2
57,2.28,5,pedestrian,759.9141,282.7206,15.036688,41.8715,1.3083633,0.5286743,0,0.0,-1,6,-1,-1,-1,-1,2
57,2.28,6,pedestrian,800.2089,295.055,15.45537,43.101383,0.8634476,0.42858276,0,0.0,5,2,-1,-1,-1,-1,2
58,2.32,1,pedestrian,917.1542,353.24554,15.53432,47.460056,0.83691865,0.47225037,0,0.0,2,3,-1,-1,-1,-1,2
58,2.32,2,pedestrian,849.1012,318.7884,15.518332,45.03055,0.86860657,0.42802736,0,0.0,6,1,-1,-1,-1,-1,2
58,2.32,3,pedestrian,982.06726,418.0084,14.350044,50.742332,0.7579727,0.5025269,0,0.0,1,-1,-1,-1,-1,-1,2
58,2.32,5,pedestrian,759.901,282.43015,15.050608,41.850185,1.3002335,0.5348358,0,0.0,-1,6,-1,-1,-1,-1,2
58,2.32,6,pedestrian,800.4365,295.20996,15.453519,43.11389,0.8751526,0.4372467,0,0.0,5,2,-1,-1,-1,-1,2
59,2.36,1,pedestrian,917.10583,352.9506,15.545875,47.444954,0.8094147,0.43038025,0,0.0,2,3,-1,-1,-1,-1,2
59,2.36,2,pedestrian,849.04675,319.41208,15.488344,45.06715,0.8916275,0.410495,0,0.0,6,1,-1,-1,-1,-1,2
59,2.36,3,pedestrian,982.2495,418.52756,14.3352375,50.763092,0.76966554,0.4713013,0,0.0,1,-1,-1,-1,-1,-1,2
59,2.36,5,pedestrian,759.882,282.68204,15.037754,41.868393,1.3076569,0.52976686,0,0.0,-1,6,-1,-1,-1,-1,2
59,2.36,6,pedestrian,800.37054,295.32617,15.446228,43.121162,0.8765076,0.42744753,0,0.0,5,2,-1,-1,-1,-1,2
60,2.4,1,pedestrian,917.103,352.97192,15.5449,47.446,0.8113556,0.42929077,0,0.0,2,-1,-1,-1,-1,-1,2
60,2.4,2,pedestrian,848.96484,319.25732,15.493528,45.057278,0.8841538,0.41613466,0,0.0,6,1,-1,-1,-1,-1,2
60,2.4,5,pedestrian,759.8987,282.55777,15.044281,41.85948,1.3014618,0.52950746,0,0.0,-1,6,-1,-1,-1,-1,2
60,2.4,6,pedestrian,800.37317,295.18604,15.4531,43.11171,0.8698975,0.42866212,0,0.0,5,2,-1,-1,-1,-1,2
61,2.44,1,pedestrian,917.09033,352.96832,15.544777,47.445717,0.8126694,0.42911378,0,0.0,2,3,-1,-1,-1,-1,2
61,2.44,2,pedestrian,848.9601,318.97623,15.5063505,45.040535,0.8697586,0.41227722,0,0.0,6,1,-1,-1,-1,-1,2
61,2.44,3,pedestrian,982.32367,418.12802,14.350742,50.748592,0.75124663,0.4619995,0,0.0,1,-1,-1,-1,-1,-1,2
61,2.44,5,pedestrian,759.9103,282.65982,15.039571,41.86703,1.3038543,0.52877504,0,0.0,-1,6,-1,-1,-1,-1,2
61,2.44,6,pedestrian,800.38116,295.02158,15.461293,43.10065,0.86279297,0.4270447,0,0.0,5,2,-1,-1,-1,-1,2
62,2.48,1,pedestrian,917.05536,352.98398,15.543343,47.446228,0.8134934,0.43046266,0,0.0,2,3,-1,-1,-1,-1,2
62,2.48,2,pedestrian,848.94476,318.4093,15.532125,45.006657,0.8394486,0.41049194,0,0.0,6,1,-1,-1,-1,-1,2
62,2.48,3,pedestrian,982.2806,418.0295,14.353392,50.744595,0.7437439,0.4559021,0,0.0,1,-1,-1,-1,-1,-1,2
62,2.48,5,pedestrian,759.8944,282.47446,15.048262,41.853363,1.2960252,0.5255066,0,0.0,-1,6,-1,-1,-1,-1,2
62,2.48,6,pedestrian,800.327,294.62714,15.479139,43.07344,0.84199065,0.43013307,0,0.0,5,2,-1,-1,-1,-1,2
63,2.52,1,pedestrian,917.0149,352.97287,15.5429325,47.44536,0.810286,0.4309082,0,0.0,2,3,-1,-1,-1,-1,2
63,2.52,2,pedestrian,848.9404,318.61526,15.52252,45.01889,0.8454117,0.4059662,0,0.0,6,1,-1,-1,-1,-1,2
63,2.52,3,pedestrian,982.3779,418.27383,14.34664,50.754448,0.75735015,0.47188416,0,0.0,1,-1,-1,-1,-1,-1,2
