Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
35,1.4,10,pedestrian,302.5201,394.69278,-13.703378,42.520435,0.60780793,0.41955262,0,0.0,-1,-1,-1,-1,-1,-1,0
36,1.44,10,pedestrian,302.53235,394.79996,-13.691533,42.539158,0.6201584,0.4248459,0,0.0,-1,-1,-1,-1,-1,-1,0
37,1.48,10,pedestrian,302.54987,394.8503,-13.685627,42.54744,0.623671,0.42625734,0,0.0,-1,-1,-1,-1,-1,-1,0
38,1.52,10,pedestrian,302.5393,394.88718,-13.681991,42.554512,0.6261536,0.4262329,0,0.0,-1,-1,-1,-1,-1,-1,0
39,1.56,10,pedestrian,302.52878,394.852,-13.686067,42.548653,0.6249924,0.42413637,0,0.0,-1,-1,-1,-1,-1,-1,0
40,1.6,10,pedestrian,302.5069,394.76587,-13.695932,42.534138,0.6164673,0.42040253,0,0.0,-1,-1,-1,-1,-1,-1,0
41,1.64,10,pedestrian,302.50275,394.67578,-13.705709,42.518135,0.60967714,0.41783905,0,0.0,-1,-1,-1,-1,-1,-1,0
42,1.68,10,pedestrian,302.48483,394.68588,-13.705153,42.52072,0.61166537,0.4156952,0,0.0,-1,-1,-1,-1,-1,-1,0
43,1.72,10,pedestrian,302.50757,394.61255,-13.712349,42.506557,0.60739136,0.41685334,0,0.0,-1,-1,-1,-1,-1,-1,0
44,1.76,10,pedestrian,302.51068,394.7503,-13.697489,42.531178,0.617836,0.42056274,0,0.0,-1,-1,-1,-1,-1,-1,0
45,1.8,10,pedestrian,302.50024,394.76562,-13.696155,42.53438,0.6199326,0.42339784,0,0.0,-1,-1,-1,-1,-1,-1,0
46,1.84,10,pedestrian,302.5016,394.74188,-13.698659,42.53006,0.6187378,0.42508242,0,0.0,-1,-1,-1,-1,-1,-1,0
47,1.88,10,pedestrian,302.4875,394.67322,-13.706432,42.518333,0.6143204,0.42703554,0,0.0,-1,-1,-1,-1,-1,-1,0
48,1.92,10,pedestrian,302.4664,394.69406,-13.704818,42.522987,0.61728823,0.4259552,0,0.0,-1,-1,-1,-1,-1,-1,0
49,1.96,10,pedestrian,302.47943,394.78186,-13.695026,42.538197,0.62498325,0.43260956,0,0.0,-1,-1,-1,-1,-1,-1,0
50,2.0,10,pedestrian,302.48016,394.67377,-13.706589,42.51875,0.615773,0.4319504,0,0.0,-1,-1,-1,-1,-1,-1,0
51,2.04,10,pedestrian,302.67096,394.56558,-13.712587,42.491043,0.612439,0.4324417,0,0.0,-1,-1,-1,-1,-1,-1,0
54,2.16,10,pedestrian,302.6715,394.43222,-13.726887,42.46702,0.60039216,0.41934967,0,0.0,-1,-1,-1,-1,-1,-1,0
65,2.6,10,pedestrian,302.71588,394.46857,-13.72168,42.471638,0.6041428,0.42612305,0,0.0,-1,-1,-1,-1,-1,-1,0
66,2.64,10,pedestrian,302.6228,394.69498,-13.700126,42.51639,0.58712006,0.41048738,0,0.0,-1,-1,-1,-1,-1,-1,0
67,2.68,10,pedestrian,302.5616,394.76202,-13.694737,42.531082,0.587381,0.41727906,0,0.0,-1,-1,-1,-1,-1,-1,0
70,2.8,10,pedestrian,302.58368,395.3152,-13.634948,42.629272,0.60397035,0.41057283,0,0.0,-1,-1,-1,-1,-1,-1,0
71,2.84,10,pedestrian,302.53235,395.42438,-13.624808,42.651005,0.60998076,0.41051483,0,0.0,-1,-1,-1,-1,-1,-1,0
72,2.88,10,pedestrian,302.51544,395.41187,-13.626638,42.649494,0.6122452,0.414682,0,0.0,-1,-1,-1,-1,-1,-1,0
74,2.96,10,pedestrian,302.53302,395.66446,-13.599216,42.69384,0.625441,0.41839752,0,0.0,-1,-1,-1,-1,-1,-1,0
76,3.04,10,pedestrian,302.581,395.51373,-13.613858,42.664875,0.6136902,0.4253006,0,0.0,-1,-1,-1,-1,-1,-1,0
79,3.16,10,pedestrian,302.56253,395.3439,-13.632504,42.63532,0.6059494,0.42825624,0,0.0,-1,-1,-1,-1,-1,-1,0
80,3.2,10,pedestrian,302.56506,395.1888,-13.648984,42.60746,0.5960312,0.4247925,0,0.0,-1,-1,-1,-1,-1,-1,0
80,3.2,14,pedestrian,557.777,673.47656,5.9933305,63.09907,1.0786896,0.7105835,0,0.0,-1,-1,-1,-1,-1,-1,5
80,3.2,16,pedestrian,467.6219,633.81775,3.212415,62.40237,0.9644806,0.50555724,0,0.0,-1,-1,-1,-1,-1,-1,4
81,3.24,14,pedestrian,558.8574,674.2638,6.030367,63.123775,1.1748718,0.7868744,0,0.0,-1,-1,-1,-1,-1,-1,5
81,3.24,16,pedestrian,467.73602,634.12384,3.2223003,62.418182,0.97963566,0.50760955,0,0.0,-1,-1,-1,-1,-1,-1,4
83,3.32,14,pedestrian,559.2299,670.80566,5.9781,62.93044,1.1767578,0.6437073,0,0.0,-1,-1,-1,-1,-1,-1,5
92,3.68,10,pedestrian,302.69556,394.68896,-13.698632,42.512165,0.5863083,0.4317871,0,0.0,-1,-1,-1,-1,-1,-1,0
103,4.12,10,pedestrian,302.5769,394.23987,-13.750341,42.436455,0.55646366,0.42479706,0,0.0,-1,-1,-1,-1,-1,-1,0
105,4.2,10,pedestrian,302.54803,394.3131,-13.743315,42.45091,0.5620285,0.42363435,0,0.0,-1,-1,-1,-1,-1,-1,0
107,4.28,10,pedestrian,302.56207,394.02426,-13.773988,42.398193,0.5452835,0.42250672,0,0.0,-1,-1,-1,-1,-1,-1,0
