Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.04,1,truck,598.89294,226.88336,3.2003217,25.871407,3.2150872,2.940439,0,0.0,-1,-1,-1,-1,-1,-1,0
1,0.04,2,truck,893.5108,189.58028,23.0565,6.6273336,2.4266517,2.1435363,0,0.0,-1,-1,-1,-1,-1,-1,6
1,0.04,3,car,1021.1366,470.2612,19.662249,68.975555,3.8645935,3.6949556,0,0.0,-1,-1,-1,-1,-1,-1,5
2,0.08,1,truck,597.0974,228.62611,3.183218,26.581562,3.2461488,2.9818451,0,0.0,-1,-1,-1,-1,-1,-1,0
2,0.08,2,truck,892.80725,188.39287,23.086159,5.853245,2.3130462,2.1418092,0,0.0,-1,-1,-1,-1,-1,-1,6
2,0.08,3,car,1013.8017,459.0064,19.651064,68.0936,3.813266,3.5942566,0,0.0,-1,-1,-1,-1,-1,-1,5
3,0.12,1,truck,595.6902,230.36273,3.1891289,27.276085,3.3190858,3.0258882,0,0.0,-1,-1,-1,-1,-1,-1,0
3,0.12,2,truck,891.62024,187.64601,23.04797,5.359865,2.4248147,2.1346986,0,0.0,-1,-1,-1,-1,-1,-1,6
3,0.12,3,car,1012.39526,446.25537,19.827785,67.034744,3.6268601,4.091968,0,0.0,-1,-1,-1,-1,-1,-1,5
4,0.16,1,truck,594.40576,232.06783,3.200539,27.945602,3.3315492,3.0516572,0,0.0,-1,-1,-1,-1,-1,-1,0
4,0.16,2,truck,890.80225,186.99028,23.031385,4.9224706,2.449353,2.1173217,0,0.0,-1,-1,-1,-1,-1,-1,6
4,0.16,3,car,1006.0331,435.40955,19.84092,66.08014,3.5601044,4.0734468,0,0.0,-1,-1,-1,-1,-1,-1,5
5,0.2,1,truck,592.6322,233.85844,3.1875923,28.635855,3.4050272,3.0700715,0,0.0,-1,-1,-1,-1,-1,-1,0
