Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.04,1,truck,714.202,203.57594,16.797401,31.333057,4.2946844,6.668753,0,0.0,-1,-1,-1,-1,-1,-1,4
2,0.08,1,truck,707.30237,199.40613,16.848385,30.792547,4.2395506,6.599509,0,0.0,-1,-1,-1,-1,-1,-1,4
3,0.12,1,truck,701.34467,196.94528,16.827034,30.443617,4.24627,6.553821,0,0.0,-1,-1,-1,-1,-1,-1,4
4,0.16,1,truck,696.15247,193.86905,16.862707,30.02871,4.1308537,6.3562713,0,0.0,-1,-1,-1,-1,-1,-1,4
5,0.2,1,truck,690.40967,190.98634,16.872099,29.621582,3.977682,6.290494,0,0.0,-1,-1,-1,-1,-1,-1,4
6,0.24,1,truck,683.50757,188.04507,16.852299,29.185032,4.0602307,6.3787203,0,0.0,-1,-1,-1,-1,-1,-1,4
7,0.28,1,truck,677.8801,185.39503,16.851046,28.792591,4.0501037,6.206815,0,0.0,-1,-1,-1,-1,-1,-1,4
8,0.32,1,truck,671.57544,181.99698,16.875734,28.292053,3.978305,6.154294,0,0.0,-1,-1,-1,-1,-1,-1,4
9,0.36,1,truck,666.28955,179.01736,16.904888,27.847652,3.9220243,6.0891848,0,0.0,-1,-1,-1,-1,-1,-1,4
10,0.4,1,truck,662.3178,175.60449,17.000301,27.357372,3.8273396,6.1273804,0,0.0,-1,-1,-1,-1,-1,-1,4
10,0.4,3,van,272.77264,76.426285,8.880382,-0.72185713,2.4716556,2.2951562,0,0.0,-1,-1,-1,-1,-1,-1,2
11,0.44,1,truck,656.5044,173.13034,16.983673,26.95402,3.8231664,5.9744964,0,0.0,-1,-1,-1,-1,-1,-1,4
