Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.04,1,car,1083.3336,411.80148,15.646067,48.116592,4.3828874,8.29777,0,0.0,2,10,-1,-1,-1,-1,2
1,0.04,2,car,894.1034,310.15607,15.887284,41.79208,3.8906586,6.484021,0,0.0,13,1,-1,-1,-1,-1,2
1,0.04,3,car,509.41647,109.85392,16.501667,13.844435,2.2088296,3.667807,0,0.0,7,9,-1,-1,-1,-1,2
1,0.04,4,car,302.63977,191.47372,5.234321,24.33758,2.5557802,3.182521,0,0.0,-1,-1,-1,-1,-1,-1,1
1,0.04,6,car,641.4465,185.4603,15.799383,28.313148,2.7180488,4.1751223,0,0.0,9,13,-1,-1,-1,-1,2
1,0.04,7,car,450.17426,91.4282,15.63791,8.232055,1.91377,2.7730668,0,0.0,-1,3,-1,-1,-1,-1,2
1,0.04,9,car,600.4962,157.91898,16.239021,24.009485,2.6219883,3.6050384,0,0.0,3,6,-1,-1,-1,-1,2
1,0.04,10,car,1246.7745,538.7671,14.435373,53.019783,5.9882236,3.3225465,0,0.0,1,-1,-1,-1,-1,-1,2
1,0.04,13,car,745.31165,223.52425,16.520948,33.72695,4.026262,5.4212008,0,0.0,6,2,-1,-1,-1,-1,2
2,0.08,1,car,1083.2493,411.49786,15.654813,48.104057,4.368488,8.2793,0,0.0,2,10,-1,-1,-1,-1,2
2,0.08,2,car,894.0514,310.1795,15.885229,41.7931,3.887468,6.4855866,0,0.0,13,1,-1,-1,-1,-1,2
2,0.08,3,car,509.5102,109.811485,16.508493,13.837309,2.2060125,3.6575456,0,0.0,7,9,-1,-1,-1,-1,2
2,0.08,4,car,308.09778,196.38551,5.2648544,25.092829,2.6455772,3.2782,0,0.0,-1,-1,-1,-1,-1,-1,1
2,0.08,6,car,641.2544,185.41049,15.796697,28.30443,2.7150674,4.1946807,0,0.0,9,13,-1,-1,-1,-1,2
2,0.08,7,car,450.22583,91.30169,15.650301,8.201064,1.9056103,2.7647417,0,0.0,-1,3,-1,-1,-1,-1,2
2,0.08,9,car,600.3229,157.60129,16.253992,23.959867,2.611368,3.5777557,0,0.0,3,6,-1,-1,-1,-1,2
2,0.08,10,car,1246.7858,539.00366,14.429441,53.02593,5.9971633,3.3214233,0,0.0,1,-1,-1,-1,-1,-1,2
2,0.08,13,car,745.32104,223.4375,16.525795,33.718723,4.0219865,5.421411,0,0.0,6,2,-1,-1,-1,-1,2
3,0.12,1,car,1083.1937,411.48883,15.654174,48.103367,4.3671083,8.275088,0,0.0,2,10,-1,-1,-1,-1,2
3,0.12,2,car,894.05115,310.1183,15.887771,41.78934,3.885044,6.489493,0,0.0,13,1,-1,-1,-1,-1,2
3,0.12,3,car,509.6261,109.864716,16.508709,13.851079,2.2091358,3.6466355,0,0.0,7,9,-1,-1,-1,-1,2
3,0.12,4,car,312.0319,200.8746,5.2592525,25.748678,2.6845033,3.3191774,0,0.0,-1,-1,-1,-1,-1,-1,1
3,0.12,6,car,641.2212,185.44429,15.793788,28.308146,2.7173066,4.1994295,0,0.0,9,13,-1,-1,-1,-1,2
3,0.12,7,car,450.13095,91.44593,15.634692,8.235537,1.9153957,2.7733154,0,0.0,-1,3,-1,-1,-1,-1,2
3,0.12,9,car,600.38196,157.5451,16.259474,23.952475,2.6098764,3.5927217,0,0.0,3,6,-1,-1,-1,-1,2
3,0.12,10,car,1246.7821,536.9386,14.482667,52.972553,5.8930483,3.3217895,0,0.0,1,-1,-1,-1,-1,-1,2
3,0.12,13,car,745.3102,223.28954,16.533377,33.704376,4.014783,5.422269,0,0.0,6,2,-1,-1,-1,-1,2
4,0.16,1,car,1083.2141,411.5502,15.652462,48.105923,4.36559,8.268793,0,0.0,2,10,-1,-1,-1,-1,2
4,0.16,2,car,894.0733,310.1043,15.888813,41.788662,3.8797615,6.4828005,0,0.0,13,1,-1,-1,-1,-1,2
4,0.16,3,car,509.61862,110.03674,16.49505,13.887641,2.2194824,3.6536286,0,0.0,7,9,-1,-1,-1,-1,2
4,0.16,4,car,317.30893,204.80211,5.3107567,26.333542,2.660836,3.3628175,0,0.0,-1,-1,-1,-1,-1,-1,1
4,0.16,6,car,641.4308,185.2121,15.813245,28.282356,2.7055206,4.17818,0,0.0,9,13,-1,-1,-1,-1,2
4,0.16,7,car,449.9248,91.62776,15.611486,8.276878,1.9258975,2.8000321,0,0.0,-1,3,-1,-1,-1,-1,2
4,0.16,9,car,600.32666,157.84099,16.238691,23.995348,2.628868,3.5971832,0,0.0,3,6,-1,-1,-1,-1,2
4,0.16,10,car,1246.7751,537.1394,14.477376,52.977722,5.905315,3.3224792,0,0.0,1,-1,-1,-1,-1,-1,2
4,0.16,13,car,745.297,223.33286,16.530737,33.708397,4.016488,5.421927,0,0.0,6,2,-1,-1,-1,-1,2
5,0.2,1,car,1083.2007,411.55484,15.652079,48.106026,4.363324,8.269443,0,0.0,2,10,-1,-1,-1,-1,2
5,0.2,2,car,894.0906,310.13318,15.887971,41.79057,3.8785865,6.4833465,0,0.0,13,1,-1,-1,-1,-1,2
5,0.2,3,car,509.5097,110.09542,16.486399,13.897903,2.2231667,3.6707017,0,0.0,7,9,-1,-1,-1,-1,2
5,0.2,4,car,322.36426,211.41614,5.2795897,27.236486,2.7563934,3.4006302,0,0.0,-1,-1,-1,-1,-1,-1,1
5,0.2,6,car,641.45605,185.06218,15.822634,28.264202,2.7004433,4.171924,0,0.0,9,13,-1,-1,-1,-1,2
5,0.2,7,car,449.98273,91.78986,15.600745,8.319433,1.9343051,2.8125916,0,0.0,-1,3,-1,-1,-1,-1,2
5,0.2,9,car,600.16565,156.91463,16.293324,23.855663,2.5662549,3.6437714,0,0.0,3,6,-1,-1,-1,-1,2
5,0.2,10,car,1246.7667,536.2494,14.5002985,52.95461,5.863533,3.3233278,0,0.0,1,-1,-1,-1,-1,-1,2
5,0.2,13,car,745.2709,223.27072,16.53337,33.70213,4.014118,5.4227266,0,0.0,6,2,-1,-1,-1,-1,2
6,0.24,1,car,1083.1827,411.51773,15.653018,48.104446,4.357834,8.268351,0,0.0,2,10,-1,-1,-1,-1,2
6,0.24,2,car,894.0984,310.15875,15.887069,41.792202,3.8804924,6.4835663,0,0.0,13,1,-1,-1,-1,-1,2
6,0.24,3,car,509.42587,109.9671,16.49322,13.868796,2.2183206,3.6786225,0,0.0,7,9,-1,-1,-1,-1,2
6,0.24,4,car,328.45746,216.06348,5.333806,27.883957,2.8139145,3.4666429,0,0.0,-1,-1,-1,-1,-1,-1,1
6,0.24,6,car,641.39343,185.00757,15.823975,28.256618,2.697036,4.1820254,0,0.0,9,13,-1,-1,-1,-1,2
6,0.24,7,car,449.93726,91.651505,15.610075,8.283209,1.9299637,2.815686,0,0.0,-1,3,-1,-1,-1,-1,2
6,0.24,9,car,600.0912,156.6975,16.305014,23.822235,2.5522404,3.6507537,0,0.0,3,6,-1,-1,-1,-1,2
6,0.24,10,car,1246.7478,535.37573,14.522703,52.931816,5.8201113,3.3252137,0,0.0,1,-1,-1,-1,-1,-1,2
6,0.24,13,car,745.3159,223.27792,16.534142,33.703323,4.017082,5.4293823,0,0.0,6,2,-1,-1,-1,-1,2
7,0.28,1,car,1083.1676,411.51508,15.65285,48.10425,4.35871,8.270517,0,0.0,2,10,-1,-1,-1,-1,2
7,0.28,2,car,894.1068,310.13187,15.888363,41.790623,3.877858,6.4839387,0,0.0,13,1,-1,-1,-1,-1,2
7,0.28,3,car,509.3921,109.99876,16.489489,13.874853,2.217759,3.6802444,0,0.0,7,9,-1,-1,-1,-1,2
7,0.28,4,car,333.81583,221.46518,5.344657,28.59276,2.865921,3.5923097,0,0.0,-1,-1,-1,-1,-1,-1,1
7,0.28,6,car,641.57544,184.89114,15.835978,28.244696,2.6895607,4.168616,0,0.0,9,13,-1,-1,-1,-1,2
