Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.04,1,truck,962.1478,596.94525,21.517626,78.87521,5.1726823,5.307489,0,0.0,2,-1,-1,-1,-1,-1,2
1,0.04,2,car,815.5448,595.22675,16.358734,78.48303,1.7440643,2.0949616,0,0.0,4,1,-1,-1,-1,-1,2
1,0.04,3,truck,799.33386,431.18787,20.163021,-93.91904,1.6428818,1.2834381,0,0.0,7,5,-1,-1,-1,-1,2
1,0.04,4,car,847.021,534.9439,18.731625,50.82847,1.5321594,1.753006,0,0.0,6,2,-1,-1,-1,-1,2
1,0.04,5,car,757.81384,431.00513,15.676187,-93.75696,0.57600707,0.6917084,0,0.0,3,6,-1,-1,-1,-1,2
1,0.04,6,car,817.16016,481.51785,18.83092,5.1054964,1.1247467,1.218161,0,0.0,5,4,-1,-1,-1,-1,2
1,0.04,7,truck,772.2688,425.45804,17.507929,-113.17683,1.5583161,1.3437256,0,0.0,-1,3,-1,-1,-1,-1,2
2,0.08,1,truck,960.6481,594.8007,21.533556,78.138435,5.055757,5.232675,0,0.0,2,-1,-1,-1,-1,-1,2
2,0.08,2,car,814.3932,591.8709,16.35511,77.31347,1.7024018,2.084726,0,0.0,4,1,-1,-1,-1,-1,2
2,0.08,3,truck,799.28345,431.0015,20.172773,-94.51818,1.6334809,1.2806519,0,0.0,5,6,-1,-1,-1,-1,2
2,0.08,4,car,845.84045,533.1942,18.724297,49.756447,1.4501572,1.6925262,0,0.0,6,2,-1,-1,-1,-1,2
2,0.08,5,car,757.725,430.38376,15.682355,-95.76353,0.56318665,0.6908844,0,0.0,7,3,-1,-1,-1,-1,2
2,0.08,6,car,816.12305,480.30252,18.810097,3.6279573,1.1234467,1.1795502,0,0.0,3,4,-1,-1,-1,-1,2
2,0.08,7,truck,772.02515,425.5474,17.474962,-112.840416,1.5695877,1.3607483,0,0.0,-1,5,-1,-1,-1,-1,2
3,0.12,1,truck,958.23755,590.83075,21.577103,76.73915,4.9477096,5.2049837,0,0.0,2,-1,-1,-1,-1,-1,2
3,0.12,2,car,813.7832,588.735,16.368597,76.19003,1.6483948,2.0262573,0,0.0,4,1,-1,-1,-1,-1,2
3,0.12,3,truck,799.3209,430.81467,20.192194,-95.12322,1.6264648,1.2756103,0,0.0,5,6,-1,-1,-1,-1,2
3,0.12,4,car,844.6166,530.1517,18.751396,47.84003,1.3965515,1.7013062,0,0.0,6,2,-1,-1,-1,-1,2
3,0.12,5,car,757.1742,430.0638,15.630348,-96.799706,0.5503861,0.6471405,0,0.0,7,3,-1,-1,-1,-1,2
3,0.12,6,car,816.3271,479.78564,18.84463,2.987025,1.1010147,1.1789979,0,0.0,3,4,-1,-1,-1,-1,2
3,0.12,7,truck,772.19763,425.57922,17.493376,-112.72623,1.558812,1.301059,0,0.0,-1,5,-1,-1,-1,-1,2
4,0.16,1,truck,955.7263,588.9798,21.547062,76.072784,4.917351,5.061676,0,0.0,2,-1,-1,-1,-1,-1,2
4,0.16,2,car,812.71295,585.0339,16.372028,74.82588,1.6553468,2.05802,0,0.0,4,1,-1,-1,-1,-1,2
4,0.16,3,truck,799.30646,430.9431,20.180063,-94.707146,1.6336701,1.287262,0,0.0,5,6,-1,-1,-1,-1,2
4,0.16,4,car,843.65283,528.814,18.742815,46.977978,1.4655793,1.704892,0,0.0,6,2,-1,-1,-1,-1,2
4,0.16,5,car,757.2086,429.97137,15.636433,-97.1042,0.5481888,0.6548859,0,0.0,7,3,-1,-1,-1,-1,2
4,0.16,6,car,815.9083,479.53174,18.826624,2.6735923,1.1207993,1.190445,0,0.0,3,4,-1,-1,-1,-1,2
