Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.04,1,truck,850.4438,587.2167,27.505428,90.09975,5.9142337,6.060901,0,0.0,2,4,-1,-1,-1,-1,2
1,0.04,2,car,674.9126,510.79404,21.2725,70.71196,1.3524216,1.5616547,0,0.0,3,1,-1,-1,-1,-1,2
1,0.04,3,truck,701.22107,446.86163,26.406689,33.94564,2.6588762,2.22222,0,0.0,5,2,-1,-1,-1,-1,2
1,0.04,4,car,733.8211,679.5331,21.032492,101.56719,2.9470642,3.1130433,0,0.0,1,-1,-1,-1,-1,-1,2
1,0.04,5,truck,546.67896,407.3727,7.039448,-27.930065,1.4275497,1.0491852,0,0.0,-1,3,-1,-1,-1,-1,2
2,0.08,1,truck,850.2054,589.7628,27.38996,90.52996,6.049577,6.231781,0,0.0,2,4,-1,-1,-1,-1,2
2,0.08,2,car,674.66223,508.59442,21.311653,69.90247,1.3657486,1.557187,0,0.0,3,1,-1,-1,-1,-1,2
2,0.08,3,truck,700.88934,447.07425,26.35545,34.137276,2.5983675,2.2189271,0,0.0,5,2,-1,-1,-1,-1,2
2,0.08,4,car,731.9651,673.324,21.047,100.98644,2.8540895,3.1026826,0,0.0,1,-1,-1,-1,-1,-1,2
2,0.08,5,truck,546.7465,407.48257,7.0672975,-27.660353,1.4343948,1.0348511,0,0.0,-1,3,-1,-1,-1,-1,2
3,0.12,1,truck,848.96497,588.49445,27.38969,90.3151,6.0337844,6.2460265,0,0.0,2,-1,-1,-1,-1,-1,2
3,0.12,2,car,674.4605,506.2828,21.357864,69.02892,1.3217973,1.5476319,0,0.0,3,1,-1,-1,-1,-1,2
3,0.12,3,truck,700.77454,446.85706,26.362886,33.93683,2.6123307,2.1665802,0,0.0,5,2,-1,-1,-1,-1,2
3,0.12,5,truck,546.5797,407.53674,7.0478897,-27.533726,1.4576889,1.0526825,0,0.0,-1,3,-1,-1,-1,-1,2
4,0.16,1,truck,846.2272,590.387,27.197384,90.62949,6.183745,6.1387973,0,0.0,2,4,-1,-1,-1,-1,2
4,0.16,2,car,673.36835,506.4261,21.28395,69.07976,1.3601059,1.5597047,0,0.0,3,1,-1,-1,-1,-1,2
4,0.16,3,truck,700.57043,446.63135,26.362234,33.726784,2.5557907,2.1449983,0,0.0,5,2,-1,-1,-1,-1,2
4,0.16,4,car,728.0174,658.1573,21.104506,99.4728,2.5736787,3.0569947,0,0.0,1,-1,-1,-1,-1,-1,2
4,0.16,5,truck,546.63965,408.03802,7.133064,-26.323761,1.481244,1.0591644,0,0.0,-1,3,-1,-1,-1,-1,2
5,0.2,1,truck,846.41284,585.4542,27.407072,89.79155,5.995548,6.2928925,0,0.0,2,4,-1,-1,-1,-1,2
5,0.2,2,car,672.86005,504.33588,21.304665,68.26876,1.3484482,1.5059327,0,0.0,3,1,-1,-1,-1,-1,2
5,0.2,3,truck,699.9889,447.01065,26.271929,34.069756,2.662134,2.1311066,0,0.0,5,2,-1,-1,-1,-1,2
5,0.2,4,car,725.2927,655.4693,21.046679,99.18822,2.7001863,2.9410737,0,0.0,1,-1,-1,-1,-1,-1,2
5,0.2,5,truck,546.38086,408.16843,7.1100545,-26.020082,1.4758133,1.0726349,0,0.0,-1,3,-1,-1,-1,-1,2
6,0.24,1,truck,844.43494,579.3287,27.582394,88.700516,5.7355485,6.203546,0,0.0,2,4,-1,-1,-1,-1,2
6,0.24,2,car,672.4226,503.29065,21.303215,67.85472,1.3505859,1.5398957,0,0.0,3,1,-1,-1,-1,-1,2
6,0.24,3,truck,699.4712,446.33197,26.27893,33.438156,2.6998413,2.1361177,0,0.0,5,2,-1,-1,-1,-1,2
6,0.24,4,car,723.2235,650.5694,21.03839,98.658356,2.664856,2.9064178,0,0.0,1,-1,-1,-1,-1,-1,2
6,0.24,5,truck,546.21655,407.90164,7.0430937,-26.66324,1.4627136,1.0782318,0,0.0,-1,3,-1,-1,-1,-1,2
