Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.04,1,truck,360.09686,512.9611,6.0906167,100.343475,12.05651,9.445928,0,0.0,-1,-1,-1,-1,-1,-1,1
1,0.04,3,truck,530.97394,118.46249,1.7687559,-15.427093,1.3256623,1.1296387,0,0.0,-1,-1,-1,-1,-1,-1,0
1,0.04,4,truck,660.9029,119.35521,19.594522,-15.113393,1.4380639,1.0812012,0,0.0,6,5,-1,-1,-1,-1,2
1,0.04,5,car,564.1146,185.53972,8.850015,46.15749,1.3519341,1.416864,0,0.0,4,-1,-1,-1,-1,-1,2
1,0.04,6,car,642.8671,82.640976,20.71572,-118.58642,0.40346947,0.45598754,0,0.0,-1,4,-1,-1,-1,-1,2
2,0.08,1,truck,352.94977,527.6187,6.099705,101.09431,12.611392,9.837937,0,0.0,-1,-1,-1,-1,-1,-1,1
2,0.08,3,truck,530.8292,118.684166,1.7756277,-15.066342,1.3434143,1.1274903,0,0.0,-1,-1,-1,-1,-1,-1,0
2,0.08,4,truck,660.82214,119.02486,19.611727,-15.654208,1.5004925,1.0887269,0,0.0,6,5,-1,-1,-1,-1,2
2,0.08,5,car,564.00507,186.74666,8.867512,46.780346,1.3164147,1.3855714,0,0.0,4,-1,-1,-1,-1,-1,2
2,0.08,6,car,642.8613,82.63282,20.71572,-118.62613,0.40447998,0.45742187,0,0.0,-1,4,-1,-1,-1,-1,2
3,0.12,1,truck,348.67355,538.9283,6.1351414,101.64532,13.111422,10.158027,0,0.0,-1,-1,-1,-1,-1,-1,1
3,0.12,3,truck,530.5718,118.97701,1.7757272,-14.592029,1.3521096,1.1329285,0,0.0,-1,-1,-1,-1,-1,-1,0
3,0.12,4,truck,660.2064,118.18999,19.597925,-17.035799,1.5266091,1.06055,0,0.0,6,5,-1,-1,-1,-1,2
3,0.12,5,car,563.36945,188.86604,8.864081,47.85104,1.337764,1.4042176,0,0.0,4,-1,-1,-1,-1,-1,2
3,0.12,6,car,642.8716,82.62022,20.720339,-118.68827,0.4024639,0.4448578,0,0.0,-1,4,-1,-1,-1,-1,2
4,0.16,1,truck,338.83755,551.17883,6.0536895,102.209465,13.425183,10.480174,0,0.0,-1,-1,-1,-1,-1,-1,1
4,0.16,3,truck,530.47217,119.21976,1.7910901,-14.202256,1.3680366,1.1658478,0,0.0,-1,-1,-1,-1,-1,-1,0
4,0.16,4,truck,659.65686,117.46178,19.583893,-18.262842,1.4814053,1.0652131,0,0.0,6,5,-1,-1,-1,-1,2
4,0.16,5,car,562.9397,190.38359,8.863582,48.600044,1.3408371,1.4006928,0,0.0,4,-1,-1,-1,-1,-1,2
4,0.16,6,car,643.0243,81.74516,20.910042,-123.05864,0.3861664,0.43411866,0,0.0,-1,4,-1,-1,-1,-1,2
5,0.2,1,truck,332.98676,569.0847,6.128344,102.996666,14.061564,10.801719,0,0.0,-1,-1,-1,-1,-1,-1,1
5,0.2,3,truck,530.0109,119.821754,1.800253,-13.24312,1.3811394,1.178357,0,0.0,-1,-1,-1,-1,-1,-1,0
5,0.2,4,truck,659.47736,116.724754,19.623322,-19.529879,1.4635903,1.0752137,0,0.0,6,5,-1,-1,-1,-1,2
5,0.2,5,car,562.6653,192.57231,8.888382,49.655285,1.3903389,1.4364716,0,0.0,4,-1,-1,-1,-1,-1,2
5,0.2,6,car,642.8837,81.81653,20.863014,-122.69122,0.39170036,0.44906616,0,0.0,-1,4,-1,-1,-1,-1,2
6,0.24,1,truck,326.36398,584.3816,6.1536417,103.6271,14.598246,11.102683,0,0.0,-1,-1,-1,-1,-1,-1,1
6,0.24,3,truck,529.8054,119.96337,1.7894741,-13.018593,1.402734,1.1678528,0,0.0,-1,-1,-1,-1,-1,-1,0
6,0.24,4,truck,659.2869,116.384796,19.626286,-20.120773,1.4597839,1.0664307,0,0.0,6,5,-1,-1,-1,-1,2
6,0.24,5,car,561.9824,194.93845,8.886338,50.76421,1.4120163,1.4855622,0,0.0,4,-1,-1,-1,-1,-1,2
6,0.24,6,car,642.808,81.84545,20.83941,-122.54188,0.39328766,0.45140687,0,0.0,-1,4,-1,-1,-1,-1,2
7,0.28,1,truck,319.65268,598.03076,6.1583676,104.16004,15.034052,11.716178,0,0.0,-1,-1,-1,-1,-1,-1,1
7,0.28,3,truck,529.76575,120.30439,1.8240379,-12.484643,1.4185482,1.1668061,0,0.0,-1,-1,-1,-1,-1,-1,0
7,0.28,4,truck,659.0827,115.981316,19.632978,-20.828524,1.4545792,1.0606934,0,0.0,6,5,-1,-1,-1,-1,2
7,0.28,5,car,561.20435,196.75056,8.866454,51.591923,1.402916,1.5033509,0,0.0,4,-1,-1,-1,-1,-1,2
7,0.28,6,car,642.7201,81.66016,20.850632,-123.47861,0.3848732,0.4262329,0,0.0,-1,4,-1,-1,-1,-1,2
8,0.32,1,truck,310.99692,618.9352,6.197761,104.92985,15.786822,12.670342,0,0.0,-1,-1,-1,-1,-1,-1,1
8,0.32,3,truck,529.71375,120.72494,1.8658923,-11.831765,1.4402142,1.1632172,0,0.0,-1,-1,-1,-1,-1,-1,0
8,0.32,4,truck,658.9041,115.81317,19.62227,-21.124556,1.4413502,1.054773,0,0.0,6,5,-1,-1,-1,-1,2
8,0.32,5,car,560.7344,198.90854,8.875774,52.554104,1.4762634,1.4891328,0,0.0,4,-1,-1,-1,-1,-1,2
8,0.32,6,car,642.74896,81.62279,20.864334,-123.670265,0.39293405,0.42694092,0,0.0,-1,4,-1,-1,-1,-1,2
9,0.36,1,truck,300.9112,638.7709,6.1962686,105.60942,16.467695,13.085304,0,0.0,-1,-1,-1,-1,-1,-1,1
9,0.36,3,truck,529.43896,121.265045,1.8917739,-11.0006,1.4653256,1.1673126,0,0.0,-1,-1,-1,-1,-1,-1,0
9,0.36,4,truck,658.6415,115.371,19.623993,-21.910816,1.4281899,1.1256409,0,0.0,6,5,-1,-1,-1,-1,2
9,0.36,5,car,560.4148,201.07607,8.895588,53.49581,1.501448,1.5078675,0,0.0,4,-1,-1,-1,-1,-1,2
9,0.36,6,car,642.65674,81.567505,20.85151,-123.94885,0.39180985,0.43433228,0,0.0,-1,4,-1,-1,-1,-1,2
10,0.4,1,truck,296.89966,672.0038,6.4312673,106.665886,17.935438,13.6110525,0,0.0,-1,-1,-1,-1,-1,-1,1
10,0.4,3,truck,529.18506,121.211395,1.8522935,-11.080474,1.4453133,1.1902039,0,0.0,-1,-1,-1,-1,-1,-1,0
10,0.4,4,truck,658.4955,115.5073,19.590527,-21.66527,1.5038757,1.1636413,0,0.0,6,5,-1,-1,-1,-1,2
10,0.4,5,car,559.9925,203.44318,8.911585,54.497017,1.5186013,1.5221375,0,0.0,4,-1,-1,-1,-1,-1,2
10,0.4,6,car,642.16284,81.46813,20.747658,-124.43776,0.38701326,0.41926575,0,0.0,-1,4,-1,-1,-1,-1,2
11,0.44,1,truck,290.04843,691.2683,6.4757476,107.22546,18.22486,14.027152,0,0.0,-1,-1,-1,-1,-1,-1,1
11,0.44,3,truck,528.969,121.39373,1.844889,-10.80085,1.4319267,1.1797638,0,0.0,-1,-1,-1,-1,-1,-1,0
11,0.44,4,truck,658.5408,114.848755,19.656696,-22.852484,1.4697751,1.1248535,0,0.0,6,5,-1,-1,-1,-1,2
11,0.44,5,van,558.9132,206.10497,8.887894,55.590195,1.5708596,1.5366547,0,0.0,4,-1,-1,-1,-1,-1,2
11,0.44,6,car,642.0692,81.319176,20.750792,-125.20078,0.37714463,0.41564637,0,0.0,-1,4,-1,-1,-1,-1,2
12,0.48,1,truck,274.97742,714.20966,6.406003,107.84429,19.68162,15.330187,0,0.0,-1,-1,-1,-1,-1,-1,1
12,0.48,3,truck,528.97363,121.68726,1.879067,-10.355856,1.4559402,1.1727082,0,0.0,-1,-1,-1,-1,-1,-1,0
12,0.48,4,truck,658.4359,114.07862,19.712135,-24.263622,1.4752365,1.118454,0,0.0,6,5,-1,-1,-1,-1,2
12,0.48,5,van,558.0,208.40576,8.869317,56.50846,1.5923783,1.5783356,0,0.0,4,-1,-1,-1,-1,-1,2
