Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.04,1,truck,342.4254,269.48712,5.5731363,47.3743,3.8765244,3.661946,0,0.0,3,-1,-1,-1,-1,-1,1
1,0.04,3,van,240.07161,129.24374,6.5595903,20.434603,2.0746582,2.0259902,0,0.0,-1,1,-1,-1,-1,-1,1
2,0.08,1,truck,345.38678,272.46954,5.5814214,47.767597,3.8757234,3.6049163,0,0.0,3,-1,-1,-1,-1,-1,1
2,0.08,3,car,241.38394,130.82898,6.5494313,20.897228,2.1620872,2.0365875,0,0.0,-1,1,-1,-1,-1,-1,1
3,0.12,1,truck,349.64594,277.50012,5.5746503,48.40354,3.9296837,3.7488587,0,0.0,3,-1,-1,-1,-1,-1,1
3,0.12,3,car,242.98535,130.82292,6.617158,20.96036,2.1147125,2.0824037,0,0.0,-1,1,-1,-1,-1,-1,1
4,0.16,1,truck,353.4018,283.48492,5.530814,49.115105,4.064838,3.8092957,0,0.0,3,-1,-1,-1,-1,-1,1
4,0.16,3,car,243.95377,130.78722,6.65941,20.990294,2.046275,2.048391,0,0.0,-1,1,-1,-1,-1,-1,1
4,0.16,9,truck,132.4617,114.70781,2.217217,11.474967,4.5174003,2.805999,0,0.0,-1,-1,-1,-1,-1,-1,0
5,0.2,1,truck,356.52203,286.66858,5.5385704,49.507233,4.0515265,3.7980163,0,0.0,3,-1,-1,-1,-1,-1,1
5,0.2,3,car,245.25616,131.5396,6.682849,21.234861,2.0705154,2.0819054,0,0.0,-1,1,-1,-1,-1,-1,1
5,0.2,9,bus,132.99033,116.60348,2.186785,12.0985155,4.711231,2.7834013,0,0.0,-1,-1,-1,-1,-1,-1,0
6,0.24,1,truck,361.6114,292.19125,5.5430565,50.167576,4.1475368,3.9453201,0,0.0,3,-1,-1,-1,-1,-1,1
6,0.24,3,car,247.4595,134.50258,6.652465,22.068836,2.077503,2.1500459,0,0.0,-1,1,-1,-1,-1,-1,1
6,0.24,9,bus,133.23026,110.252075,2.389084,10.07366,4.1572337,2.7792687,0,0.0,-1,-1,-1,-1,-1,-1,0
7,0.28,1,truck,365.49097,296.93665,5.5336905,50.71252,4.2017016,3.9759812,0,0.0,10,-1,-1,-1,-1,-1,1
7,0.28,3,car,249.19986,136.15007,6.657114,22.545107,2.0519485,2.1657073,0,0.0,-1,10,-1,-1,-1,-1,1
7,0.28,9,bus,133.521,107.11619,2.5010588,9.047011,4.0244484,2.7890947,0,0.0,-1,-1,-1,-1,-1,-1,0
7,0.28,10,van,249.6901,136.47913,6.6639147,22.645102,2.0679574,2.1997826,0,0.0,3,1,-1,-1,-1,-1,1
8,0.32,1,truck,369.46356,303.7539,5.478613,51.44634,4.353364,4.0206423,0,0.0,3,-1,-1,-1,-1,-1,1
8,0.32,3,van,250.81033,138.3491,6.6340547,23.144567,2.03587,2.1781769,0,0.0,-1,1,-1,-1,-1,-1,1
8,0.32,9,bus,133.71796,105.80395,2.552443,8.61408,3.8972325,2.8226738,0,0.0,-1,-1,-1,-1,-1,-1,0
9,0.36,1,truck,373.7083,307.84097,5.4947968,51.90895,4.2999454,4.0719895,0,0.0,3,-1,-1,-1,-1,-1,1
9,0.36,3,van,252.89929,139.70587,6.6646466,23.551655,2.0435739,2.1923034,0,0.0,-1,1,-1,-1,-1,-1,1
9,0.36,9,bus,134.61998,106.7769,2.5662222,8.988789,3.9442055,2.8417022,0,0.0,-1,-1,-1,-1,-1,-1,0
10,0.4,1,truck,377.93927,313.17215,5.481935,52.476948,4.3692794,4.1170135,0,0.0,3,-1,-1,-1,-1,-1,1
10,0.4,3,van,254.18582,142.23712,6.6154857,24.20205,2.0848916,2.1987305,0,0.0,-1,1,-1,-1,-1,-1,1
10,0.4,9,bus,134.51266,110.36356,2.4484146,10.173978,4.274589,2.9148223,0,0.0,-1,-1,-1,-1,-1,-1,0
11,0.44,1,van,382.5785,318.4909,5.480013,53.037735,4.4385753,4.2159243,0,0.0,3,-1,-1,-1,-1,-1,1
11,0.44,3,van,255.76309,144.35742,6.594997,24.756926,2.1055615,2.242553,0,0.0,-1,1,-1,-1,-1,-1,1
11,0.44,9,truck,135.27728,110.14802,2.4925048,10.14135,4.137382,2.8796685,0,0.0,-1,-1,-1,-1,-1,-1,0
12,0.48,1,van,387.01923,324.63675,5.454799,53.65439,4.5451975,4.267284,0,0.0,3,-1,-1,-1,-1,-1,1
12,0.48,3,van,257.35458,146.17189,6.587339,25.23428,2.161539,2.2850883,0,0.0,-1,1,-1,-1,-1,-1,1
12,0.48,9,truck,136.37057,114.22719,2.4201572,11.511426,4.2698884,2.8862617,0,0.0,-1,-1,-1,-1,-1,-1,0
12,0.48,17,car,1195.2795,526.985,15.493729,73.458115,5.1239047,8.247833,0,0.0,-1,-1,-1,-1,-1,-1,2
13,0.52,1,truck,392.07318,330.74756,5.446169,54.26229,4.5944567,4.3540454,47,326.38888888888886,3,-1,-1,-1,-1,-1,1
13,0.52,3,van,259.1211,147.93431,6.588738,25.700272,2.164214,2.3219955,36,250.0,-1,1,-1,-1,-1,-1,1
13,0.52,9,truck,136.72337,112.018745,2.5049243,10.821334,4.1644597,2.917712,0,0.0,-1,-1,-1,-1,-1,-1,0
14,0.56,1,truck,396.98575,334.9998,5.4745064,54.698666,4.618254,4.3638034,47,0.0,3,-1,-1,-1,-1,-1,1
14,0.56,3,car,259.1811,148.90265,6.5535216,25.920963,2.1087825,2.3193223,35,-6.944444444444445,-1,1,-1,-1,-1,-1,1
14,0.56,9,truck,137.2992,118.22474,2.3446066,12.806964,4.438263,2.9696567,0,0.0,-1,-1,-1,-1,-1,-1,0
15,0.6,1,truck,401.87424,341.83234,5.446379,55.3359,4.728065,4.436026,47,0.0,3,-1,-1,-1,-1,-1,1
15,0.6,3,car,262.2876,151.31401,6.5827146,26.57022,2.1215863,2.4061234,36,6.944444444444445,-1,1,-1,-1,-1,-1,1
15,0.6,9,truck,138.84915,118.233574,2.4179313,12.882735,4.1995826,2.8861306,0,0.0,-1,-1,-1,-1,-1,-1,0
16,0.64,1,van,408.04813,349.09924,5.440525,56.009464,4.8563485,4.5874453,48,6.944444444444445,3,-1,-1,-1,-1,-1,1
16,0.64,3,car,264.319,154.1908,6.5519323,27.271788,2.2240033,2.3577454,38,13.88888888888889,-1,1,-1,-1,-1,-1,1
16,0.64,9,truck,138.30922,116.36231,2.448478,12.277016,4.4049463,3.0097592,5,34.72222222222222,-1,-1,-1,-1,-1,-1,0
17,0.68,1,truck,413.43024,356.65753,5.410236,56.67358,5.028888,4.6675477,49,6.944444444444445,3,-1,-1,-1,-1,-1,1
17,0.68,3,awning-tricycle,266.1344,157.28088,6.50542,27.998041,2.261872,2.3771667,40,13.88888888888889,-1,1,-1,-1,-1,-1,1
17,0.68,9,bus,138.51656,116.41635,2.4567468,12.303764,4.4907713,3.0348294,5,0.0,-1,-1,-1,-1,-1,-1,0
18,0.72,1,truck,418.6668,361.30322,5.436889,57.100594,5.0181427,4.708066,48,-6.944444444444445,3,-1,-1,-1,-1,-1,1
18,0.72,3,van,268.09766,160.0788,6.4762754,28.654074,2.2730966,2.355484,41,6.944444444444445,-1,1,-1,-1,-1,-1,1
18,0.72,9,bus,138.88196,117.927124,2.4286628,12.78984,4.510982,3.0685132,7,13.88888888888889,-1,-1,-1,-1,-1,-1,0
19,0.76,1,truck,424.17883,368.7559,5.4124837,57.72715,5.092766,4.764142,49,6.944444444444445,3,-1,-1,-1,-1,-1,1
19,0.76,3,van,269.78522,160.67723,6.518302,28.83571,2.2447698,2.366726,39,-13.88888888888889,-1,1,-1,-1,-1,-1,1
19,0.76,9,bus,138.95709,121.66712,2.321588,13.931756,4.6461244,3.0967007,13,41.66666666666667,-1,-1,-1,-1,-1,-1,0
20,0.8,1,truck,430.55096,375.9459,5.4134145,58.32965,5.2010865,4.9258227,49,0.0,3,-1,-1,-1,-1,-1,1
20,0.8,3,awning-tricycle,272.20654,163.15993,6.518211,29.42782,2.3027153,2.3567398,40,6.944444444444445,-1,1,-1,-1,-1,-1,1
20,0.8,9,bus,139.65326,123.77637,2.2928972,14.592132,4.603054,3.1360567,16,20.833333333333336,-1,-1,-1,-1,-1,-1,0
21,0.84,1,truck,437.26,383.74716,5.4098387,58.961834,5.3984375,5.0641785,49,0.0,3,-1,-1,-1,-1,-1,1
21,0.84,3,van,272.91306,165.19705,6.470186,29.864279,2.307879,2.5236123,40,0.0,-1,1,-1,-1,-1,-1,1
21,0.84,9,bus,140.41666,122.98655,2.351374,14.392856,4.0702925,3.132274,14,-13.88888888888889,-1,-1,-1,-1,-1,-1,0
22,0.88,1,truck,444.60962,391.79395,5.41567,59.60033,5.528282,5.292497,50,6.944444444444445,3,-1,-1,-1,-1,-1,1
22,0.88,3,van,276.08698,166.39995,6.5449567,30.20971,2.2548459,2.4248726,39,-6.944444444444445,-1,1,-1,-1,-1,-1,1
22,0.88,9,bus,141.15202,127.8017,2.2471683,15.831977,4.479484,3.1980908,20,41.66666666666667,-1,-1,-1,-1,-1,-1,0
23,0.92,1,truck,451.34808,399.81128,5.4086947,60.20981,5.861905,5.3890643,50,0.0,3,-1,-1,-1,-1,-1,1
23,0.92,3,car,278.15118,169.52028,6.5084414,30.893133,2.315535,2.496498,40,6.944444444444445,-1,1,-1,-1,-1,-1,1
23,0.92,9,truck,141.47058,126.64701,2.2946243,15.513475,4.2575912,3.14624,18,-13.88888888888889,-1,-1,-1,-1,-1,-1,0
24,0.96,1,truck,456.50256,408.698,5.3520093,60.834904,5.7639117,5.420494,50,0.0,3,-1,-1,-1,-1,-1,1
24,0.96,3,car,280.38495,172.19762,6.4946136,31.483665,2.4160576,2.5885894,41,6.944444444444445,-1,1,-1,-1,-1,-1,1
24,0.96,9,truck,142.14658,130.534,2.2158484,16.652094,4.394274,3.1885204,22,27.77777777777778,-1,-1,-1,-1,-1,-1,0
25,1.0,1,truck,462.97885,420.4929,5.271861,61.630306,6.487308,5.4310517,51,6.944444444444445,3,-1,-1,-1,-1,-1,1
25,1.0,3,car,283.03857,176.1842,6.4501257,32.323833,2.554075,2.6740358,42,6.944444444444445,-1,1,-1,-1,-1,-1,1
25,1.0,9,truck,142.72667,131.29482,2.220976,16.89075,5.11086,3.197937,22,0.0,-1,-1,-1,-1,-1,-1,0
26,1.04,1,car,470.20914,424.3696,5.3517756,61.94756,5.912009,5.5474334,51,0.0,3,-1,-1,-1,-1,-1,1
26,1.04,3,car,284.66733,178.97523,6.4114003,32.892918,2.6175988,2.758005,43,6.944444444444445,-1,1,-1,-1,-1,-1,1
26,1.04,9,truck,143.04207,133.0696,2.1860921,17.397703,5.3594904,3.2603421,23,6.944444444444445,-1,-1,-1,-1,-1,-1,0
27,1.08,1,truck,476.6266,433.1117,5.326639,62.52705,5.9985733,5.6346116,50,-6.944444444444445,3,-1,-1,-1,-1,-1,1
27,1.08,3,car,286.0854,181.85509,6.362774,33.462246,2.5964546,2.7969253,45,13.88888888888889,-1,1,-1,-1,-1,-1,1
27,1.08,9,truck,143.63124,132.5668,2.22654,17.283932,5.1919684,3.3239105,21,-13.88888888888889,-1,-1,-1,-1,-1,-1,0
28,1.12,1,car,483.40192,442.40897,5.2997265,63.123947,6.1717653,5.8172975,50,0.0,3,-1,-1,-1,-1,-1,1
28,1.12,3,car,289.72858,184.13338,6.414005,33.981026,2.5410607,2.7381349,46,6.944444444444445,-1,1,-1,-1,-1,-1,1
28,1.12,9,truck,145.0018,133.03047,2.2753973,17.470976,5.0764365,3.2350736,21,0.0,-1,-1,-1,-1,-1,-1,0
29,1.16,1,van,491.21378,453.77423,5.258697,63.82323,6.3964553,5.8879733,51,6.944444444444445,3,-1,-1,-1,-1,-1,1
29,1.16,3,car,291.87192,187.22205,6.384475,34.590126,2.5721939,2.8169098,48,13.88888888888889,-1,1,-1,-1,-1,-1,1
29,1.16,9,truck,145.96078,133.14377,2.3153563,17.543287,4.4305034,3.2862802,19,-13.88888888888889,-1,-1,-1,-1,-1,-1,0
30,1.2,1,car,499.8717,462.89236,5.273219,64.39214,6.4809937,6.050824,51,0.0,3,-1,-1,-1,-1,-1,1
