Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.04,1,truck,1215.1868,748.41797,21.527512,2.0097094,16.454288,16.183466,0,0.0,-1,2,-1,-1,-1,-1,2
1,0.04,2,truck,1581.0299,391.4905,24.456953,36.675068,5.4775023,4.6536746,0,0.0,1,10,-1,-1,-1,-1,2
1,0.04,10,van,1625.4658,285.7993,23.560165,66.81009,2.0703857,3.0089662,0,0.0,2,13,-1,-1,-1,-1,2
1,0.04,13,van,1627.2817,276.51868,23.310415,70.807236,1.6456918,2.7580507,0,0.0,10,-1,-1,-1,-1,-1,2
2,0.08,1,truck,1215.939,741.7865,21.445929,2.2344215,16.276493,15.688062,0,0.0,-1,2,-1,-1,-1,-1,2
2,0.08,2,truck,1581.592,391.61774,24.481678,36.672886,5.5561023,4.6627383,0,0.0,1,10,-1,-1,-1,-1,2
2,0.08,10,van,1625.2358,286.76694,23.58263,66.410286,2.1248658,3.0267944,0,0.0,2,-1,-1,-1,-1,-1,2
3,0.12,1,truck,1219.5657,741.9164,21.511831,2.274158,16.389736,15.432068,0,0.0,-1,2,-1,-1,-1,-1,2
3,0.12,2,truck,1581.1216,391.7956,24.46725,36.624916,5.5799,4.6186523,0,0.0,1,16,-1,-1,-1,-1,2
3,0.12,10,van,1625.2391,286.83777,23.58543,66.382484,2.124801,3.0378053,0,0.0,16,-1,-1,-1,-1,-1,2
3,0.12,16,truck,1560.9181,302.66187,20.731478,56.837395,4.941364,4.1375732,0,0.0,2,10,-1,-1,-1,-1,2
4,0.16,1,truck,1223.0437,735.2185,21.476929,2.5392926,16.014872,15.724921,0,0.0,-1,2,-1,-1,-1,-1,2
4,0.16,2,truck,1580.8213,391.67557,24.452902,36.635185,5.5169053,4.580139,0,0.0,1,16,-1,-1,-1,-1,2
4,0.16,10,van,1625.1418,285.8169,23.542017,66.78163,2.0722558,3.0059876,0,0.0,16,-1,-1,-1,-1,-1,2
4,0.16,16,truck,1560.3594,302.35117,20.688568,56.905766,4.9067025,4.0921693,0,0.0,2,10,-1,-1,-1,-1,2
5,0.2,1,truck,1226.3038,735.6096,21.540741,2.5662255,16.215858,15.382886,0,0.0,-1,2,-1,-1,-1,-1,2
5,0.2,2,truck,1581.8174,391.5893,24.489843,36.685936,5.7090454,4.6480956,0,0.0,1,16,-1,-1,-1,-1,2
5,0.2,10,van,1625.2089,287.34174,23.6022,66.18166,2.1462357,3.0180054,0,0.0,18,13,-1,-1,-1,-1,2
5,0.2,13,van,1626.9321,276.9084,23.304834,70.61289,1.6672509,2.7915466,0,0.0,10,-1,-1,-1,-1,-1,2
5,0.2,16,truck,1560.7949,302.1253,20.700773,57.003002,4.90212,4.106964,0,0.0,2,18,-1,-1,-1,-1,2
5,0.2,18,van,1621.0759,291.84293,23.53052,64.18329,1.812259,3.3688843,0,0.0,16,10,-1,-1,-1,-1,2
6,0.24,1,truck,1227.7765,729.4244,21.477184,2.7943707,15.958043,15.42511,0,0.0,-1,2,-1,-1,-1,-1,2
6,0.24,2,truck,1581.7812,391.57382,24.488092,36.687355,5.6680236,4.641913,0,0.0,1,16,-1,-1,-1,-1,2
6,0.24,10,van,1625.0757,286.6006,23.567232,66.46563,2.110216,3.0025756,0,0.0,18,13,-1,-1,-1,-1,2
6,0.24,13,van,1626.8333,276.68475,23.28992,70.70313,1.6557724,2.7785034,0,0.0,10,-1,-1,-1,-1,-1,2
6,0.24,16,truck,1560.0659,302.08545,20.661314,56.974747,4.91439,4.0579715,0,0.0,2,18,-1,-1,-1,-1,2
6,0.24,18,van,1620.7281,291.3943,23.494606,64.33043,1.7621597,3.3552978,0,0.0,16,10,-1,-1,-1,-1,2
7,0.28,1,truck,1231.4094,722.94257,21.447289,3.064223,15.618064,15.211835,0,0.0,-1,2,-1,-1,-1,-1,2
7,0.28,2,truck,1581.6055,391.65833,24.483093,36.666256,5.6587205,4.5995607,0,0.0,1,16,-1,-1,-1,-1,2
7,0.28,10,van,1625.3557,284.46573,23.50394,67.338455,2.007405,2.9460938,0,0.0,18,13,-1,-1,-1,-1,2
7,0.28,13,van,1626.7385,274.7904,23.207645,71.52821,1.5744743,2.7771668,0,0.0,10,-1,-1,-1,-1,-1,2
7,0.28,16,truck,1560.1497,302.24402,20.672869,56.92842,4.928473,4.0676575,0,0.0,2,18,-1,-1,-1,-1,2
7,0.28,18,van,1619.7175,290.57642,23.407465,64.57607,2.002855,3.2502382,0,0.0,16,10,-1,-1,-1,-1,2
8,0.32,1,truck,1231.6073,719.336,21.3971,3.1935594,15.451073,15.277844,0,0.0,-1,2,-1,-1,-1,-1,2
8,0.32,2,truck,1581.7043,391.75897,24.48916,36.652164,5.7919617,4.6185303,0,0.0,1,16,-1,-1,-1,-1,2
8,0.32,10,van,1625.2184,286.25302,23.562637,66.61297,2.1041915,2.9498413,0,0.0,18,-1,-1,-1,-1,-1,2
8,0.32,16,truck,1560.4271,302.8204,20.713364,56.758995,4.9494987,4.0711303,0,0.0,2,18,-1,-1,-1,-1,2
8,0.32,18,van,1620.7943,293.06674,23.558777,63.7075,1.8493515,3.3485596,0,0.0,16,10,-1,-1,-1,-1,2
9,0.36,1,truck,1236.8359,716.48425,21.450054,3.361472,15.529274,14.776001,0,0.0,-1,2,-1,-1,-1,-1,2
9,0.36,2,truck,1582.0215,391.90842,24.504799,36.63734,5.767981,4.625751,0,0.0,1,16,-1,-1,-1,-1,2
9,0.36,10,van,1625.0328,285.7623,23.533659,66.79621,2.072445,2.9227173,0,0.0,18,-1,-1,-1,-1,-1,2
9,0.36,16,truck,1559.8828,302.81787,20.685225,56.729263,4.9393845,4.0345583,0,0.0,2,18,-1,-1,-1,-1,2
9,0.36,18,van,1620.2917,290.73685,23.445885,64.55169,2.1009202,3.1541138,0,0.0,16,10,-1,-1,-1,-1,2
10,0.4,1,truck,1240.4858,712.70087,21.460396,3.544476,15.382729,14.816937,0,0.0,-1,2,-1,-1,-1,-1,2
10,0.4,2,truck,1582.3591,392.0225,24.520452,36.62945,5.8454013,4.68573,0,0.0,1,16,-1,-1,-1,-1,2
10,0.4,10,van,1624.9219,286.34717,23.548956,66.55602,2.1085045,2.9327698,0,0.0,18,13,-1,-1,-1,-1,2
10,0.4,13,van,1627.054,276.52536,23.296894,70.788185,1.6571839,2.7227113,0,0.0,10,-1,-1,-1,-1,-1,2
10,0.4,16,truck,1560.0825,303.0722,20.707033,56.659122,4.9654284,4.0580077,0,0.0,2,18,-1,-1,-1,-1,2
10,0.4,18,van,1620.5554,293.48676,23.56044,63.53652,1.891549,3.3517702,0,0.0,16,10,-1,-1,-1,-1,2
11,0.44,1,truck,1239.4155,709.3733,21.390188,3.6518557,15.425677,14.725165,0,0.0,-1,2,-1,-1,-1,-1,2
11,0.44,2,truck,1582.1316,392.05078,24.512203,36.61637,5.827205,4.6453857,0,0.0,1,16,-1,-1,-1,-1,2
11,0.44,10,van,1625.0671,286.6205,23.567474,66.45718,2.124089,2.9132447,0,0.0,18,-1,-1,-1,-1,-1,2
11,0.44,16,truck,1560.1885,302.4405,20.683819,56.867447,4.9277034,4.041504,0,0.0,2,18,-1,-1,-1,-1,2
11,0.44,18,van,1620.8195,293.57388,23.578335,63.52072,1.8927482,3.3404908,0,0.0,16,10,-1,-1,-1,-1,2
12,0.48,1,truck,1244.5186,706.46423,21.44073,3.8251646,15.306139,14.45965,0,0.0,-1,2,-1,-1,-1,-1,2
12,0.48,2,truck,1585.0986,392.11893,24.629368,36.710518,6.1154265,4.9733768,0,0.0,1,16,-1,-1,-1,-1,2
12,0.48,10,van,1625.019,286.5792,23.563166,66.47038,2.1318023,2.863269,0,0.0,16,13,-1,-1,-1,-1,2
12,0.48,13,van,1629.3684,275.12094,23.38142,71.57042,1.6156731,2.7023866,0,0.0,10,-1,-1,-1,-1,-1,2
12,0.48,16,truck,1559.99,302.40918,20.67216,56.866337,4.9460464,3.9943788,0,0.0,2,10,-1,-1,-1,-1,2
13,0.52,1,truck,1246.6842,702.4995,21.42056,4.0012465,15.061393,14.466321,13,90.27777777777779,-1,2,-1,-1,-1,-1,2
13,0.52,2,truck,1583.7981,392.0494,24.577133,36.67618,5.9610186,4.83338,0,0.0,1,16,-1,-1,-1,-1,2
13,0.52,10,van,1625.0181,286.52698,23.561178,66.49101,2.1178734,2.880182,2,13.88888888888889,16,-1,-1,-1,-1,-1,2
13,0.52,16,truck,1560.1559,303.28537,20.720448,56.595177,4.9945617,3.9828858,0,0.0,2,10,-1,-1,-1,-1,2
14,0.56,1,truck,1248.6167,699.5222,21.41102,4.138961,14.914542,14.46532,13,0.0,-1,2,-1,-1,-1,-1,2
14,0.56,2,truck,1584.9973,392.19113,24.626968,36.694244,5.9819045,4.9855714,1,6.944444444444445,1,16,-1,-1,-1,-1,2
14,0.56,10,van,1624.9805,286.38812,23.553864,66.543625,2.1095827,2.8747315,1,-6.944444444444445,16,-1,-1,-1,-1,-1,2
14,0.56,16,truck,1559.8223,303.40753,20.708828,56.53758,4.9728007,3.9306703,0,0.0,2,10,-1,-1,-1,-1,2
15,0.6,1,truck,1252.3169,696.185,21.429276,4.315289,14.994071,14.407056,13,0.0,-1,2,-1,-1,-1,-1,2
15,0.6,2,truck,1584.1375,392.12512,24.592007,36.675056,5.9777255,4.9154115,0,-6.944444444444445,1,16,-1,-1,-1,-1,2
15,0.6,10,van,1624.9744,287.06345,23.57845,66.27597,2.1445472,2.8835816,3,13.88888888888889,16,-1,-1,-1,-1,-1,2
15,0.6,16,truck,1559.7834,303.16962,20.696068,56.611267,4.973063,3.9281068,1,6.944444444444445,2,10,-1,-1,-1,-1,2
16,0.64,1,truck,1253.8418,695.0497,21.440584,4.379271,14.905911,14.408002,13,0.0,-1,2,-1,-1,-1,-1,2
16,0.64,2,truck,1582.2661,392.04025,24.517216,36.62302,5.820961,4.694513,0,0.0,1,16,-1,-1,-1,-1,2
16,0.64,10,van,1625.1189,287.3841,23.598566,66.1591,2.159874,2.9203918,3,0.0,16,-1,-1,-1,-1,-1,2
16,0.64,16,truck,1559.8179,303.02567,20.691313,56.659164,4.9601603,3.928534,1,0.0,2,10,-1,-1,-1,-1,2
17,0.68,1,truck,1257.1848,690.9774,21.440853,4.5821724,14.850281,14.18764,13,0.0,-1,2,-1,-1,-1,-1,2
17,0.68,2,truck,1581.6372,391.9144,24.489954,36.62256,5.827359,4.6495423,0,0.0,1,16,-1,-1,-1,-1,2
17,0.68,10,van,1625.3594,287.00345,23.598469,66.3249,2.1494508,2.920697,2,-6.944444444444445,16,-1,-1,-1,-1,-1,2
17,0.68,16,truck,1559.9415,302.627,20.679575,56.793705,4.9289756,3.9429688,0,-6.944444444444445,2,10,-1,-1,-1,-1,2
18,0.72,1,truck,1258.7551,686.6686,21.4033,4.773101,14.604802,14.102984,13,0.0,-1,2,-1,-1,-1,-1,2
18,0.72,2,truck,1581.6658,392.0393,24.493805,36.601738,5.6928697,4.6577945,0,0.0,1,16,-1,-1,-1,-1,2
18,0.72,10,van,1624.9031,286.6447,23.558882,66.4368,2.130259,2.945874,1,-6.944444444444445,16,-1,-1,-1,-1,-1,2
18,0.72,16,truck,1559.9265,302.44144,20.670357,56.85241,4.929868,3.9647279,0,0.0,2,10,-1,-1,-1,-1,2
19,0.76,1,truck,1263.1406,684.03204,21.446236,4.9379883,14.485489,13.912964,13,0.0,-1,2,-1,-1,-1,-1,2
19,0.76,2,truck,1582.102,392.04977,24.51103,36.615494,5.7268343,4.701465,0,0.0,1,16,-1,-1,-1,-1,2
19,0.76,10,van,1624.5894,287.33826,23.566362,66.1425,2.1639144,2.9709535,3,13.88888888888889,16,-1,-1,-1,-1,-1,2
19,0.76,16,truck,1559.6663,301.2803,20.603745,57.21232,4.8523555,3.9347475,2,13.88888888888889,2,10,-1,-1,-1,-1,2
20,0.8,1,truck,1266.4644,680.97986,21.462366,5.106673,14.280194,13.572003,13,0.0,-1,2,-1,-1,-1,-1,2
20,0.8,2,truck,1581.658,391.9584,24.491728,36.615604,5.6397815,4.6486697,0,0.0,1,16,-1,-1,-1,-1,2
20,0.8,10,van,1624.8152,287.60797,23.589281,66.05128,2.1683166,2.957129,3,0.0,18,13,-1,-1,-1,-1,2
20,0.8,13,van,1628.4429,274.23355,23.28915,71.89847,1.5783272,2.7336242,0,0.0,10,-1,-1,-1,-1,-1,2
20,0.8,16,truck,1559.6328,301.27203,20.601631,57.213104,4.868652,3.9385622,1,-6.944444444444445,2,18,-1,-1,-1,-1,2
20,0.8,18,van,1620.367,292.90442,23.528967,63.74115,1.8386765,3.3671937,0,0.0,16,10,-1,-1,-1,-1,2
21,0.84,1,truck,1268.166,677.7057,21.44344,5.2637477,14.296584,13.689166,13,0.0,-1,2,-1,-1,-1,-1,2
21,0.84,2,truck,1581.508,392.1621,24.490355,36.57465,5.657909,4.6316714,0,0.0,1,16,-1,-1,-1,-1,2
21,0.84,10,van,1624.755,288.0044,23.600334,65.89203,2.1838043,2.9696412,3,0.0,16,13,-1,-1,-1,-1,2
21,0.84,13,van,1626.1382,277.18723,23.268055,70.436,1.6774994,2.7711608,0,0.0,10,-1,-1,-1,-1,-1,2
21,0.84,16,truck,1560.2026,301.4761,20.640501,57.179253,4.8860316,4.0103393,1,0.0,2,10,-1,-1,-1,-1,2
22,0.88,1,truck,1268.585,673.99524,21.392094,5.4227104,14.074626,13.570111,13,0.0,-1,2,-1,-1,-1,-1,2
