Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.04,1,truck,787.71423,336.45386,25.657022,-8.952561,2.6851807,2.8990114,0,0.0,6,4,-1,-1,-1,-1,2
1,0.04,2,car,556.8846,335.23682,6.5545697,-30.62953,1.128064,1.2960389,0,0.0,-1,-1,-1,-1,-1,-1,1
1,0.04,3,truck,524.7705,291.09778,7.3726993,-134.54684,1.9133469,1.9007202,0,0.0,-1,6,-1,-1,-1,-1,2
1,0.04,4,car,901.0963,435.3981,19.049603,56.933426,1.7182099,2.7315462,0,0.0,1,-1,-1,-1,-1,-1,2
1,0.04,5,truck,483.3459,293.53897,0.57575446,-137.57326,1.7251862,1.3249512,0,0.0,-1,-1,-1,-1,-1,-1,0
1,0.04,6,truck,651.54193,301.66168,21.459425,-77.58335,1.8699875,1.6163148,0,0.0,3,1,-1,-1,-1,-1,2
2,0.08,1,truck,786.3753,335.88248,25.673967,-9.663042,2.6461182,2.8340516,0,0.0,6,4,-1,-1,-1,-1,2
2,0.08,2,car,556.8791,335.22314,6.555165,-30.649467,1.1286331,1.2963196,0,0.0,-1,-1,-1,-1,-1,-1,1
2,0.08,3,truck,525.21924,291.3026,7.412465,-133.70464,1.9144043,1.918779,0,0.0,-1,6,-1,-1,-1,-1,2
2,0.08,4,car,897.46533,434.47757,18.97203,56.52463,1.820404,2.7039154,0,0.0,1,-1,-1,-1,-1,-1,2
2,0.08,5,truck,483.44363,293.64917,0.5853134,-137.14803,1.7237198,1.3302978,0,0.0,-1,-1,-1,-1,-1,-1,0
2,0.08,6,truck,651.18304,301.55215,21.447697,-77.886604,1.8187256,1.575763,0,0.0,3,1,-1,-1,-1,-1,2
3,0.12,1,truck,785.3557,335.3315,25.710049,-10.333772,2.6414704,2.886313,0,0.0,6,4,-1,-1,-1,-1,2
3,0.12,2,car,556.91223,335.2716,6.554389,-30.577414,1.1212158,1.2906464,0,0.0,-1,-1,-1,-1,-1,-1,1
3,0.12,3,truck,525.6625,291.4416,7.460433,-133.09781,1.9024734,1.9100037,0,0.0,-1,6,-1,-1,-1,-1,2
3,0.12,4,car,894.33734,432.87775,18.976751,55.870323,1.8688462,2.558722,0,0.0,1,-1,-1,-1,-1,-1,2
3,0.12,5,truck,483.96988,294.3896,0.62773144,-134.3599,1.7189102,1.2810639,0,0.0,-1,-1,-1,-1,-1,-1,0
3,0.12,6,truck,650.8246,301.13892,21.511234,-78.867874,1.8264878,1.516983,0,0.0,3,1,-1,-1,-1,-1,2
4,0.16,1,truck,785.1438,334.99426,25.762096,-10.715721,2.6246796,2.8300445,0,0.0,6,4,-1,-1,-1,-1,2
4,0.16,2,car,556.93445,335.31836,6.55269,-30.508955,1.120169,1.2923187,0,0.0,-1,-1,-1,-1,-1,-1,1
4,0.16,3,truck,525.8407,291.48077,7.4820175,-132.91252,1.9081696,1.891887,0,0.0,-1,6,-1,-1,-1,-1,2
4,0.16,4,car,890.44617,431.1972,18.95472,55.15985,1.8360138,2.5459168,0,0.0,1,-1,-1,-1,-1,-1,2
4,0.16,5,truck,484.0053,294.56345,0.6233679,-133.73764,1.7288269,1.2838684,0,0.0,-1,-1,-1,-1,-1,-1,0
4,0.16,6,truck,649.52454,301.2092,21.352682,-78.933075,1.8568573,1.5440613,0,0.0,3,1,-1,-1,-1,-1,2
5,0.2,1,truck,784.32764,334.48355,25.805468,-11.335743,2.614447,2.8179536,0,0.0,6,4,-1,-1,-1,-1,2
5,0.2,2,car,556.9655,335.35864,6.5523896,-30.44879,1.1147095,1.2884887,0,0.0,-1,-1,-1,-1,-1,-1,1
5,0.2,3,truck,526.3751,291.69562,7.532795,-132.02214,1.8971084,1.8971161,0,0.0,-1,6,-1,-1,-1,-1,2
5,0.2,4,car,885.7411,429.7226,18.876925,54.499397,1.8646576,2.4947388,0,0.0,1,-1,-1,-1,-1,-1,2
5,0.2,5,truck,484.18768,294.89795,0.6333546,-132.51648,1.7416505,1.2764603,0,0.0,-1,-1,-1,-1,-1,-1,0
5,0.2,6,truck,649.0197,301.3185,21.27087,-78.774925,1.865976,1.5289795,0,0.0,3,1,-1,-1,-1,-1,2
6,0.24,1,truck,783.18494,334.153,25.789017,-11.787252,2.6413314,2.8242035,0,0.0,6,4,-1,-1,-1,-1,2
6,0.24,2,car,556.9914,335.39606,6.5518208,-30.39325,1.108014,1.2820495,0,0.0,-1,-1,-1,-1,-1,-1,1
6,0.24,3,truck,526.9262,291.6488,7.622904,-132.03293,1.8985351,1.9120972,0,0.0,-1,6,-1,-1,-1,-1,2
6,0.24,4,car,881.9022,425.73434,19.068903,52.86192,1.679779,2.4493012,0,0.0,1,-1,-1,-1,-1,-1,2
6,0.24,5,truck,484.31714,294.99274,0.6486331,-132.15092,1.7447113,1.2772506,0,0.0,-1,-1,-1,-1,-1,-1,0
6,0.24,6,truck,648.32153,301.3103,21.19697,-78.91271,1.8862733,1.5780731,0,0.0,3,1,-1,-1,-1,-1,2
7,0.28,1,truck,781.9652,334.3072,25.669188,-11.711922,2.6682632,2.784198,0,0.0,6,4,-1,-1,-1,-1,2
7,0.28,2,car,556.9391,335.362,6.549536,-30.446753,1.1125824,1.2840942,0,0.0,-1,-1,-1,-1,-1,-1,1
7,0.28,3,truck,527.54553,291.81848,7.6923213,-131.2801,1.9064652,1.9862152,0,0.0,-1,6,-1,-1,-1,-1,2
7,0.28,4,car,877.7418,422.77982,19.15445,51.58104,1.498578,2.494519,0,0.0,1,-1,-1,-1,-1,-1,2
7,0.28,5,truck,484.4393,295.21518,0.6553159,-131.34651,1.7438477,1.2910064,0,0.0,-1,-1,-1,-1,-1,-1,0
7,0.28,6,truck,647.87915,300.85,21.262201,-80.02407,1.878946,1.5508088,0,0.0,3,1,-1,-1,-1,-1,2
8,0.32,1,truck,781.21875,334.2754,25.621176,-11.804814,2.6518662,2.7519958,0,0.0,6,4,-1,-1,-1,-1,2
8,0.32,2,car,556.9155,335.32373,6.550401,-30.503296,1.1125733,1.2826416,0,0.0,-1,-1,-1,-1,-1,-1,1
8,0.32,3,truck,527.6938,291.82306,7.7140365,-131.22409,1.9084198,1.9766129,0,0.0,-1,6,-1,-1,-1,-1,2
8,0.32,4,car,874.7053,421.3835,19.145712,50.93828,1.5325806,2.4595888,0,0.0,1,-1,-1,-1,-1,-1,2
8,0.32,5,truck,484.5315,295.6496,0.64499694,-129.82835,1.7734512,1.3037704,0,0.0,-1,-1,-1,-1,-1,-1,0
8,0.32,6,truck,647.3478,300.82565,21.210121,-80.17114,1.8653198,1.5256836,0,0.0,3,1,-1,-1,-1,-1,2
9,0.36,1,truck,779.8873,333.74896,25.629757,-12.491505,2.6335068,2.7624512,0,0.0,6,4,-1,-1,-1,-1,2
9,0.36,2,car,556.90485,335.2814,6.552859,-30.5643,1.1188141,1.2888428,0,0.0,-1,-1,-1,-1,-1,-1,1
9,0.36,3,truck,528.2156,292.02673,7.7634597,-130.38611,1.9070832,1.9898742,0,0.0,-1,6,-1,-1,-1,-1,2
9,0.36,4,car,870.65515,418.80682,19.202732,49.76645,1.5216874,2.4538484,0,0.0,1,-1,-1,-1,-1,-1,2
9,0.36,5,truck,484.17572,295.70514,0.5852852,-129.73482,1.7606919,1.3426758,0,0.0,-1,-1,-1,-1,-1,-1,0
9,0.36,6,truck,647.0941,300.56433,21.247046,-80.80824,1.838623,1.4776459,0,0.0,3,1,-1,-1,-1,-1,2
10,0.4,1,truck,778.91833,333.3872,25.631727,-12.971165,2.6021683,2.7524078,0,0.0,6,4,-1,-1,-1,-1,2
10,0.4,2,car,556.8921,335.26004,6.553381,-30.595861,1.1192535,1.2860078,0,0.0,-1,-1,-1,-1,-1,-1,1
10,0.4,3,truck,528.7405,292.0801,7.8346424,-130.06273,1.9185364,1.9990433,0,0.0,-1,6,-1,-1,-1,-1,2
10,0.4,4,car,866.0277,417.4328,19.116224,49.06872,1.4722443,2.490149,0,0.0,1,-1,-1,-1,-1,-1,2
10,0.4,5,truck,484.8192,296.07245,0.66635513,-128.31325,1.7683731,1.3286393,0,0.0,-1,-1,-1,-1,-1,-1,0
10,0.4,6,truck,646.6395,300.1917,21.289827,-81.73919,1.8301255,1.4395722,0,0.0,3,1,-1,-1,-1,-1,2
11,0.44,1,truck,778.31824,333.08673,25.648449,-13.355577,2.5602937,2.712857,0,0.0,6,4,-1,-1,-1,-1,2
11,0.44,2,car,556.8495,335.18164,6.555711,-30.71135,1.1300309,1.2924378,0,0.0,-1,-1,-1,-1,-1,-1,1
11,0.44,3,truck,529.17175,292.4975,7.8392687,-128.53511,1.9450486,1.9897705,0,0.0,-1,6,-1,-1,-1,-1,2
11,0.44,4,car,862.4313,416.39435,19.045221,48.531906,1.511525,2.388025,0,0.0,1,-1,-1,-1,-1,-1,2
11,0.44,5,truck,484.98154,296.33878,0.6767131,-127.37242,1.7491668,1.3376251,0,0.0,-1,-1,-1,-1,-1,-1,0
11,0.44,6,truck,646.0885,300.0008,21.276787,-82.27533,1.8284668,1.3998779,0,0.0,3,1,-1,-1,-1,-1,2
12,0.48,1,truck,777.2295,332.88416,25.609303,-13.67027,2.5550828,2.6915224,0,0.0,6,4,-1,-1,-1,-1,2
12,0.48,2,car,556.84454,335.16138,6.5569057,-30.740599,1.1275192,1.2876282,0,0.0,-1,-1,-1,-1,-1,-1,1
12,0.48,3,truck,529.7241,292.84048,7.8724403,-127.2401,1.9776185,1.9838165,0,0.0,-1,6,-1,-1,-1,-1,2
12,0.48,4,car,858.9573,415.14505,18.999903,47.899616,1.5249909,2.3808014,0,0.0,1,7,-1,-1,-1,-1,2
12,0.48,5,truck,485.15674,296.3437,0.70401853,-127.3094,1.7585496,1.3363342,0,0.0,-1,-1,-1,-1,-1,-1,0
12,0.48,6,truck,645.17505,299.84106,21.215775,-82.806206,1.8140458,1.4300598,0,0.0,3,1,-1,-1,-1,-1,2
12,0.48,7,truck,1177.1324,553.6455,20.066319,88.16143,6.019237,7.962134,0,0.0,4,-1,-1,-1,-1,-1,2
13,0.52,1,truck,776.17896,332.40656,25.62879,-14.295401,2.5447679,2.6859345,34,236.11111111111111,6,4,-1,-1,-1,-1,2
13,0.52,2,car,556.9079,335.26233,6.5547338,-30.590996,1.1185929,1.280835,0,0.0,-1,-1,-1,-1,-1,-1,1
13,0.52,3,truck,530.07764,293.19473,7.8743052,-125.971924,1.9907135,2.0014389,50,347.22222222222223,-1,6,-1,-1,-1,-1,2
13,0.52,4,car,855.52747,412.7809,19.066172,46.762486,1.4781739,2.3116913,67,465.27777777777777,1,7,-1,-1,-1,-1,2
13,0.52,5,truck,484.99603,296.48605,0.6705782,-126.87479,1.731778,1.3546723,51,354.1666666666667,-1,-1,-1,-1,-1,-1,0
13,0.52,6,truck,644.5956,299.7022,21.186304,-83.23149,1.8314896,1.4399322,32,222.22222222222223,3,1,-1,-1,-1,-1,2
13,0.52,7,truck,1170.0671,550.08453,20.08167,87.55628,5.8659835,7.6781006,0,0.0,4,-1,-1,-1,-1,-1,2
14,0.56,1,truck,774.74854,331.575,25.692804,-15.36311,2.5156968,2.725232,38,27.77777777777778,6,4,-1,-1,-1,-1,2
14,0.56,2,car,556.87024,335.21558,6.5549273,-30.661104,1.1229416,1.2825806,0,0.0,-1,-1,-1,-1,-1,-1,1
14,0.56,3,truck,530.52985,293.3263,7.9223366,-125.4205,2.0019486,2.0096054,50,0.0,-1,6,-1,-1,-1,-1,2
14,0.56,4,car,853.27234,411.65366,19.067886,46.19454,1.5116608,2.225113,65,-13.88888888888889,1,7,-1,-1,-1,-1,2
14,0.56,5,truck,485.53903,296.92752,0.73040754,-125.263145,1.733313,1.3377717,55,27.77777777777778,-1,-1,-1,-1,-1,-1,0
14,0.56,6,truck,643.82874,299.34845,21.189785,-84.19453,1.8199357,1.4808747,35,20.833333333333336,3,1,-1,-1,-1,-1,2
14,0.56,7,truck,1161.2401,545.88586,20.085972,86.82309,5.821869,7.6849976,0,0.0,4,-1,-1,-1,-1,-1,2
15,0.6,1,truck,773.8694,331.2362,25.69699,-15.826548,2.508684,2.6530855,38,0.0,6,4,-1,-1,-1,-1,2
15,0.6,2,car,556.9587,335.30896,6.55583,-30.51977,1.1148208,1.2729737,0,0.0,-1,-1,-1,-1,-1,-1,1
15,0.6,3,truck,530.91345,293.71255,7.9238343,-124.056984,2.0318604,2.0024078,56,41.66666666666667,-1,6,-1,-1,-1,-1,2
15,0.6,4,car,850.12976,409.74515,19.104319,45.23637,1.4345276,2.1521149,67,13.88888888888889,1,7,-1,-1,-1,-1,2
15,0.6,5,truck,485.65933,297.30295,0.72765213,-123.99571,1.7397064,1.3470703,57,13.88888888888889,-1,-1,-1,-1,-1,-1,0
15,0.6,6,truck,643.0421,299.20978,21.13691,-84.662094,1.8270295,1.5260834,34,-6.944444444444445,3,1,-1,-1,-1,-1,2
15,0.6,7,truck,1153.4395,542.01794,20.099625,86.133125,5.6696687,7.5557313,0,0.0,4,-1,-1,-1,-1,-1,2
16,0.64,1,truck,772.64496,330.81058,25.69328,-16.422508,2.5184357,2.7088928,37,-6.944444444444445,6,4,-1,-1,-1,-1,2
16,0.64,2,car,556.9678,335.27563,6.559473,-30.566006,1.1157471,1.2740784,0,0.0,-1,-1,-1,-1,-1,-1,1
16,0.64,3,truck,531.3716,293.89966,7.9644046,-123.33176,2.0127304,2.0005403,53,-20.833333333333336,-1,6,-1,-1,-1,-1,2
16,0.64,4,car,846.56714,407.65573,19.138893,44.16274,1.4633607,2.211258,68,6.944444444444445,1,-1,-1,-1,-1,-1,2
16,0.64,5,truck,485.89935,297.34067,0.7627992,-123.81013,1.7565063,1.3430512,56,-6.944444444444445,-1,-1,-1,-1,-1,-1,0
16,0.64,6,truck,641.91156,298.89868,21.088655,-85.60246,1.8301163,1.5618836,35,6.944444444444445,3,1,-1,-1,-1,-1,2
17,0.68,1,truck,771.6886,330.248,25.738228,-17.16172,2.5099685,2.6856995,38,6.944444444444445,6,4,-1,-1,-1,-1,2
17,0.68,2,car,556.9553,335.22284,6.5626283,-30.642065,1.1195786,1.2763153,0,0.0,-1,-1,-1,-1,-1,-1,1
17,0.68,3,truck,532.2168,293.78186,8.104846,-123.497444,2.0137925,2.0185883,49,-27.77777777777778,-1,6,-1,-1,-1,-1,2
17,0.68,4,car,844.0278,406.75922,19.103102,43.66642,1.4483109,2.1740296,66,-13.88888888888889,1,-1,-1,-1,-1,-1,2
17,0.68,5,truck,485.9515,298.2106,0.7212986,-120.97879,1.7536865,1.343161,63,48.611111111111114,-1,-1,-1,-1,-1,-1,0
17,0.68,6,truck,641.3448,298.5995,21.100483,-86.4185,1.8361771,1.5255493,36,6.944444444444445,3,1,-1,-1,-1,-1,2
18,0.72,1,truck,770.8356,329.94592,25.736889,-17.58995,2.5147417,2.6552217,37,-6.944444444444445,6,4,-1,-1,-1,-1,2
18,0.72,2,car,556.92395,335.18237,6.562918,-30.702652,1.1252518,1.2791198,0,0.0,-1,-1,-1,-1,-1,-1,1
18,0.72,3,truck,533.0204,293.94293,8.198936,-122.771416,2.0187423,2.044443,49,0.0,-1,6,-1,-1,-1,-1,2
18,0.72,4,car,839.3713,405.23718,19.023972,42.802387,1.4604279,2.1868775,66,0.0,1,-1,-1,-1,-1,-1,2
18,0.72,5,truck,486.3473,298.64206,0.75762564,-119.503685,1.7800506,1.3608735,67,27.77777777777778,-1,-1,-1,-1,-1,-1,0
18,0.72,6,truck,640.6704,298.41724,21.070595,-86.97922,1.8363663,1.5242646,36,0.0,3,1,-1,-1,-1,-1,2
19,0.76,1,truck,769.984,329.76923,25.709425,-17.87128,2.542209,2.599881,35,-13.88888888888889,6,4,-1,-1,-1,-1,2
19,0.76,2,car,556.9403,335.1758,6.565058,-30.710274,1.1213349,1.2745209,0,0.0,-1,-1,-1,-1,-1,-1,1
19,0.76,3,truck,533.8209,294.07385,8.296444,-122.14693,2.03349,2.0743377,50,6.944444444444445,-1,6,-1,-1,-1,-1,2
19,0.76,4,car,836.2981,403.88065,19.007427,42.05129,1.4707917,2.1595185,66,0.0,1,-1,-1,-1,-1,-1,2
19,0.76,5,truck,486.56955,298.46457,0.8017349,-120.01199,1.8067445,1.3470672,65,-13.88888888888889,-1,-1,-1,-1,-1,-1,0
19,0.76,6,truck,640.04333,297.95004,21.118374,-88.22311,1.8233308,1.4836273,39,20.833333333333336,3,1,-1,-1,-1,-1,2
20,0.8,1,truck,769.04126,329.65686,25.661495,-18.084692,2.5512407,2.5575988,34,-6.944444444444445,6,4,-1,-1,-1,-1,2
20,0.8,2,car,556.86536,335.1658,6.558571,-30.73218,1.1253449,1.2837769,0,0.0,-1,-1,-1,-1,-1,-1,1
20,0.8,3,truck,534.28,294.378,8.31888,-121.05863,2.0511856,2.0755372,53,20.833333333333336,-1,6,-1,-1,-1,-1,2
20,0.8,4,car,832.7583,402.15942,19.004656,41.09305,1.4453629,2.2459748,67,6.944444444444445,1,-1,-1,-1,-1,-1,2
20,0.8,5,truck,486.1807,298.37793,0.7470503,-120.38576,1.800618,1.4229767,60,-34.72222222222222,-1,-1,-1,-1,-1,-1,0
20,0.8,6,truck,638.77673,298.08453,20.940456,-88.13365,1.7922791,1.4881867,39,0.0,3,1,-1,-1,-1,-1,2
21,0.84,1,truck,768.5674,329.28876,25.702618,-18.56468,2.5136125,2.5913513,35,6.944444444444445,6,4,-1,-1,-1,-1,2
21,0.84,2,car,557.0184,335.28876,6.5633216,-30.542236,1.1193085,1.2758362,0,0.0,-1,-1,-1,-1,-1,-1,1
21,0.84,3,truck,534.51807,294.6698,8.311065,-120.07309,2.0813584,2.0414948,55,13.88888888888889,-1,6,-1,-1,-1,-1,2
21,0.84,4,car,829.4659,400.20712,19.039165,40.006756,1.367685,2.1923645,69,13.88888888888889,1,-1,-1,-1,-1,-1,2
21,0.84,5,truck,486.19904,298.5733,0.73882294,-119.75898,1.8116028,1.4285415,60,0.0,-1,-1,-1,-1,-1,-1,0
21,0.84,6,truck,638.087,297.83295,20.925783,-88.874794,1.8381943,1.5352112,36,-20.833333333333336,3,1,-1,-1,-1,-1,2
22,0.88,1,truck,767.40857,329.00247,25.674541,-19.007677,2.5343812,2.5646546,34,-6.944444444444445,3,4,-1,-1,-1,-1,2
22,0.88,2,car,556.9695,335.26572,6.5604606,-30.579874,1.1239136,1.2815399,0,0.0,-1,-1,-1,-1,-1,-1,1
22,0.88,3,truck,535.02246,295.0123,8.334249,-118.87,2.0838532,2.0302522,56,6.944444444444445,-1,1,-1,-1,-1,-1,2
22,0.88,4,car,826.1972,399.43182,18.950247,39.50789,1.4568802,2.2382386,66,-20.833333333333336,1,-1,-1,-1,-1,-1,2
22,0.88,5,truck,486.43353,298.88202,0.75724584,-118.723465,1.8098053,1.4355637,60,0.0,-1,-1,-1,-1,-1,-1,0
23,0.92,1,truck,766.2754,328.6995,25.651789,-19.47114,2.5362947,2.52359,34,0.0,3,4,-1,-1,-1,-1,2
23,0.92,2,car,556.94586,335.2567,6.5589013,-30.595049,1.1197342,1.2785157,0,0.0,-1,-1,-1,-1,-1,-1,1
23,0.92,3,truck,535.78485,295.1991,8.416494,-118.09893,2.0878403,2.0281188,56,0.0,-1,1,-1,-1,-1,-1,2
23,0.92,4,car,823.60803,398.23022,18.941658,38.80363,1.4361695,2.0942872,66,0.0,1,-1,-1,-1,-1,-1,2
23,0.92,5,truck,486.78473,299.17505,0.79413766,-117.71627,1.841916,1.4274353,62,13.88888888888889,-1,-1,-1,-1,-1,-1,0
24,0.96,1,truck,765.31885,328.40527,25.640602,-19.91127,2.5220993,2.5329683,34,0.0,3,4,-1,-1,-1,-1,2
