Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
80,3.2,1,car,476.4003,364.6571,6.656018,53.18618,2.6967697,1.9540161,0,0.0,-1,-1,-1,-1,-1,-1,1
81,3.24,1,car,475.40433,376.15613,7.084922,58.03483,2.0517075,1.9040772,0,0.0,-1,-1,-1,-1,-1,-1,2
82,3.28,1,car,474.13074,377.12213,7.0811324,58.409855,2.0726182,1.8695023,0,0.0,-1,-1,-1,-1,-1,-1,2
83,3.32,1,car,472.0356,381.12378,7.1622715,59.915527,2.4307525,1.8743591,0,0.0,-1,-1,-1,-1,-1,-1,2
84,3.36,1,car,470.89938,389.20776,7.4038005,62.740097,2.3921037,2.0229402,0,0.0,-1,-1,-1,-1,-1,-1,2
85,3.4,1,car,469.77777,390.6045,7.4167404,63.20101,2.3169496,1.9934998,0,0.0,-1,-1,-1,-1,-1,-1,2
86,3.44,1,car,467.64993,393.42578,7.4461193,64.1094,2.2863433,2.114679,0,0.0,-1,-1,-1,-1,-1,-1,2
87,3.48,1,car,465.65512,396.2968,7.479773,65.00397,2.4301012,2.036368,0,0.0,-1,-1,-1,-1,-1,-1,2
88,3.52,1,car,464.6272,396.91013,7.4702168,65.19131,3.0156038,2.2798402,0,0.0,-1,-1,-1,-1,-1,-1,2
89,3.56,1,car,463.06555,404.7522,7.659612,67.477104,2.754088,2.2518768,0,0.0,-1,-1,-1,-1,-1,-1,2
90,3.6,1,car,461.23566,408.33728,7.712022,68.45871,2.7171922,2.2591171,0,0.0,-1,-1,-1,-1,-1,-1,2
91,3.64,1,car,459.16626,416.1403,7.8670917,70.4712,2.7232788,2.3517349,0,0.0,-1,-1,-1,-1,-1,-1,2
92,3.68,1,car,456.21664,419.77545,7.886683,71.3551,2.5656998,2.3543823,91,631.9444444444445,-1,-1,-1,-1,-1,-1,2
93,3.72,1,car,454.11108,427.2788,8.018745,73.081566,2.804158,2.4619005,96,34.72222222222222,-1,-1,-1,-1,-1,-1,2
94,3.76,1,car,451.26086,434.11444,8.109754,74.54911,3.024309,2.6429613,99,20.833333333333336,-1,-1,-1,-1,-1,-1,2
95,3.8,1,car,449.5363,440.66125,8.21387,75.86944,3.220424,2.6930237,100,6.944444444444445,-1,-1,-1,-1,-1,-1,2
96,3.84,1,car,447.46622,444.12213,8.241221,76.536255,3.2855318,2.6876557,97,-20.833333333333336,-1,-1,-1,-1,-1,-1,2
97,3.88,1,car,445.29776,452.86206,8.37081,78.13201,3.4474335,2.8530946,99,13.88888888888889,-1,-1,-1,-1,-1,-1,2
99,3.96,1,car,439.4489,464.9749,8.47846,80.155426,3.5433304,2.9777832,102,20.833333333333336,-1,-1,-1,-1,-1,-1,2
100,4.0,1,car,436.15216,471.17944,8.523736,81.11632,3.4955506,2.9856966,100,-13.88888888888889,-1,-1,-1,-1,-1,-1,2
105,4.2,1,car,420.09848,515.63654,8.917557,86.82187,4.1059585,3.5647066,116,111.11111111111111,-1,-1,-1,-1,-1,-1,2
106,4.24,1,car,415.95532,525.7709,8.983586,87.89035,4.2702136,3.7551346,115,-6.944444444444445,-1,-1,-1,-1,-1,-1,2
107,4.28,1,car,410.9414,541.24396,9.096304,89.39171,4.929498,4.0880175,116,6.944444444444445,-1,-1,-1,-1,-1,-1,2
108,4.32,1,car,405.4156,551.4582,9.132306,90.306015,5.0462785,4.352202,114,-13.88888888888889,-1,-1,-1,-1,-1,-1,2
