Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.04,1,truck,601.3279,451.98242,7.2005167,72.81229,3.9912705,3.0198274,0,0.0,4,8,-1,-1,-1,-1,2
1,0.04,2,truck,422.5191,651.47815,6.6369257,1.4476125,6.6578827,9.239303,0,0.0,-1,12,-1,-1,-1,-1,1
1,0.04,3,truck,923.427,467.31293,29.997938,62.86774,3.6531007,2.68591,0,0.0,-1,4,-1,-1,-1,-1,2
1,0.04,4,truck,667.0477,459.08218,12.289309,67.61,2.905838,2.335779,0,0.0,3,1,-1,-1,-1,-1,2
1,0.04,5,truck,823.35364,381.88113,29.623137,178.4611,2.354895,1.5705384,0,0.0,8,6,-1,-1,-1,-1,2
1,0.04,6,truck,783.7262,359.9082,26.821623,257.58704,1.8779252,1.2082795,0,0.0,5,14,-1,-1,-1,-1,2
1,0.04,7,bus,572.4828,421.05817,2.2152345,103.81951,2.0704103,1.6649872,0,0.0,-1,9,-1,-1,-1,-1,0
1,0.04,8,truck,657.37317,409.0418,9.381993,121.18342,2.1199188,1.834732,0,0.0,1,5,-1,-1,-1,-1,2
1,0.04,9,truck,572.9042,420.6846,2.2113736,104.29253,2.09881,1.6895965,0,0.0,7,-1,-1,-1,-1,-1,0
1,0.04,10,car,677.21136,354.6673,6.625817,282.65103,0.7455887,0.77714235,0,0.0,12,-1,-1,-1,-1,-1,1
1,0.04,12,truck,661.5841,375.76947,6.989028,193.86884,1.3590806,1.218161,0,0.0,2,10,-1,-1,-1,-1,1
1,0.04,14,car,695.15,344.74225,8.854845,351.1798,0.57343596,0.65467834,0,0.0,6,-1,-1,-1,-1,-1,2
2,0.08,1,truck,601.02185,451.816,7.167722,72.94574,4.08638,3.1226563,0,0.0,4,8,-1,-1,-1,-1,2
2,0.08,2,truck,419.8196,652.48553,6.5772085,1.2872001,6.654041,9.341568,0,0.0,-1,10,-1,-1,-1,-1,1
2,0.08,3,truck,915.1575,463.35898,29.733513,65.602165,3.8945405,3.1801574,0,0.0,-1,4,-1,-1,-1,-1,2
2,0.08,4,truck,666.0097,460.0887,12.242303,66.86075,2.917395,2.322638,0,0.0,3,1,-1,-1,-1,-1,2
2,0.08,5,truck,822.8262,381.2705,29.643604,180.12024,2.3537004,1.5700592,0,0.0,8,12,-1,-1,-1,-1,2
2,0.08,6,truck,783.6085,359.39157,26.882778,260.1203,1.9060639,1.228238,0,0.0,12,14,-1,-1,-1,-1,2
2,0.08,7,truck,572.4524,421.2019,2.22887,103.639175,2.1064377,1.7013642,0,0.0,-1,-1,-1,-1,-1,-1,0
2,0.08,8,truck,657.4674,410.06555,9.456344,119.61821,2.1458604,1.8108796,0,0.0,1,5,-1,-1,-1,-1,2
