Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.04,1,car,1130.5837,499.08112,19.547693,15.507389,8.125463,6.6990294,0.0,0.0,10,3,-1,-1,-1,-1,2
1,0.04,2,car,1006.3364,404.50143,16.677038,27.557673,2.6314056,2.6799715,0.0,0.0,3,8,-1,-1,-1,-1,2
1,0.04,3,car,1035.5022,458.575,17.270552,19.853664,2.9376175,2.9262543,0.0,0.0,1,2,-1,-1,-1,-1,2
1,0.04,4,car,1085.577,378.8543,19.663973,32.673954,2.110141,2.6171875,0.0,0.0,8,11,-1,-1,-1,-1,2
1,0.04,5,car,1016.2592,357.22403,17.33521,36.753906,2.3208923,2.2756898,0.0,0.0,11,6,-1,-1,-1,-1,2
1,0.04,6,car,993.5073,334.60022,16.596132,42.029125,1.8457291,2.365622,0.0,0.0,5,21,-1,-1,-1,-1,2
1,0.04,7,car,958.8596,289.24432,15.236519,55.657578,1.2402512,1.5629975,0.0,0.0,13,16,-1,-1,-1,-1,2
1,0.04,8,car,805.07666,397.14935,10.113327,27.73697,2.30654,2.683249,0.0,0.0,2,4,-1,-1,-1,-1,2
1,0.04,9,car,987.9061,310.5419,16.50493,48.812363,1.7955078,1.6845185,0.0,0.0,12,17,-1,-1,-1,-1,2
1,0.04,10,car,685.40344,592.79846,9.375654,6.595214,3.0781403,4.8361053,0.0,0.0,19,1,-1,-1,-1,-1,2
1,0.04,11,car,807.07166,365.84552,9.714229,33.484047,2.0477874,2.5063477,0.0,0.0,4,5,-1,-1,-1,-1,2
1,0.04,12,car,793.652,308.6889,8.012851,47.363327,1.4861557,1.8607056,0.0,0.0,22,9,-1,-1,-1,-1,2
1,0.04,13,car,829.2925,284.9292,8.995568,55.587276,1.3918396,1.9956146,0.0,0.0,14,7,-1,-1,-1,-1,2
1,0.04,14,van,1061.1409,303.5744,19.970737,51.87429,3.3994522,2.8929017,0.0,0.0,17,13,-1,-1,-1,-1,2
1,0.04,15,truck,1186.802,339.8672,24.583113,42.34082,5.7663026,4.4101014,0.0,0.0,21,18,-1,-1,-1,-1,2
1,0.04,16,van,1111.5963,272.71677,23.463358,64.51843,3.0562584,2.4749756,0.0,0.0,7,-1,-1,-1,-1,-1,2
1,0.04,17,car,840.01953,300.57083,9.836191,50.363735,1.5633973,2.0314546,0.0,0.0,9,14,-1,-1,-1,-1,2
1,0.04,18,car,835.0398,327.38742,10.122135,42.52969,1.5741638,2.5988832,0.0,0.0,15,22,-1,-1,-1,-1,2
1,0.04,19,car,665.4626,646.34644,9.495453,3.267065,4.405664,4.907886,0.0,0.0,-1,10,-1,-1,-1,-1,2
1,0.04,21,car,1186.7808,340.2054,24.57038,42.251514,5.6974826,4.4032044,0.0,0.0,6,15,-1,-1,-1,-1,2
1,0.04,22,car,994.9065,325.14276,16.71523,44.58683,1.8247269,2.4167573,0.0,0.0,18,12,-1,-1,-1,-1,2
2,0.08,1,car,1129.9417,498.31372,19.538824,15.586464,8.09364,6.7403502,0.0,0.0,10,3,-1,-1,-1,-1,2
2,0.08,2,car,1006.1565,403.80017,16.674698,27.673971,2.5850708,2.6764772,0.0,0.0,3,8,-1,-1,-1,-1,2
2,0.08,3,car,1035.5634,456.68433,17.283552,20.092752,2.9347856,2.9959748,0.0,0.0,1,2,-1,-1,-1,-1,2
