Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.041666666666666664,1,truck,826.9887,365.16458,5.0313544,33.71289,5.01485,5.205475,0.0,0.0,-1,-1,-1,-1,-1,-1,1
1,0.041666666666666664,2,truck,169.35643,457.44464,-14.527171,7.2736526,10.1883545,16.935644,0.0,0.0,-1,14,-1,-1,-1,-1,0
1,0.041666666666666664,3,truck,753.2349,301.37677,-8.652437,58.349827,2.2797623,4.3028197,0.0,0.0,5,9,-1,-1,-1,-1,0
1,0.041666666666666664,5,truck,625.7323,317.89435,-14.69931,45.764477,3.684694,6.1304626,0.0,0.0,14,3,-1,-1,-1,-1,0
1,0.041666666666666664,9,truck,746.73083,285.75623,-13.297815,69.108185,2.4371476,4.170358,0.0,0.0,3,16,-1,-1,-1,-1,0
1,0.041666666666666664,14,truck,570.97485,315.38443,-19.381763,45.37618,2.7026398,2.6255097,0.0,0.0,2,5,-1,-1,-1,-1,0
1,0.041666666666666664,16,truck,758.10065,268.80774,-18.028194,85.635666,1.5184166,2.900348,0.0,0.0,9,-1,-1,-1,-1,-1,0
2,0.08333333333333333,1,truck,829.81604,363.2227,5.0361466,34.324135,4.9309726,5.085004,0.0,0.0,-1,-1,-1,-1,-1,-1,1
2,0.08333333333333333,2,truck,164.87842,458.00665,-14.62383,7.1600966,10.249913,16.487843,0.0,0.0,-1,5,-1,-1,-1,-1,0
2,0.08333333333333333,3,truck,750.0425,301.19928,-8.958263,58.357098,2.2851884,4.3976045,0.0,0.0,14,9,-1,-1,-1,-1,0
2,0.08333333333333333,5,truck,622.0679,319.54755,-14.569463,44.917805,3.6831436,6.228763,0.0,0.0,2,14,-1,-1,-1,-1,0
2,0.08333333333333333,9,truck,745.1705,284.24188,-13.907772,70.27943,2.8374047,4.1450624,0.0,0.0,3,16,-1,-1,-1,-1,0
2,0.08333333333333333,14,truck,572.80145,312.1803,-20.156378,46.94039,2.986728,2.9738343,0.0,0.0,5,3,-1,-1,-1,-1,0
2,0.08333333333333333,16,truck,749.38306,270.79126,-18.194809,83.07907,1.5206085,3.597571,0.0,0.0,9,-1,-1,-1,-1,-1,0
3,0.125,1,truck,831.97766,360.91434,4.9737496,35.041874,4.8005066,5.072122,0.0,0.0,-1,-1,-1,-1,-1,-1,1
3,0.125,2,truck,164.68942,468.88928,-13.360773,6.1706223,10.914525,16.468943,0.0,0.0,-1,5,-1,-1,-1,-1,0
3,0.125,3,truck,748.8251,302.1557,-8.841573,57.731716,2.3803635,4.523285,0.0,0.0,14,9,-1,-1,-1,-1,0
3,0.125,5,truck,617.85364,318.90662,-15.028279,45.087776,4.0924287,6.3880157,0.0,0.0,2,14,-1,-1,-1,-1,0
3,0.125,9,truck,743.1725,277.19684,-16.443075,76.393936,2.1186829,4.0743012,0.0,0.0,3,-1,-1,-1,-1,-1,0
3,0.125,14,truck,565.463,313.0119,-20.469286,46.32945,3.0444367,2.5619233,0.0,0.0,5,3,-1,-1,-1,-1,0
4,0.16666666666666666,1,truck,834.2598,358.70184,4.924573,35.75136,4.707022,4.974945,0.0,0.0,-1,-1,-1,-1,-1,-1,1
4,0.16666666666666666,2,truck,151.67725,474.60577,-13.182397,5.515086,11.618194,14.871592,0.0,0.0,-1,5,-1,-1,-1,-1,0
4,0.16666666666666666,3,truck,745.99884,297.49603,-10.177735,60.580982,2.998404,4.575592,0.0,0.0,5,9,-1,-1,-1,-1,0
4,0.16666666666666666,5,truck,610.9005,315.88126,-16.290918,46.27627,4.525336,7.146341,0.0,0.0,2,3,-1,-1,-1,-1,0
4,0.16666666666666666,9,truck,741.02893,284.8496,-14.115672,69.62795,2.5276718,4.125937,0.0,0.0,3,-1,-1,-1,-1,-1,0
5,0.20833333333333334,1,truck,836.8485,358.64618,5.069113,35.824127,4.7410173,4.807901,0.0,0.0,-1,-1,-1,-1,-1,-1,1
