Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.04,1,car,902.38043,491.12497,10.922118,-0.9267473,8.33624,8.852076,0.0,0.0,-1,-1,-1,-1,-1,-1,2
2,0.08,1,car,906.6688,494.2022,10.925744,-1.0635327,8.381523,8.944022,0.0,0.0,-1,-1,-1,-1,-1,-1,2
3,0.12,1,car,912.556,498.16986,10.936195,-1.2415922,8.350116,8.958142,0.0,0.0,-1,-1,-1,-1,-1,-1,2
4,0.16,1,car,917.6194,501.9862,10.936431,-1.4048693,8.402999,9.061271,0.0,0.0,-1,-1,-1,-1,-1,-1,2
5,0.2,1,car,922.1946,506.09357,10.922621,-1.5699017,8.623822,9.085019,0.0,0.0,-1,-1,-1,-1,-1,-1,2
6,0.24,1,car,926.81836,509.6018,10.922413,-1.7163019,8.575847,9.194107,0.0,0.0,-1,-1,-1,-1,-1,-1,2
7,0.28,1,car,931.5325,512.56464,10.935129,-1.8466231,8.536806,9.226865,0.0,0.0,-1,3,-1,-1,-1,-1,2
7,0.28,3,truck,745.8696,564.4467,7.039303,-1.5246077,15.555328,21.089247,0.0,0.0,1,-1,-1,-1,-1,-1,2
8,0.32,1,car,937.4778,516.6797,10.943072,-2.0198913,8.5635395,9.325553,0.0,0.0,-1,-1,-1,-1,-1,-1,2
8,0.32,3,truck,739.095,568.6486,6.8676467,-1.5769037,15.135137,20.144842,0.0,0.0,-1,-1,-1,-1,-1,-1,1
9,0.36,1,car,942.521,521.1147,10.930067,-2.191246,8.737726,9.389124,0.0,0.0,-1,-1,-1,-1,-1,-1,2
9,0.36,3,truck,745.55426,569.4914,6.956902,-1.6602513,15.050862,21.261005,0.0,0.0,-1,-1,-1,-1,-1,-1,1
10,0.4,1,car,946.6741,525.4375,10.905625,-2.3489618,8.812019,9.463584,0.0,0.0,-1,3,-1,-1,-1,-1,2
10,0.4,3,truck,748.7306,566.6186,7.05112,-1.6112477,15.33814,21.951492,0.0,0.0,1,-1,-1,-1,-1,-1,2
11,0.44,1,car,951.0526,528.99713,10.900639,-2.4864185,8.8226185,9.577555,0.0,0.0,-1,3,-1,-1,-1,-1,2
11,0.44,3,truck,761.2123,567.6802,7.231624,-1.756668,15.231986,22.581404,0.0,0.0,1,-1,-1,-1,-1,-1,2
