Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.04,1,pedestrian,1934.6584,871.18665,13.960521,1.5055104,9.311716,3.1080263,0.0,0.0,-1,2,-1,-1,-1,-1,2
1,0.04,2,truck,801.2008,554.87616,8.175587,26.814022,16.15524,11.8166685,0.0,0.0,1,-1,-1,-1,-1,-1,2
1,0.04,3,car,233.43825,416.82977,0.4342842,54.0499,0.9931473,1.1803879,0.0,0.0,-1,-1,-1,-1,-1,-1,0
2,0.08,2,truck,801.7053,559.079,8.068488,26.359743,15.713092,11.749015,0.0,0.0,-1,-1,-1,-1,-1,-1,2
2,0.08,3,car,234.03467,416.04248,0.45595175,54.246246,1.0731156,1.2205429,0.0,0.0,-1,-1,-1,-1,-1,-1,0
3,0.12,1,pedestrian,1934.0505,869.66675,13.992863,1.5477165,9.356522,3.0924866,0.0,0.0,-1,2,-1,-1,-1,-1,2
3,0.12,2,truck,802.58386,558.5066,8.098294,26.413921,15.854489,11.669077,0.0,0.0,1,-1,-1,-1,-1,-1,2
4,0.16,1,pedestrian,1934.7933,869.41504,14.006748,1.5495238,9.392746,3.2414308,0.0,0.0,-1,2,-1,-1,-1,-1,2
4,0.16,2,truck,803.62085,560.607,8.058039,26.184,15.70122,11.637009,0.0,0.0,1,-1,-1,-1,-1,-1,2
4,0.16,5,truck,351.0651,880.111,-0.47306797,10.004813,37.40643,24.53173,0.0,0.0,-1,-1,-1,-1,-1,-1,0
5,0.2,1,pedestrian,1935.2854,870.6229,13.981087,1.5158932,9.319522,3.0832946,0.0,0.0,-1,2,-1,-1,-1,-1,2
5,0.2,2,truck,804.5171,560.47015,8.076196,26.191675,15.799708,11.722995,0.0,0.0,1,-1,-1,-1,-1,-1,2
5,0.2,5,truck,361.006,882.7306,-0.399852,9.866139,37.24145,23.450407,0.0,0.0,-1,-1,-1,-1,-1,-1,0
6,0.24,1,pedestrian,1932.1387,869.37146,13.981058,1.5669984,9.309421,3.0818787,0.0,0.0,-1,2,-1,-1,-1,-1,2
6,0.24,2,truck,806.03345,560.38544,8.102963,26.189215,15.845009,11.873273,0.0,0.0,1,-1,-1,-1,-1,-1,2
6,0.24,5,truck,352.4646,869.55023,-0.4316049,10.364003,37.799347,24.367731,0.0,0.0,-1,-1,-1,-1,-1,-1,0
7,0.28,1,pedestrian,1931.9729,869.34247,13.98012,1.5687568,9.273749,3.2154481,0.0,0.0,-1,2,-1,-1,-1,-1,2
7,0.28,2,truck,807.3561,560.6483,8.117165,26.151628,15.759943,11.96684,0.0,0.0,1,-1,-1,-1,-1,-1,2
7,0.28,5,truck,355.80878,867.8684,-0.39908537,10.406436,37.454372,24.118946,0.0,0.0,-1,-1,-1,-1,-1,-1,0
8,0.32,1,pedestrian,1932.7402,869.48804,13.984173,1.5603291,9.243548,3.1272705,0.0,0.0,-1,2,-1,-1,-1,-1,2
8,0.32,2,truck,808.937,564.2103,8.046473,25.768682,15.501137,12.135849,0.0,0.0,1,-1,-1,-1,-1,-1,2
8,0.32,5,truck,354.36996,899.39526,-0.4993857,9.346495,32.965797,24.09694,0.0,0.0,-1,-1,-1,-1,-1,-1,0
9,0.36,1,pedestrian,1932.6895,871.31323,13.937513,1.5144267,9.330027,3.031183,0.0,0.0,-1,2,-1,-1,-1,-1,2
9,0.36,2,truck,810.5513,565.0655,8.04938,25.66852,15.696979,12.12366,0.0,0.0,1,-1,-1,-1,-1,-1,2
9,0.36,5,truck,359.66138,888.2803,-0.4265498,9.686152,36.848557,23.762777,0.0,0.0,-1,-1,-1,-1,-1,-1,0
10,0.4,1,pedestrian,1931.5302,867.5044,14.02237,1.6183281,9.413474,3.0775878,0.0,0.0,-1,2,-1,-1,-1,-1,2
10,0.4,2,truck,811.16864,561.7682,8.148161,26.005627,15.685758,12.200397,0.0,0.0,1,-1,-1,-1,-1,-1,2
10,0.4,5,truck,359.907,886.0016,-0.41810885,9.761244,37.282303,23.451187,0.0,0.0,-1,-1,-1,-1,-1,-1,0
11,0.44,1,pedestrian,1933.0833,867.91235,14.027692,1.5983163,9.451609,3.1869934,0.0,0.0,7,2,-1,-1,-1,-1,2
11,0.44,2,truck,811.8699,562.5775,8.13746,25.91596,16.106073,12.11738,0.0,0.0,1,-1,-1,-1,-1,-1,2
11,0.44,7,car,1769.4187,945.8437,10.807691,0.7343276,9.688275,12.381739,0.0,0.0,-1,1,-1,-1,-1,-1,2
12,0.48,1,pedestrian,1930.8943,870.1303,13.949299,1.5554054,9.306976,3.0479372,0.0,0.0,7,2,-1,-1,-1,-1,2
12,0.48,2,truck,811.5211,561.08606,8.172431,26.074392,16.322996,12.218219,0.0,0.0,1,-1,-1,-1,-1,-1,2
12,0.48,5,truck,357.3028,893.99634,-0.4613925,9.508399,36.716175,24.173994,0.0,0.0,-1,-1,-1,-1,-1,-1,0
12,0.48,7,car,1772.6515,948.767,10.783043,0.654314,9.535846,12.547449,0.0,0.0,-1,1,-1,-1,-1,-1,2
13,0.52,1,pedestrian,1930.7542,871.77325,13.906472,1.5147134,9.3203125,3.1280944,0.0,0.0,7,2,-1,-1,-1,-1,2
13,0.52,2,truck,812.607,564.623,8.094059,25.698666,16.286236,11.992541,4.531789779663086,31.47076235877143,1,-1,-1,-1,-1,-1,2
13,0.52,5,truck,359.71765,891.26056,-0.43448797,9.586777,37.141815,23.648043,0.0,0.0,-1,-1,-1,-1,-1,-1,0
13,0.52,7,car,1781.0641,952.92395,10.781406,0.52068067,9.814468,12.968799,0.0,0.0,-1,1,-1,-1,-1,-1,2
14,0.56,1,pedestrian,1929.4104,869.5514,13.948976,1.5792407,9.255722,3.0243347,0.0,0.0,7,2,-1,-1,-1,-1,2
14,0.56,2,truck,814.2335,566.53796,8.068716,25.490236,16.006548,12.165351,4.1612677574157715,-2.5730695989396835,1,-1,-1,-1,-1,-1,2
14,0.56,5,truck,360.97238,878.0919,-0.38666221,10.024498,37.349365,23.730692,0.0,0.0,-1,-1,-1,-1,-1,-1,0
14,0.56,7,car,1788.2834,955.9325,10.790007,0.4186377,9.950867,13.23941,0.0,0.0,-1,1,-1,-1,-1,-1,2
15,0.6,1,pedestrian,1927.4602,868.71765,13.950396,1.6124816,8.95752,3.1859376,0.9583872556686401,6.655467053254446,7,2,-1,-1,-1,-1,2
15,0.6,2,truck,815.746,568.447,8.041959,25.285185,15.705348,12.224174,3.8644864559173584,-2.0609812604056468,1,-1,-1,-1,-1,-1,2
15,0.6,5,truck,354.4041,884.0931,-0.45714885,9.852867,37.197517,24.269537,0.0,0.0,-1,-1,-1,-1,-1,-1,0
15,0.6,7,car,1793.5748,955.3789,10.845712,0.4011681,10.010388,13.830848,0.0,0.0,-1,1,-1,-1,-1,-1,2
16,0.64,2,truck,817.76135,572.33075,7.9716473,24.881727,15.808547,12.259732,4.116820812225342,1.7523219188054404,7,-1,-1,-1,-1,-1,2
16,0.64,5,truck,350.94055,885.3216,-0.48852023,9.828607,37.42346,24.986044,0.0,0.0,-1,-1,-1,-1,-1,-1,0
16,0.64,7,awning-tricycle,1802.627,962.5792,10.795014,0.20451918,9.837314,14.41214,0.0,0.0,-1,2,-1,-1,-1,-1,2
17,0.68,1,pedestrian,1927.1184,876.35815,13.755748,1.4220543,8.762812,3.2900026,0.0,-6.655467053254446,7,2,-1,-1,-1,-1,2
17,0.68,2,truck,818.131,564.7335,8.179386,25.645918,16.468565,12.290329,4.1302690505981445,0.09339054425557455,1,-1,-1,-1,-1,-1,2
17,0.68,5,truck,351.67056,911.60724,-0.5526759,8.969911,34.285103,24.700539,0.0,0.0,-1,-1,-1,-1,-1,-1,0
17,0.68,7,car,1808.3606,963.8717,10.821194,0.14730552,10.094446,14.108197,0.0,0.0,-1,1,-1,-1,-1,-1,2
18,0.72,7,car,1817.1659,968.64575,10.811839,0.004250861,10.293897,14.192286,0.0,0.0,-1,-1,-1,-1,-1,-1,2
19,0.76,5,truck,360.0763,874.8478,-0.38448563,10.14083,37.573902,23.70691,0.0,0.0,-1,-1,-1,-1,-1,-1,0
19,0.76,7,car,1827.7583,967.89966,10.915362,-0.038262438,10.087741,14.1698065,0.0,0.0,-1,-1,-1,-1,-1,-1,2
20,0.8,1,pedestrian,1932.093,863.5284,14.130078,1.7170719,8.484949,3.4782777,0.0,0.0,7,2,-1,-1,-1,-1,2
