Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.04,1,car,432.15414,504.364,1.6737663,10.424094,3.8848405,3.7591767,0.0,0.0,5,11,-1,-1,-1,-1,0
1,0.04,2,truck,230.3848,398.83624,-8.117026,21.979408,8.3782625,9.580982,0.0,0.0,11,3,-1,-1,-1,-1,0
1,0.04,3,car,502.50122,312.79675,1.1543074,43.37244,1.4494385,1.7081589,0.0,0.0,2,4,-1,-1,-1,-1,0
1,0.04,4,truck,507.52637,232.44876,-2.807228,103.22431,2.136664,1.6536912,0.0,0.0,3,-1,-1,-1,-1,-1,0
1,0.04,5,truck,160.45824,578.0785,-3.9471457,5.5985165,14.192148,16.045824,0.0,0.0,-1,1,-1,-1,-1,-1,0
1,0.04,6,car,657.7374,250.1514,14.209895,83.47269,0.867083,1.0287507,0.0,0.0,14,10,-1,-1,-1,-1,2
1,0.04,8,pedestrian,1161.9148,627.18774,18.478834,3.3047566,2.2482636,0.9821839,0.0,0.0,-1,12,-1,-1,-1,-1,2
1,0.04,10,truck,636.27014,208.6483,16.510733,157.7596,1.3889328,1.2112153,0.0,0.0,6,-1,-1,-1,-1,-1,2
1,0.04,11,pedestrian,4.948252,442.03857,-13.60051,16.05785,1.8083695,0.48865056,0.0,0.0,1,2,-1,-1,-1,-1,0
1,0.04,12,pedestrian,1101.0575,564.42084,18.894741,6.508033,2.3466492,1.1148071,0.0,0.0,8,13,-1,-1,-1,-1,2
1,0.04,13,pedestrian,982.95496,469.55737,18.973091,13.749877,1.7286347,0.8358368,0.0,0.0,12,14,-1,-1,-1,-1,2
1,0.04,14,pedestrian,909.9944,413.96667,18.8952,20.426502,1.3795716,0.7269989,0.0,0.0,13,6,-1,-1,-1,-1,2
2,0.08,1,car,427.4734,514.7735,1.6626427,9.629092,4.0948653,3.9135025,0.0,0.0,5,11,-1,-1,-1,-1,0
2,0.08,2,truck,223.21986,401.81097,-8.233433,21.511892,8.601137,9.853789,0.0,0.0,11,3,-1,-1,-1,-1,0
2,0.08,3,car,501.69885,312.66608,1.1007315,43.418564,1.529158,1.7747635,0.0,0.0,2,4,-1,-1,-1,-1,0
2,0.08,4,truck,506.83112,231.02914,-3.046333,105.34641,2.1159248,1.6561402,0.0,0.0,3,-1,-1,-1,-1,-1,0
2,0.08,5,truck,155.07562,583.80066,-3.9423804,5.2972817,13.5890875,15.507563,0.0,0.0,-1,1,-1,-1,-1,-1,0
2,0.08,8,pedestrian,1162.0281,625.67053,18.522623,3.3722317,2.3197906,0.97556764,0.0,0.0,-1,12,-1,-1,-1,-1,2
2,0.08,10,truck,638.301,206.64929,17.293257,164.327,1.2403183,1.0177368,0.0,0.0,12,-1,-1,-1,-1,-1,2
2,0.08,11,pedestrian,4.903837,441.06342,-13.665637,16.167562,2.0291886,0.48565894,0.0,0.0,1,2,-1,-1,-1,-1,0
2,0.08,12,pedestrian,1100.7607,563.908,18.903769,6.5382757,2.4282348,1.1769104,0.0,0.0,8,10,-1,-1,-1,-1,2
3,0.12,1,car,423.45258,526.6613,1.6860474,8.775576,4.2828918,4.047026,0.0,0.0,5,11,-1,-1,-1,-1,0
3,0.12,2,truck,216.5726,408.49725,-8.12675,20.510807,9.209114,10.197565,0.0,0.0,11,3,-1,-1,-1,-1,0
3,0.12,3,car,501.36722,313.949,1.1173043,42.939316,1.4994538,1.7428192,0.0,0.0,2,4,-1,-1,-1,-1,0
3,0.12,4,truck,506.10477,230.78389,-3.1642458,105.70949,2.1265976,1.6499604,0.0,0.0,3,-1,-1,-1,-1,-1,0
3,0.12,5,truck,149.97064,587.00275,-3.987123,5.1319246,13.159911,14.997065,0.0,0.0,-1,1,-1,-1,-1,-1,0
3,0.12,6,car,657.55774,245.17165,14.643495,88.9159,0.88972473,1.0846313,0.0,0.0,15,10,-1,-1,-1,-1,2
3,0.12,8,pedestrian,1162.5984,623.3926,18.597805,3.474394,2.3746796,0.99382937,0.0,0.0,-1,12,-1,-1,-1,-1,2
3,0.12,10,truck,637.0951,206.05154,17.189651,166.3089,1.2730621,1.1293671,0.0,0.0,6,-1,-1,-1,-1,-1,2
3,0.12,11,pedestrian,5.1269193,441.35773,-13.638999,16.13452,2.192232,0.5120291,0.0,0.0,1,2,-1,-1,-1,-1,0
3,0.12,12,pedestrian,1100.7957,563.35376,18.922615,6.5711107,2.4772797,1.2452759,0.0,0.0,8,14,-1,-1,-1,-1,2
3,0.12,14,people,910.6248,409.65558,19.143711,21.07133,1.3544495,0.7570557,0.0,0.0,12,15,-1,-1,-1,-1,2
3,0.12,15,truck,624.145,247.48239,10.826565,85.89805,3.0413888,1.8562897,0.0,0.0,14,6,-1,-1,-1,-1,2
4,0.16,1,car,417.57068,541.18866,1.6878309,7.8030148,4.5568924,4.2226944,0.0,0.0,5,2,-1,-1,-1,-1,0
4,0.16,2,truck,206.82976,411.7776,-8.318981,20.03201,9.092307,10.780227,0.0,0.0,1,3,-1,-1,-1,-1,0
4,0.16,3,car,501.31836,315.62646,1.1620437,42.32532,1.5252914,1.7499329,0.0,0.0,2,4,-1,-1,-1,-1,0
4,0.16,4,truck,505.5144,230.65958,-3.2520769,105.89025,2.1428688,1.6449692,0.0,0.0,3,-1,-1,-1,-1,-1,0
4,0.16,5,truck,147.21324,590.5181,-3.9715903,4.9535036,12.878123,14.721324,0.0,0.0,-1,1,-1,-1,-1,-1,0
4,0.16,6,truck,657.5418,243.85867,14.769269,90.45077,0.8818825,1.0642761,0.0,0.0,14,10,-1,-1,-1,-1,2
4,0.16,8,pedestrian,1162.1079,623.6528,18.579731,3.4626484,2.343396,0.9306946,0.0,0.0,-1,12,-1,-1,-1,-1,2
4,0.16,10,truck,637.2198,204.6857,17.512953,171.1354,1.3215646,1.1181641,0.0,0.0,6,-1,-1,-1,-1,-1,2
4,0.16,12,pedestrian,1100.451,563.2909,18.915869,6.5747786,2.4615693,1.2525635,0.0,0.0,8,14,-1,-1,-1,-1,2
4,0.16,14,people,910.4861,409.3776,19.152714,21.113468,1.358435,0.7401825,0.0,0.0,12,6,-1,-1,-1,-1,2
5,0.2,1,car,411.5155,557.49243,1.7031446,6.794569,4.8460555,4.4622927,0.0,0.0,5,11,-1,-1,-1,-1,0
5,0.2,2,truck,201.25659,419.96066,-8.098436,18.906494,9.389279,10.837588,0.0,0.0,11,3,-1,-1,-1,-1,0
5,0.2,3,car,499.9048,319.56274,1.1861775,40.928185,1.5577011,1.7804642,0.0,0.0,2,4,-1,-1,-1,-1,0
5,0.2,4,bus,505.5492,232.30565,-3.0648665,103.40135,2.1751587,1.7268692,0.0,0.0,3,-1,-1,-1,-1,-1,0
5,0.2,5,truck,140.36723,598.97266,-3.9399533,4.535835,12.102733,14.036723,0.0,0.0,-1,1,-1,-1,-1,-1,0
5,0.2,6,car,656.7371,245.42041,14.528857,88.61909,0.85834426,1.0688782,0.0,0.0,15,10,-1,-1,-1,-1,2
5,0.2,8,pedestrian,1161.834,625.60144,18.520216,3.3753035,2.2872713,0.96044314,0.0,0.0,-1,12,-1,-1,-1,-1,2
5,0.2,10,truck,637.4603,206.56047,17.151863,164.59062,1.2854722,1.1138458,0.0,0.0,6,-1,-1,-1,-1,-1,2
5,0.2,11,pedestrian,5.0208826,440.80472,-13.678717,16.196877,1.9292663,0.48947087,0.0,0.0,1,2,-1,-1,-1,-1,0
5,0.2,12,pedestrian,1100.0276,563.907,18.885136,6.538208,2.3947785,1.2484254,0.0,0.0,8,14,-1,-1,-1,-1,2
5,0.2,14,people,910.5879,410.89902,19.077038,20.883251,1.4037751,0.7300812,0.0,0.0,12,15,-1,-1,-1,-1,2
5,0.2,15,truck,623.3452,246.77742,10.777664,86.65994,3.0556474,1.9069519,0.0,0.0,14,6,-1,-1,-1,-1,2
6,0.24,1,car,404.96765,575.45123,1.7215303,5.773562,5.091199,4.6222167,0.0,0.0,5,2,-1,-1,-1,-1,0
6,0.24,2,truck,191.92067,427.5736,-8.051442,17.915377,9.767898,11.23175,0.0,0.0,1,3,-1,-1,-1,-1,0
6,0.24,3,car,498.0688,323.59933,1.1873095,39.560646,1.580658,1.8351319,0.0,0.0,2,19,-1,-1,-1,-1,0
6,0.24,4,bus,504.74597,234.3114,-2.9479303,100.48706,2.2111611,1.713707,0.0,0.0,19,-1,-1,-1,-1,-1,0
6,0.24,5,truck,134.8199,603.54803,-3.9634879,4.3161473,11.61451,13.48199,0.0,0.0,-1,1,-1,-1,-1,-1,0
6,0.24,8,pedestrian,1161.5485,626.91907,18.478045,3.3166523,2.3059754,1.0113038,0.0,0.0,-1,12,-1,-1,-1,-1,2
6,0.24,12,pedestrian,1101.3103,564.80884,18.888647,6.4852066,2.349533,1.0799378,0.0,0.0,8,13,-1,-1,-1,-1,2
6,0.24,13,pedestrian,982.5445,469.64,18.956053,13.741403,1.7535874,0.8793091,0.0,0.0,12,-1,-1,-1,-1,-1,2
6,0.24,19,truck,504.59036,234.59827,-2.9365237,100.08105,2.2141578,1.7234467,0.0,0.0,3,4,-1,-1,-1,-1,0
7,0.28,1,car,397.19672,596.0281,1.7347214,4.7051077,5.43295,4.869832,0.0,0.0,5,2,-1,-1,-1,-1,0
7,0.28,2,truck,180.45345,436.66635,-8.009417,16.800634,10.170712,11.830932,0.0,0.0,1,3,-1,-1,-1,-1,0
7,0.28,3,car,497.78625,328.245,1.2922047,38.069508,1.6251129,1.8357972,0.0,0.0,2,19,-1,-1,-1,-1,0
7,0.28,4,bus,504.07074,237.75156,-2.6792471,95.814,2.2584069,1.7148865,0.0,0.0,19,-1,-1,-1,-1,-1,0
7,0.28,5,truck,130.89514,611.8644,-3.8732455,3.9285152,10.798482,13.089515,0.0,0.0,-1,1,-1,-1,-1,-1,0
7,0.28,6,car,656.39545,248.54977,14.20693,85.145744,0.8670967,1.0686219,0.0,0.0,8,10,-1,-1,-1,-1,2
7,0.28,8,pedestrian,1162.0586,631.65845,18.361866,3.108481,2.4696686,0.94888306,0.0,0.0,-1,6,-1,-1,-1,-1,2
7,0.28,10,truck,639.0865,210.5728,16.654572,152.04535,1.254007,0.9101319,0.0,0.0,6,-1,-1,-1,-1,-1,2
7,0.28,19,truck,503.99414,238.0262,-2.6613133,95.45652,2.2619674,1.729213,0.0,0.0,3,4,-1,-1,-1,-1,0
8,0.32,1,car,390.00113,616.82904,1.7610717,3.721129,5.8805847,5.135709,0.0,0.0,5,2,-1,-1,-1,-1,0
8,0.32,2,truck,168.36848,445.07312,-8.022099,15.830376,10.579564,12.612997,0.0,0.0,1,3,-1,-1,-1,-1,0
