Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.045454545454545456,1,train,880.7389,305.78485,18.086407,74.49968,5.8436584,4.0154543,0.0,0.0,2,-1,-1,-1,-1,-1,2
1,0.045454545454545456,2,train,905.49133,212.6933,23.19457,41.813835,3.3876312,2.9927003,0.0,0.0,-1,1,-1,-1,-1,-1,2
2,0.09090909090909091,1,train,879.52765,306.3639,18.013659,74.6213,5.46366,3.8318543,0.0,0.0,2,-1,-1,-1,-1,-1,2
2,0.09090909090909091,2,train,904.6056,210.44614,23.27533,40.46296,3.5087495,2.9724305,0.0,0.0,-1,1,-1,-1,-1,-1,2
3,0.13636363636363635,1,train,876.61163,294.64484,18.083288,72.08951,5.6454043,3.776233,0.0,0.0,2,-1,-1,-1,-1,-1,2
3,0.13636363636363635,2,train,904.00757,208.33397,23.374964,39.14922,3.7406938,2.977295,0.0,0.0,-1,1,-1,-1,-1,-1,2
4,0.18181818181818182,1,train,875.44586,290.56805,18.100992,71.14385,5.373572,3.8112671,0.0,0.0,2,-1,-1,-1,-1,-1,2
4,0.18181818181818182,2,train,903.6061,206.9313,23.442535,38.253044,3.7352264,2.999115,0.0,0.0,-1,1,-1,-1,-1,-1,2
5,0.22727272727272727,1,train,873.00165,284.6288,18.085894,69.70147,5.310788,3.7153687,0.0,0.0,2,-1,-1,-1,-1,-1,2
5,0.22727272727272727,2,train,902.9201,205.63904,23.47693,37.412285,3.6049378,3.0462587,0.0,0.0,-1,1,-1,-1,-1,-1,2
6,0.2727272727272727,1,train,871.34595,286.95898,17.945883,70.283295,4.9321413,3.666919,0.0,0.0,2,-1,-1,-1,-1,-1,2
6,0.2727272727272727,2,train,902.4024,204.94446,23.48188,36.95444,3.75726,3.0514405,0.0,0.0,-1,1,-1,-1,-1,-1,2
7,0.3181818181818182,1,train,871.70996,285.88284,17.98766,70.01719,4.6685915,3.5756958,0.0,0.0,2,-1,-1,-1,-1,-1,2
7,0.3181818181818182,2,train,902.0972,205.40565,23.418594,37.263756,3.6578386,3.0461547,0.0,0.0,-1,1,-1,-1,-1,-1,2
8,0.36363636363636365,1,train,870.1793,284.32434,17.932549,69.6319,4.6883607,3.5150757,0.0,0.0,2,-1,-1,-1,-1,-1,2
8,0.36363636363636365,2,train,902.427,204.40013,23.525898,36.58894,3.6251876,3.1724489,0.0,0.0,-1,1,-1,-1,-1,-1,2
9,0.4090909090909091,1,train,868.2607,281.25964,17.884373,68.85448,4.6686525,3.4898193,0.0,0.0,2,-1,-1,-1,-1,-1,2
9,0.4090909090909091,2,train,901.9297,203.78061,23.527262,36.17304,3.6059968,3.1790771,0.0,0.0,-1,1,-1,-1,-1,-1,2
10,0.45454545454545453,1,train,867.682,273.91693,18.002092,66.88269,4.7204895,3.2908936,0.0,0.0,2,-1,-1,-1,-1,-1,2
10,0.45454545454545453,2,train,900.28595,201.40869,23.557455,34.54037,3.5168335,3.2061708,0.0,0.0,-1,1,-1,-1,-1,-1,2
11,0.5,1,train,867.1104,265.82617,18.14655,64.531555,4.5826783,3.3483033,0.0,0.0,2,-1,-1,-1,-1,-1,2
11,0.5,2,train,898.91724,199.97052,23.540405,33.5227,3.5725038,3.1667786,0.0,0.0,-1,1,-1,-1,-1,-1,2
12,0.5454545454545454,1,train,865.7696,265.22723,18.07682,64.35342,4.5904846,3.2273622,56.08546447753906,342.7445051405165,2,-1,-1,-1,-1,-1,2
12,0.5454545454545454,2,train,897.1272,198.72401,23.466413,32.626205,3.2857559,2.9373415,40.84971618652344,249.6371544731988,-1,1,-1,-1,-1,-1,2
13,0.5909090909090909,1,train,864.63513,262.8225,18.060537,63.613525,4.2584543,3.1697633,57.89996337890625,11.088604927062988,2,-1,-1,-1,-1,-1,2
13,0.5909090909090909,2,train,896.36414,197.05872,23.5262,31.385878,3.177777,2.838672,43.92784881591797,18.810810089111328,-1,1,-1,-1,-1,-1,2
