Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.04,1,truck,937.29846,385.0402,15.713985,53.961727,6.089255,5.650879,0.0,0.0,7,4,-1,-1,-1,-1,2
1,0.04,2,car,1095.9833,539.78796,18.089037,25.74669,2.6351259,3.8322632,0.0,0.0,5,6,-1,-1,-1,-1,2
1,0.04,3,bus,498.78772,450.07953,5.4502206,41.48937,6.10152,3.9858215,0.0,0.0,-1,-1,-1,-1,-1,-1,1
1,0.04,4,car,678.6969,317.13812,9.7963705,68.57404,1.1453491,1.6015137,0.0,0.0,1,-1,-1,-1,-1,-1,2
1,0.04,5,truck,808.8467,617.85913,11.753058,13.789609,7.287329,7.7273316,0.0,0.0,-1,2,-1,-1,-1,-1,2
1,0.04,6,truck,706.1456,510.7162,9.939933,30.711,6.4680543,5.9226685,0.0,0.0,2,7,-1,-1,-1,-1,2
1,0.04,7,bus,631.14856,458.91418,8.399712,39.830296,5.4003844,4.5613527,0.0,0.0,6,1,-1,-1,-1,-1,2
2,0.08,1,truck,936.13855,383.252,15.699195,54.326252,6.0716553,5.5234194,0.0,0.0,7,4,-1,-1,-1,-1,2
2,0.08,2,car,1093.769,537.6416,18.059223,26.097544,2.5688965,3.630664,0.0,0.0,5,6,-1,-1,-1,-1,2
2,0.08,3,bus,498.52002,449.96707,5.44415,41.51018,6.1569915,4.030884,0.0,0.0,-1,-1,-1,-1,-1,-1,1
2,0.08,4,car,677.44934,314.71228,9.771842,69.12337,1.2455262,1.6565552,0.0,0.0,1,-1,-1,-1,-1,-1,2
2,0.08,5,bus,809.15076,616.30975,11.764432,14.016983,7.577423,7.8111696,0.0,0.0,-1,2,-1,-1,-1,-1,2
2,0.08,6,bus,706.0233,510.83813,9.937015,30.690401,6.494818,6.069177,0.0,0.0,2,7,-1,-1,-1,-1,2
2,0.08,7,bus,633.0597,459.4402,8.441491,39.73396,5.4925113,4.464246,0.0,0.0,6,1,-1,-1,-1,-1,2
3,0.12,1,truck,934.6185,382.5282,15.66838,54.474346,6.029962,5.5578127,0.0,0.0,7,4,-1,-1,-1,-1,2
