Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.043478260869565216,1,car,464.66602,252.88763,-5.51123,-26.371172,1.7469727,2.030481,0.0,0.0,-1,2,-1,-1,-1,-1,0
1,0.043478260869565216,2,car,739.8173,636.48096,2.0570202,12.894008,7.555322,6.1919985,0.0,0.0,1,-1,-1,-1,-1,-1,0
1,0.043478260869565216,3,train,704.71136,276.17242,6.948103,-18.40753,3.993103,3.3968446,0.0,0.0,-1,-1,-1,-1,-1,-1,1
2,0.08695652173913043,1,car,463.0284,255.45831,-5.5700364,-25.702776,1.8128327,2.2451203,0.0,0.0,-1,2,-1,-1,-1,-1,0
2,0.08695652173913043,2,car,727.53174,602.1456,2.063526,11.563813,6.192041,5.795105,0.0,0.0,1,-1,-1,-1,-1,-1,0
2,0.08695652173913043,3,train,699.5631,269.30798,6.949775,-19.942822,4.140424,3.4736145,0.0,0.0,-1,-1,-1,-1,-1,-1,1
3,0.13043478260869565,1,car,461.98886,259.9906,-5.569188,-24.540863,1.8893006,2.2157655,0.0,0.0,-1,2,-1,-1,-1,-1,0
3,0.13043478260869565,2,car,718.93335,578.3051,2.0669613,10.542577,6.1000123,5.587024,0.0,0.0,1,-1,-1,-1,-1,-1,0
3,0.13043478260869565,3,train,697.7161,268.0288,6.903981,-20.247221,3.870112,3.3166504,0.0,0.0,-1,-1,-1,-1,-1,-1,1
4,0.17391304347826086,1,car,460.171,265.41626,-5.5989633,-23.213694,1.8043884,2.2349732,0.0,0.0,-1,2,-1,-1,-1,-1,0
4,0.17391304347826086,2,car,711.3992,553.7632,2.102421,9.399956,5.8086915,5.40625,0.0,0.0,1,-1,-1,-1,-1,-1,0
4,0.17391304347826086,3,train,695.2539,264.9411,6.8964667,-20.975769,4.075622,3.2642334,0.0,0.0,-1,-1,-1,-1,-1,-1,1
5,0.21739130434782608,1,car,454.86023,273.60333,-5.774573,-21.34613,1.9226929,2.301648,0.0,0.0,-1,2,-1,-1,-1,-1,0
5,0.21739130434782608,2,car,696.3723,510.53107,2.1277702,7.0979743,4.888025,4.8391175,0.0,0.0,1,-1,-1,-1,-1,-1,0
5,0.21739130434782608,3,train,689.56244,259.78458,6.7984967,-22.251568,3.8114564,3.1901855,0.0,0.0,-1,-1,-1,-1,-1,-1,1
6,0.2608695652173913,1,car,454.26147,278.0491,-5.748739,-20.3611,2.0028107,2.3261719,0.0,0.0,-1,2,-1,-1,-1,-1,0
6,0.2608695652173913,2,car,689.30725,491.65167,2.1266446,5.9562345,4.7018557,4.888196,0.0,0.0,1,-1,-1,-1,-1,-1,0
6,0.2608695652173913,3,train,690.82715,258.7141,6.909823,-22.498491,3.6669312,2.9048097,0.0,0.0,-1,-1,-1,-1,-1,-1,1
7,0.30434782608695654,1,car,452.98242,283.2937,-5.7479935,-19.248266,2.0668397,2.4348085,0.0,0.0,-1,-1,-1,-1,-1,-1,0
8,0.34782608695652173,1,car,449.17038,287.84018,-5.8799405,-18.344118,2.088553,2.543637,0.0,0.0,-1,2,-1,-1,-1,-1,0
8,0.34782608695652173,2,car,677.79944,457.8252,2.1581259,3.6661987,4.311981,4.4553223,0.0,0.0,1,-1,-1,-1,-1,-1,0
9,0.391304347826087,1,car,447.90912,292.99,-5.8769555,-17.330086,2.176117,2.5405152,0.0,0.0,-1,2,-1,-1,-1,-1,0
9,0.391304347826087,2,car,672.6154,442.77002,2.1718915,2.5269997,3.912793,4.0718446,0.0,0.0,1,-1,-1,-1,-1,-1,0
9,0.391304347826087,3,train,682.928,249.26288,6.865028,-24.985016,3.4198213,2.9411256,0.0,0.0,-1,-1,-1,-1,-1,-1,1
10,0.43478260869565216,1,car,445.39142,298.21667,-5.9324255,-16.350883,2.2805238,2.5102844,0.0,0.0,-1,2,-1,-1,-1,-1,0
10,0.43478260869565216,2,car,671.7526,429.2077,2.3047264,1.4480485,3.7887514,4.4080873,0.0,0.0,1,-1,-1,-1,-1,-1,0
10,0.43478260869565216,3,train,681.089,245.08728,6.9387846,-26.133884,3.5114198,2.8878725,0.0,0.0,-1,-1,-1,-1,-1,-1,1
11,0.4782608695652174,1,car,443.23074,305.38483,-5.9457254,-15.056736,2.3065796,2.6322021,0.0,0.0,-1,2,-1,-1,-1,-1,0
11,0.4782608695652174,2,car,664.5331,414.52814,2.2541199,0.16068909,3.5055695,3.8137329,0.0,0.0,1,-1,-1,-1,-1,-1,0
11,0.4782608695652174,3,train,678.6953,242.4147,6.9167767,-26.906124,3.5949006,2.9539917,0.0,0.0,-1,-1,-1,-1,-1,-1,1
12,0.5217391304347826,1,car,438.22864,318.1298,-6.01877,-12.921986,2.508438,2.7875428,88.68050384521484,566.5698856777616,-1,2,-1,-1,-1,-1,0
12,0.5217391304347826,2,car,658.1985,392.5678,2.325095,-1.9316989,3.2352905,3.8179932,0.0,0.0,1,-1,-1,-1,-1,-1,0
12,0.5217391304347826,3,train,674.41406,239.99475,6.772105,-27.646158,3.2789733,2.8985963,0.0,0.0,-1,-1,-1,-1,-1,-1,1
13,0.5652173913043478,1,car,435.88928,324.99652,-6.0402656,-11.844575,2.5868225,3.0033875,88.45217895507812,-1.458742353651259,-1,2,-1,-1,-1,-1,0
13,0.5652173913043478,2,car,650.8994,380.12488,2.2365634,-3.2554219,3.0658937,3.2893677,0.0,0.0,1,-1,-1,-1,-1,-1,0
13,0.5652173913043478,3,train,672.6959,236.46265,6.8257885,-28.704515,3.3159149,2.9246705,0.0,0.0,-1,-1,-1,-1,-1,-1,1
14,0.6086956521739131,1,car,432.15915,332.23755,-6.1148643,-10.770251,2.795508,3.0642304,88.66120147705078,1.3354216681586373,-1,8,-1,-1,-1,-1,0
14,0.6086956521739131,2,car,648.51624,371.30328,2.2723076,-4.234128,3.0694947,3.4527955,0.0,0.0,8,-1,-1,-1,-1,-1,0
14,0.6086956521739131,3,train,672.68604,233.2847,6.968867,-29.669353,3.3049042,2.7813478,0.0,0.0,-1,-1,-1,-1,-1,-1,1
14,0.6086956521739131,8,truck,139.86745,397.36053,-15.67532,-4.5352535,16.397552,13.986745,0.0,0.0,1,2,-1,-1,-1,-1,0
15,0.6521739130434783,1,car,428.8333,339.97073,-6.1638265,-9.672826,2.8584993,3.0106905,88.62429809570312,-0.23577160305447048,-1,2,-1,-1,-1,-1,0
15,0.6521739130434783,2,car,645.57056,361.2107,2.3072312,-5.4184937,2.9460053,3.1790528,0.0,0.0,1,-1,-1,-1,-1,-1,0
15,0.6521739130434783,3,train,671.5325,232.90009,6.916419,-29.801828,3.2180297,2.624176,0.0,0.0,-1,-1,-1,-1,-1,-1,1
16,0.6956521739130435,1,car,426.50415,349.05872,-6.155582,-8.439257,3.0335176,3.3074524,88.80745697021484,1.1701816982693143,-1,-1,-1,-1,-1,-1,0
16,0.6956521739130435,3,train,668.8784,232.819,6.758676,-29.858511,3.099933,2.492993,0.0,0.0,-1,-1,-1,-1,-1,-1,1
17,0.7391304347826086,1,car,423.5683,356.99753,-6.1837173,-7.4233284,3.029532,3.4001343,88.68942260742188,-0.7541084289550781,-1,8,-1,-1,-1,-1,0
17,0.7391304347826086,3,train,670.2792,229.31503,7.0057178,-30.945818,3.0140016,2.660547,0.0,0.0,-1,-1,-1,-1,-1,-1,2
17,0.7391304347826086,8,train,134.09384,417.30487,-15.19314,-2.5522637,17.935394,13.409385,0.0,0.0,1,-1,-1,-1,-1,-1,0
18,0.782608695652174,1,car,416.90662,364.88132,-6.3523436,-6.486322,3.2084656,3.3484955,88.52557373046875,-1.046812269422743,-1,8,-1,-1,-1,-1,0
18,0.782608695652174,3,train,665.73267,227.59549,6.8034673,-31.557451,3.222348,2.432367,0.0,0.0,-1,-1,-1,-1,-1,-1,1
18,0.782608695652174,8,train,132.71793,424.4246,-15.010403,-1.8890821,18.501486,13.271792,0.0,0.0,1,-1,-1,-1,-1,-1,0
19,0.8260869565217391,1,car,414.81232,375.81396,-6.311297,-5.2111144,3.4179933,3.5781007,88.55294799804688,0.17489115397135419,-1,-1,-1,-1,-1,-1,0
19,0.8260869565217391,3,train,664.97876,222.82132,6.9820843,-33.162315,3.1657715,2.5026367,0.0,0.0,-1,-1,-1,-1,-1,-1,1
20,0.8695652173913043,1,car,407.74738,398.11023,-6.3315015,-2.8597493,3.7571716,3.9680054,89.34945678710938,5.08880615234375,-1,-1,-1,-1,-1,-1,0
20,0.8695652173913043,3,train,662.71826,219.15286,7.0158243,-34.47104,2.8087099,2.4240112,59.58802795410156,380.70128970676,-1,-1,-1,-1,-1,-1,2
21,0.9130434782608695,1,car,401.58102,408.67322,-6.434881,-1.8576702,4.012207,4.0569153,89.9265365600586,3.686898708343506,-1,-1,-1,-1,-1,-1,0
21,0.9130434782608695,3,train,661.41187,217.65155,7.004977,-35.026104,2.769287,2.347522,58.79296112060547,-5.079594135284424,-1,-1,-1,-1,-1,-1,2
22,0.9565217391304348,1,car,395.7872,421.5053,-6.4979234,-0.7028839,4.047461,3.9104888,90.31449127197266,2.478599786758423,-1,-1,-1,-1,-1,-1,0
22,0.9565217391304348,3,train,660.13324,214.86642,7.0606594,-36.06397,2.8495514,2.3451784,58.29779052734375,-3.1635899543762207,-1,-1,-1,-1,-1,-1,2
23,1.0,1,car,390.73462,434.82623,-6.5289536,0.42431402,4.223413,4.2204833,90.60128784179688,1.8323116302490234,-1,-1,-1,-1,-1,-1,0
23,1.0,3,train,658.6748,213.24422,7.0459056,-36.692356,2.8031967,2.3360474,57.93876647949219,-2.29376482963562,-1,-1,-1,-1,-1,-1,2
24,1.0434782608695652,1,car,383.90726,448.73505,-6.6064243,1.5175005,4.4026794,4.3369536,90.9879150390625,2.470118284225464,-1,-1,-1,-1,-1,-1,0
24,1.0434782608695652,3,train,656.5485,211.45929,6.99399,-37.403683,2.6036835,2.2972474,58.285301208496094,2.2139720916748047,-1,-1,-1,-1,-1,-1,1
25,1.0869565217391304,1,car,377.6842,466.3181,-6.627101,2.8123903,4.9104676,4.643201,91.41405487060547,2.722560167312622,-1,-1,-1,-1,-1,-1,0
25,1.0869565217391304,3,train,654.6265,211.6623,6.853292,-37.351692,2.6517975,2.2951112,57.60065460205078,-4.374131202697754,-1,-1,-1,-1,-1,-1,1
26,1.1304347826086956,1,car,370.09265,484.13907,-6.6824517,4.0173354,5.220035,4.689374,91.86763000488281,2.897841453552246,-1,-1,-1,-1,-1,-1,0
26,1.1304347826086956,3,train,654.12683,210.73502,6.866448,-37.717735,2.6737154,2.2164428,56.73366928100586,-5.539073467254639,-1,-1,-1,-1,-1,-1,1
27,1.173913043478261,1,car,356.208,522.5551,-6.724081,6.331109,6.0786986,5.3780212,92.4587173461914,3.7763915061950684,-1,-1,-1,-1,-1,-1,0
27,1.173913043478261,3,train,652.86487,205.77557,7.03785,-39.719505,2.4406464,2.0401368,57.291419982910156,3.5634074211120605,-1,-1,-1,-1,-1,-1,2
28,1.2173913043478262,1,car,350.29837,547.2813,-6.673028,7.651972,6.524597,5.9161224,93.08002471923828,3.96946382522583,-1,-1,-1,-1,-1,-1,0
28,1.2173913043478262,3,train,651.88354,204.02849,7.062566,-40.45894,2.5524216,2.0285645,57.38650131225586,0.607464075088501,-1,-1,-1,-1,-1,-1,2
29,1.2608695652173914,1,car,334.68994,566.7418,-6.8964643,8.564322,6.618921,5.5672793,93.46562957763672,2.4635868072509766,-1,-1,-1,-1,-1,-1,0
29,1.2608695652173914,3,train,650.5413,202.44424,7.053143,-41.148735,2.638205,2.0286376,57.19232940673828,-1.2405427694320679,-1,-1,-1,-1,-1,-1,2
30,1.3043478260869565,1,car,329.90546,598.3539,-6.7652807,9.9888,7.838904,6.649115,94.14851379394531,4.3628716468811035,-1,-1,-1,-1,-1,-1,0
30,1.3043478260869565,3,train,649.11005,201.7915,6.9863443,-41.449486,2.6358476,2.0463562,56.78919219970703,-2.575598955154419,-1,-1,-1,-1,-1,-1,1
31,1.3478260869565217,1,car,318.64505,629.60187,-6.7881303,11.227662,8.444025,7.163776,94.79900360107422,4.155907101101346,13,-1,-1,-1,-1,-1,0
31,1.3478260869565217,3,train,648.55945,200.7088,7.0057793,-41.926365,2.5543306,2.007422,56.44104766845703,-2.224256727430556,-1,-1,-1,-1,-1,-1,2
31,1.3478260869565217,13,train,487.29816,182.45976,-4.9724765,-53.591324,2.5778062,2.0424316,0.0,0.0,-1,1,-1,-1,-1,-1,0
32,1.391304347826087,1,car,306.13086,645.64795,-6.938545,11.7930355,7.435205,7.443218,94.95126342773438,0.9727711147732205,13,-1,-1,-1,-1,-1,0
