Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID
1,0.043478260869565216,1,car,464.66602,252.88763,4.7971263,69.12526,1.7469727,2.030481,0.0,0.0,-1,-1,-1,-1,-1,-1,1
1,0.043478260869565216,2,car,739.8173,636.48096,13.511725,105.626,7.555322,6.1919985,0.0,0.0,3,-1,-1,-1,-1,-1,2
1,0.043478260869565216,3,train,704.71136,276.17242,17.733318,75.38829,3.993103,3.3968446,0.0,0.0,-1,2,-1,-1,-1,-1,2
2,0.08695652173913043,1,car,463.0284,255.45831,4.765103,69.82625,1.8128327,2.2451203,0.0,0.0,-1,-1,-1,-1,-1,-1,1
2,0.08695652173913043,2,car,727.53174,602.1456,13.488772,104.44596,6.192041,5.795105,0.0,0.0,3,-1,-1,-1,-1,-1,2
2,0.08695652173913043,3,train,699.5631,269.30798,17.712894,73.83664,4.140424,3.4736145,0.0,0.0,-1,2,-1,-1,-1,-1,2
3,0.13043478260869565,1,car,461.98886,259.9906,4.815183,71.02442,1.8893006,2.2157655,0.0,0.0,-1,-1,-1,-1,-1,-1,1
3,0.13043478260869565,2,car,718.93335,578.3051,13.469581,103.535965,6.1000123,5.587024,0.0,0.0,3,-1,-1,-1,-1,-1,2
3,0.13043478260869565,3,train,697.7161,268.0288,17.661938,73.5347,3.870112,3.3166504,0.0,0.0,-1,2,-1,-1,-1,-1,2
4,0.17391304347826086,1,car,460.171,265.41626,4.8406944,72.39035,1.8043884,2.2349732,0.0,0.0,-1,-1,-1,-1,-1,-1,1
4,0.17391304347826086,2,car,711.3992,553.7632,13.478227,102.50901,5.8086915,5.40625,0.0,0.0,3,-1,-1,-1,-1,-1,2
4,0.17391304347826086,3,train,695.2539,264.9411,17.643656,72.79514,4.075622,3.2642334,0.0,0.0,-1,2,-1,-1,-1,-1,2
5,0.21739130434782608,1,car,454.86023,273.60333,4.7403884,74.31942,1.9226929,2.301648,0.0,0.0,-1,-1,-1,-1,-1,-1,1
5,0.21739130434782608,2,car,696.3723,510.53107,13.451519,100.43215,4.888025,4.8391175,0.0,0.0,3,-1,-1,-1,-1,-1,2
5,0.21739130434782608,3,train,689.56244,259.78458,17.524914,71.507286,3.8114564,3.1901855,0.0,0.0,-1,2,-1,-1,-1,-1,2
6,0.2608695652173913,1,car,454.26147,278.0491,4.8080025,75.31298,2.0028107,2.3261719,0.0,0.0,-1,-1,-1,-1,-1,-1,1
6,0.2608695652173913,2,car,689.30725,491.65167,13.425,99.39683,4.7018557,4.888196,0.0,0.0,3,-1,-1,-1,-1,-1,2
6,0.2608695652173913,3,train,690.82715,258.7141,17.634945,71.23759,3.6669312,2.9048097,0.0,0.0,-1,2,-1,-1,-1,-1,2
7,0.30434782608695654,1,car,452.98242,283.2937,4.855258,76.43471,2.0668397,2.4348085,0.0,0.0,-1,-1,-1,-1,-1,-1,1
8,0.34782608695652173,1,car,449.17038,287.84018,4.759563,77.3619,2.088553,2.543637,0.0,0.0,-1,-1,-1,-1,-1,-1,1
8,0.34782608695652173,2,car,677.79944,457.8252,13.404056,97.30108,4.311981,4.4553223,0.0,0.0,-1,-1,-1,-1,-1,-1,2
9,0.391304347826087,1,car,447.90912,292.99,4.8048773,78.37515,2.176117,2.5405152,0.0,0.0,-1,-1,-1,-1,-1,-1,1
9,0.391304347826087,2,car,672.6154,442.77002,13.391727,96.25154,3.912793,4.0718446,0.0,0.0,3,-1,-1,-1,-1,-1,2
9,0.391304347826087,3,train,682.928,249.26288,17.552198,68.682365,3.4198213,2.9411256,0.0,0.0,-1,2,-1,-1,-1,-1,2
10,0.43478260869565216,1,car,445.39142,298.21667,4.789743,79.358116,2.2805238,2.5102844,0.0,0.0,-1,-1,-1,-1,-1,-1,1
10,0.43478260869565216,2,car,671.7526,429.2077,13.496327,95.236084,3.7887514,4.4080873,0.0,0.0,3,-1,-1,-1,-1,-1,2
10,0.43478260869565216,3,train,681.089,245.08728,17.610907,67.47814,3.5114198,2.8878725,0.0,0.0,-1,2,-1,-1,-1,-1,2
11,0.4782608695652174,1,car,443.23074,305.38483,4.8300486,80.64217,2.3065796,2.6322021,0.0,0.0,-1,-1,-1,-1,-1,-1,1
11,0.4782608695652174,2,car,664.5331,414.52814,13.418156,94.04827,3.5055695,3.8137329,0.0,0.0,3,-1,-1,-1,-1,-1,2
11,0.4782608695652174,3,train,678.6953,242.4147,17.576714,66.67625,3.5949006,2.9539917,0.0,0.0,-1,2,-1,-1,-1,-1,2
12,0.5217391304347826,1,car,438.22864,318.1298,4.8450084,82.75256,2.508438,2.7875428,88.23889923095703,563.7485228644478,-1,-1,-1,-1,-1,-1,1
12,0.5217391304347826,2,car,658.1985,392.5678,13.440042,92.0825,3.2352905,3.8179932,0.0,0.0,3,-1,-1,-1,-1,-1,2
12,0.5217391304347826,3,train,674.41406,239.99475,17.416199,65.92417,3.2789733,2.8985963,0.0,0.0,-1,2,-1,-1,-1,-1,2
13,0.5652173913043478,1,car,435.88928,324.99652,4.867827,83.80828,2.5868225,3.0033875,87.87987518310547,-2.2937647501627607,-1,-1,-1,-1,-1,-1,1
13,0.5652173913043478,2,car,650.8994,380.12488,13.323164,90.849236,3.0658937,3.2893677,0.0,0.0,3,-1,-1,-1,-1,-1,2
13,0.5652173913043478,3,train,672.6959,236.46265,17.455505,64.8045,3.3159149,2.9246705,0.0,0.0,-1,2,-1,-1,-1,-1,2
14,0.6086956521739131,1,car,432.15915,332.23755,4.8376102,84.864,2.795508,3.0642304,87.97715759277344,0.6215265062120227,-1,-1,-1,-1,-1,-1,1
14,0.6086956521739131,2,car,648.51624,371.30328,13.335759,89.918594,3.0694947,3.4527955,0.0,0.0,3,-1,-1,-1,-1,-1,2
14,0.6086956521739131,3,train,672.68604,233.2847,17.589155,63.764793,3.3049042,2.7813478,0.0,0.0,-1,2,-1,-1,-1,-1,2
14,0.6086956521739131,8,truck,139.86745,397.36053,-4.2879643,92.20642,16.397552,13.986745,0.0,0.0,-1,-1,-1,-1,-1,-1,0
15,0.6521739130434783,1,car,428.8333,339.97073,4.83391,85.93357,2.8584993,3.0106905,87.8407211303711,-0.8716773986816406,-1,-1,-1,-1,-1,-1,1
15,0.6521739130434783,2,car,645.57056,361.2107,13.342864,88.78855,2.9460053,3.1790528,0.0,0.0,3,-1,-1,-1,-1,-1,2
15,0.6521739130434783,3,train,671.5325,232.90009,17.532738,63.632782,3.2180297,2.624176,0.0,0.0,-1,2,-1,-1,-1,-1,2
16,0.6956521739130435,1,car,426.50415,349.05872,4.8923926,87.12085,3.0335176,3.3074524,87.90309143066406,0.3984769185384115,-1,-1,-1,-1,-1,-1,1
16,0.6956521739130435,3,train,668.8784,232.819,17.368174,63.59708,3.099933,2.492993,0.0,0.0,-1,-1,-1,-1,-1,-1,2
17,0.7391304347826086,1,car,423.5683,356.99753,4.9058437,88.09915,3.029532,3.4001343,87.67920684814453,-1.430373721652561,-1,-1,-1,-1,-1,-1,1
17,0.7391304347826086,3,train,670.2792,229.31503,17.608255,62.406044,3.0140016,2.660547,0.0,0.0,-1,-1,-1,-1,-1,-1,2
17,0.7391304347826086,8,train,134.09384,417.30487,-3.7003736,93.99829,17.935394,13.409385,0.0,0.0,-1,-1,-1,-1,-1,-1,0
18,0.782608695652174,1,car,416.90662,364.88132,4.7775803,89.01838,3.2084656,3.3484955,87.41995239257812,-1.6563479105631513,-1,-1,-1,-1,-1,-1,1
18,0.782608695652174,3,train,665.73267,227.59549,17.388376,61.786278,3.222348,2.432367,0.0,0.0,-1,-1,-1,-1,-1,-1,2
18,0.782608695652174,8,train,132.71793,424.4246,-3.4839737,94.591286,18.501486,13.271792,0.0,0.0,-1,-1,-1,-1,-1,-1,0
19,0.8260869565217391,1,car,414.81232,375.81396,4.8697524,90.224785,3.4179933,3.5781007,87.32758331298828,-0.5901357862684462,-1,-1,-1,-1,-1,-1,1
19,0.8260869565217391,3,train,664.97876,222.82132,17.550081,60.042217,3.1657715,2.5026367,0.0,0.0,-1,-1,-1,-1,-1,-1,2
